timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525161290,30.5645,103.9426,0,202,24,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525161362,30.5642,103.9403,0,180,0,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525161420,30.5927,103.9534,2175,21,180,780B01,CTU,HKG,CSC8617,3136,A321,3U8617
1525161483,30.6454,103.9781,4275,22,214,780B01,CTU,HKG,CSC8617,1984,A321,3U8617
1525161545,30.6958,104.021,6150,60,253,780B01,CTU,HKG,CSC8617,1664,A321,3U8617
1525161603,30.7302,104.0941,8675,60,269,780B01,CTU,HKG,CSC8617,3008,A321,3U8617
1525161655,30.757,104.1625,11025,84,278,780B01,CTU,HKG,CSC8617,2816,A321,3U8617
1525161729,30.6891,104.2453,13825,147,323,780B01,CTU,HKG,CSC8617,1216,A321,3U8617
1525161789,30.6061,104.3085,15075,146,372,780B01,CTU,HKG,CSC8617,2496,A321,3U8617
1525161848,30.5208,104.3732,17000,146,384,780B01,CTU,HKG,CSC8617,1536,A321,3U8617
1525161908,30.429,104.4428,18525,146,406,780B01,CTU,HKG,CSC8617,1920,A321,3U8617
1525161967,30.3333,104.5149,20375,146,412,780B01,CTU,HKG,CSC8617,1600,A321,3U8617
1525162029,30.2342,104.5896,21775,146,428,780B01,CTU,HKG,CSC8617,1088,A321,3U8617
1525162096,30.1151,104.6754,22600,153,457,780B01,CTU,HKG,CSC8617,128,A321,3U8617
1525162152,30.0017,104.7218,23250,161,468,780B01,CTU,HKG,CSC8617,1408,A321,3U8617
1525162217,29.8708,104.7728,24550,161,474,780B01,CTU,HKG,CSC8617,640,A321,3U8617
1525162280,29.7368,104.8246,25750,161,479,780B01,CTU,HKG,CSC8617,1664,A321,3U8617
1525162339,29.6098,104.8737,26600,161,472,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525162399,29.4846,104.9218,26600,161,472,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162461,29.359,104.9701,26600,161,464,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162524,29.2332,105.0184,26600,161,454,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162586,29.1077,105.0662,26600,161,474,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525162643,28.9875,105.1121,26600,161,460,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162701,28.8706,105.1565,26600,161,461,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525162766,28.7372,105.207,26600,161,461,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162829,28.6137,105.2537,26600,161,461,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162888,28.4889,105.3008,26600,161,462,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525162941,28.4005,105.3533,26600,141,463,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163014,28.2307,105.3979,26600,161,465,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163072,28.1148,105.451,26600,154,473,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163129,28.0009,105.5128,26600,154,474,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163196,27.8686,105.5845,26600,154,473,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163253,27.7561,105.6454,26575,154,473,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163316,27.6338,105.722,26625,140,487,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525163380,27.5352,105.8418,26625,132,493,780B01,CTU,HKG,CSC8617,-64,A321,3U8617
1525163440,27.4427,105.9561,27325,132,491,780B01,CTU,HKG,CSC8617,1536,A321,3U8617
1525163502,27.3482,106.0762,28875,131,487,780B01,CTU,HKG,CSC8617,1472,A321,3U8617
1525163564,27.2511,106.1853,29100,142,487,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163620,27.1497,106.271,29100,142,479,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525163687,27.0311,106.3707,29100,143,482,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525163749,26.9181,106.4656,29125,143,487,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525163807,26.8137,106.5529,29150,143,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525163869,26.7051,106.6435,29150,143,486,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525163934,26.5849,106.7437,29125,143,483,780B01,CTU,HKG,CSC8617,-64,A321,3U8617
1525163995,26.4789,106.8437,29075,135,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164054,26.384,106.9475,29075,135,485,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525164113,26.2895,107.0506,29100,135,484,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525164182,26.1773,107.1741,29075,135,485,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164245,26.078,107.2828,29075,135,489,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164303,25.9844,107.3851,29100,135,489,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164364,25.8865,107.4917,29125,135,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164429,25.782,107.6055,29125,135,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164485,25.7261,107.708,29125,119,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164545,25.6703,107.8197,29125,119,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164605,25.6144,107.9314,29125,119,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164677,25.5474,108.0654,29125,119,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164737,25.4882,108.18,29125,120,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164797,25.4204,108.31,29125,120,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164857,25.3527,108.4398,29125,120,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164905,25.2985,108.5436,29125,120,488,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525164982,24.7156,108.0535,29100,173,462,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525165038,24.5964,108.068,29075,173,462,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525165099,24.4648,108.0838,29075,173,462,780B01,CTU,HKG,CSC8617,64,A321,3U8617
1525165159,24.336,108.0991,29100,173,462,780B01,CTU,HKG,CSC8617,0,A321,3U8617
1525165220,24.2054,108.1149,29125,173,463,780B01,CTU,HKG,CSC8617,0,A321,3U8617
