timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525187200,18.0267,102.9687,23075,33,405,882DA1,UTH,HKG,KMI525,2048,B734,8K525
1525187263,18.1274,103.0394,25075,34,421,882DA1,UTH,HKG,KMI525,1728,B734,8K525
1525187325,18.225,103.1082,26900,34,425,882DA1,UTH,HKG,KMI525,1728,B734,8K525
1525187383,18.3259,103.1791,28500,33,443,882DA1,UTH,HKG,KMI525,1472,B734,8K525
1525187439,18.4187,103.2447,29675,34,449,882DA1,UTH,HKG,KMI525,1472,B734,8K525
1525187502,18.5117,103.3299,30675,54,451,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525187569,18.5473,103.4852,32975,85,451,882DA1,UTH,HKG,KMI525,-64,B734,8K525
1525187631,18.5574,103.6177,32975,85,450,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525187694,18.5681,103.758,33000,85,455,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525187750,18.5775,103.8807,33000,85,454,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525187817,18.5887,104.0295,33000,85,452,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525187878,18.5986,104.1622,33000,85,458,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525187936,18.6082,104.2923,32975,85,460,882DA1,UTH,HKG,KMI525,-64,B734,8K525
1525187992,18.6173,104.4176,33000,85,464,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188049,18.6264,104.5453,32975,85,465,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188120,18.6383,104.71,33000,85,478,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188182,18.6487,104.8525,33000,85,478,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188243,18.6587,104.9951,33000,85,476,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188301,18.6683,105.13,33000,85,478,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188369,18.6795,105.2871,33000,85,479,882DA1,UTH,HKG,KMI525,-64,B734,8K525
1525188429,18.6893,105.4232,33000,85,481,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188487,18.6991,105.5639,33000,85,483,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188550,18.6999,105.7091,33000,97,487,882DA1,UTH,HKG,KMI525,64,B734,8K525
1525188614,18.7228,105.8388,33000,63,489,882DA1,UTH,HKG,KMI525,0,B734,8K525
1525188674,18.6445,105.9981,33000,101,489,882DA1,UTH,HKG,KMI525,0,B734,8K525
