timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525138419,31.1509,121.8126,0,343,19,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525138474,31.1515,121.8124,0,340,13,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525138563,31.1537,121.8115,0,343,9,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525138563,31.1537,121.8115,0,343,9,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525138783,31.1542,121.8117,0,18,12,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525138925,31.1546,121.8129,0,73,22,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525138963,31.154,121.8136,0,163,19,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525139051,31.101,121.8368,2025,149,175,781166,PVG,HKG,CQH8921,1024,A320,9C8921
1525139116,31.0467,121.8816,3900,143,251,781166,PVG,HKG,CQH8921,1344,A320,9C8921
1525139176,30.9851,121.9332,4975,144,278,781166,PVG,HKG,CQH8921,0,A320,9C8921
1525139238,30.9582,122.0122,6175,76,294,781166,PVG,HKG,CQH8921,3136,A320,9C8921
1525139300,30.9764,122.1133,9150,78,311,781166,PVG,HKG,CQH8921,3264,A320,9C8921
1525139356,30.9911,122.2053,11475,88,327,781166,PVG,HKG,CQH8921,2816,A320,9C8921
1525139420,30.927,122.2771,14075,163,312,781166,PVG,HKG,CQH8921,2624,A320,9C8921
1525139480,30.843,122.3079,16350,161,323,781166,PVG,HKG,CQH8921,2240,A320,9C8921
1525139540,30.7545,122.3408,18350,162,339,781166,PVG,HKG,CQH8921,2240,A320,9C8921
1525139606,30.657,122.3767,20300,162,354,781166,PVG,HKG,CQH8921,2304,A320,9C8921
1525139656,30.5767,122.4019,22175,177,341,781166,PVG,HKG,CQH8921,1216,A320,9C8921
1525139712,30.4875,122.3961,23650,183,349,781166,PVG,HKG,CQH8921,1856,A320,9C8921
