timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525147701,18.0356,112.95,35000,11,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525147761,18.1569,112.9748,35000,11,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525147821,18.2782,112.9996,35000,11,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525147881,18.3994,113.0244,35000,11,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525147941,18.5207,113.0493,35000,11,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148001,18.6419,113.0742,35000,11,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148061,18.7631,113.0995,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148121,18.8839,113.1266,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148181,19.0048,113.1538,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148253,19.1497,113.1864,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148313,19.2706,113.2136,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148373,19.3914,113.2408,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148433,19.5122,113.268,35000,12,445,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148493,19.2668,114.6878,35025,355,455,7501FD,KUL,HKG,AXM134,128,A320,AK134
1525148557,19.3993,114.6767,34975,355,452,7501FD,KUL,HKG,AXM134,-64,A320,AK134
1525148607,19.5037,114.6678,34950,355,454,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148673,19.6313,114.6448,34975,346,455,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148726,19.7573,114.6462,35025,355,455,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148783,19.8726,114.6364,35000,355,455,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525148859,20.0329,114.6226,35000,355,455,7501FD,KUL,HKG,AXM134,64,A320,AK134
1525148919,20.1636,114.6114,35000,355,456,7501FD,KUL,HKG,AXM134,-64,A320,AK134
1525148983,20.2993,114.5999,35000,355,457,7501FD,KUL,HKG,AXM134,64,A320,AK134
1525149047,20.4345,114.5883,33825,355,460,7501FD,KUL,HKG,AXM134,-2176,A320,AK134
1525149111,20.5714,114.5767,31300,355,452,7501FD,KUL,HKG,AXM134,-2560,A320,AK134
1525149166,20.6847,114.5669,29350,355,438,7501FD,KUL,HKG,AXM134,-2048,A320,AK134
1525149231,20.8173,114.5554,26500,355,430,7501FD,KUL,HKG,AXM134,-2368,A320,AK134
1525149276,20.9008,114.5535,25300,359,400,7501FD,KUL,HKG,AXM134,-1216,A320,AK134
1525149351,21.0306,114.5546,23700,56,339,7501FD,KUL,HKG,AXM134,-1088,A320,AK134
1525149408,21.116,114.5553,21900,56,338,7501FD,KUL,HKG,AXM134,-2560,A320,AK134
1525149478,21.2231,114.5563,20425,309,312,7501FD,KUL,HKG,AXM134,-1856,A320,AK134
1525149524,21.2877,114.5569,19125,309,305,7501FD,KUL,HKG,AXM134,-2304,A320,AK134
1525149589,21.3777,114.5577,17375,309,293,7501FD,KUL,HKG,AXM134,-2048,A320,AK134
1525149663,21.4773,114.5586,15075,309,294,7501FD,KUL,HKG,AXM134,-2752,A320,AK134
1525149716,21.5492,114.5369,13950,342,296,7501FD,KUL,HKG,AXM134,-1280,A320,AK134
1525149785,21.6383,114.5062,12575,342,288,7501FD,KUL,HKG,AXM134,-1408,A320,AK134
1525149846,21.715,114.4795,11275,342,281,7501FD,KUL,HKG,AXM134,-1344,A320,AK134
1525149911,21.7955,114.4515,9750,342,278,7501FD,KUL,HKG,AXM134,-1536,A320,AK134
1525149971,21.8692,114.4258,8400,342,272,7501FD,KUL,HKG,AXM134,-1344,A320,AK134
1525150031,21.9416,114.4004,7575,342,269,7501FD,KUL,HKG,AXM134,-704,A320,AK134
1525150091,22.0126,114.3756,6900,342,265,7501FD,KUL,HKG,AXM134,-704,A320,AK134
1525150158,22.0884,114.3491,6175,341,257,7501FD,KUL,HKG,AXM134,-704,A320,AK134
1525150217,22.1573,114.325,6000,341,259,7501FD,KUL,HKG,AXM134,0,A320,AK134
1525150289,22.2381,114.2966,5625,341,257,7501FD,KUL,HKG,AXM134,-512,A320,AK134
1525150348,22.3053,114.2735,4900,342,234,7501FD,KUL,HKG,AXM134,-832,A320,AK134
1525150409,22.3643,114.2527,4500,341,211,7501FD,KUL,HKG,AXM134,640,A320,AK134
