timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525134785,53.9387,81.0331,39000,117,516,461F48,HEL,HKG,FIN99,0,A359,AY99
1525134844,53.8731,81.243,39000,117,514,461F48,HEL,HKG,FIN99,0,A359,AY99
1525134904,53.8072,81.4518,39000,118,511,461F48,HEL,HKG,FIN99,0,A359,AY99
1525134965,53.7378,81.67,39000,118,513,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135024,53.6708,81.878,39000,118,515,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135085,53.6015,82.0919,39000,118,521,461F48,HEL,HKG,FIN99,-64,A359,AY99
1525135149,53.5261,82.322,39000,118,520,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135208,53.4586,82.5263,39000,119,517,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135268,53.3873,82.7405,39000,119,512,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135330,53.32,82.9407,39000,119,510,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135381,53.2609,83.1165,39000,119,511,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135455,53.1734,83.3773,39000,119,517,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135512,53.1048,83.5794,39000,119,518,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135577,53.0285,83.802,39000,119,515,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135633,52.9628,83.9922,39000,119,513,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135697,52.887,84.2098,39000,120,512,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135753,52.8213,84.3968,39000,120,509,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135818,52.7424,84.6198,39000,120,508,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135878,52.6728,84.8145,39000,120,510,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135939,52.5994,85.0187,39000,120,509,461F48,HEL,HKG,FIN99,0,A359,AY99
1525135999,52.5265,85.2197,39000,120,512,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136063,52.4504,85.4382,39000,115,515,461F48,HEL,HKG,FIN99,-64,A359,AY99
1525136122,52.3919,85.6429,39000,115,513,461F48,HEL,HKG,FIN99,64,A359,AY99
1525136182,52.3294,85.8556,39000,115,515,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136242,52.2677,86.0653,39000,115,517,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136302,52.2048,86.2766,39000,116,518,461F48,HEL,HKG,FIN99,64,A359,AY99
1525136367,52.1376,86.5009,39000,116,517,461F48,HEL,HKG,FIN99,-64,A359,AY99
1525136427,52.0734,86.7124,39000,116,516,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136487,52.01,86.9199,39000,116,517,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136552,51.942,87.1406,39000,116,515,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136612,51.8785,87.3449,39000,116,516,461F48,HEL,HKG,FIN99,-64,A359,AY99
1525136672,51.8119,87.5561,39000,117,515,461F48,HEL,HKG,FIN99,0,A359,AY99
1525136732,51.7476,87.7589,39000,117,513,461F48,HEL,HKG,FIN99,0,A359,AY99
