timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525149109,18.0635,114.7504,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149169,18.19,114.7269,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149229,18.3166,114.7034,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149289,18.4432,114.6799,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149349,18.5697,114.6564,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149421,18.7216,114.6281,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149481,18.8482,114.6045,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149541,18.9748,114.5809,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149601,19.1013,114.5573,34000,350,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525149661,19.3119,115.7194,34025,339,462,895055,BWN,HKG,RBA635,-64,A320,BI635
1525149721,19.4226,115.668,34000,331,462,895055,BWN,HKG,RBA635,0,A320,BI635
1525149781,19.5179,115.612,34000,331,462,895055,BWN,HKG,RBA635,0,A320,BI635
1525149849,19.6701,115.5654,34000,331,462,895055,BWN,HKG,RBA635,0,A320,BI635
1525149909,19.7647,115.5079,34000,330,462,895055,BWN,HKG,RBA635,0,A320,BI635
1525149971,19.9378,115.4773,34025,339,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525150031,20.0592,115.4301,34000,339,463,895055,BWN,HKG,RBA635,0,A320,BI635
1525150089,20.1751,115.385,34000,339,462,895055,BWN,HKG,RBA635,0,A320,BI635
1525150156,20.3091,115.3329,34000,339,461,895055,BWN,HKG,RBA635,0,A320,BI635
1525150217,20.4342,115.2841,33275,339,465,895055,BWN,HKG,RBA635,-1024,A320,BI635
1525150288,20.5697,115.214,30500,327,466,895055,BWN,HKG,RBA635,-2496,A320,BI635
1525150348,20.6808,115.1404,28475,327,459,895055,BWN,HKG,RBA635,-2048,A320,BI635
1525150409,20.7869,115.0698,26550,327,440,895055,BWN,HKG,RBA635,-1664,A320,BI635
1525150470,20.8913,115.0,25075,327,432,895055,BWN,HKG,RBA635,-1472,A320,BI635
1525150530,20.9927,114.9322,23600,327,427,895055,BWN,HKG,RBA635,-1472,A320,BI635
1525150590,21.0931,114.865,22150,327,421,895055,BWN,HKG,RBA635,-1472,A320,BI635
1525150655,21.1987,114.7943,20650,327,396,895055,BWN,HKG,RBA635,-768,A320,BI635
1525150715,21.2872,114.7348,19900,327,355,895055,BWN,HKG,RBA635,-832,A320,BI635
1525150776,21.369,114.6798,18525,327,339,895055,BWN,HKG,RBA635,-1408,A320,BI635
1525150836,21.4463,114.6278,16525,327,323,895055,BWN,HKG,RBA635,-2112,A320,BI635
1525150897,21.5229,114.5758,14650,327,320,895055,BWN,HKG,RBA635,-1152,A320,BI635
1525150961,21.6037,114.5213,13450,328,316,895055,BWN,HKG,RBA635,-768,A320,BI635
1525151018,21.6809,114.4913,12825,341,315,895055,BWN,HKG,RBA635,-1280,A320,BI635
1525151088,21.7774,114.4576,11125,341,307,895055,BWN,HKG,RBA635,-1344,A320,BI635
1525151148,21.8586,114.4292,9675,341,302,895055,BWN,HKG,RBA635,-1536,A320,BI635
1525151208,21.9389,114.4012,8625,341,299,895055,BWN,HKG,RBA635,-832,A320,BI635
1525151269,22.0193,114.3946,7925,359,276,895055,BWN,HKG,RBA635,-640,A320,BI635
1525151325,22.089,114.3948,7300,359,270,895055,BWN,HKG,RBA635,-704,A320,BI635
1525151389,22.1708,114.3951,6575,359,266,895055,BWN,HKG,RBA635,-640,A320,BI635
1525151445,22.2384,114.3921,6100,341,258,895055,BWN,HKG,RBA635,-448,A320,BI635
1525151509,22.3058,114.3516,5775,330,255,895055,BWN,HKG,RBA635,-1344,A320,BI635
1525151566,22.3552,114.3111,5250,320,225,895055,BWN,HKG,RBA635,-256,A320,BI635
1525151632,22.396,114.2617,4975,279,188,895055,BWN,HKG,RBA635,-384,A320,BI635
1525151694,22.404,114.2037,4550,278,191,895055,BWN,HKG,RBA635,-320,A320,BI635
1525151759,22.3902,114.1443,4025,250,180,895055,BWN,HKG,RBA635,-896,A320,BI635
1525151824,22.3726,114.0897,2950,250,173,895055,BWN,HKG,RBA635,-832,A320,BI635
1525151884,22.3572,114.0417,2075,250,164,895055,BWN,HKG,RBA635,-768,A320,BI635
1525151944,22.3433,113.9985,1300,250,147,895055,BWN,HKG,RBA635,-704,A320,BI635
1525152008,22.3292,113.9546,525,251,144,895055,BWN,HKG,RBA635,-768,A320,BI635
1525152061,22.3175,113.9183,0,250,131,895055,BWN,HKG,RBA635,-64,A320,BI635
1525152127,22.3114,113.905,0,213,30,895055,BWN,HKG,RBA635,0,A320,BI635
1525152192,22.3114,113.9082,0,70,17,895055,BWN,HKG,RBA635,0,A320,BI635
1525152251,22.3124,113.9112,0,70,21,895055,BWN,HKG,RBA635,0,A320,BI635
1525152311,22.3131,113.9134,0,70,13,895055,BWN,HKG,RBA635,0,A320,BI635
1525152373,22.3128,113.9147,0,160,13,895055,BWN,HKG,RBA635,0,A320,BI635
1525152431,22.3107,113.9155,0,160,26,895055,BWN,HKG,RBA635,0,A320,BI635
1525152492,22.3104,113.9167,0,70,9,895055,BWN,HKG,RBA635,0,A320,BI635
1525152492,22.3104,113.9167,0,70,9,895055,BWN,HKG,RBA635,0,A320,BI635
