timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525163564,25.0758,121.2361,0,47,2,899071,TPE,HKG,EVA871,0,A321,BR871
1525163628,25.0758,121.2361,0,180,0,899071,TPE,HKG,EVA871,0,A321,BR871
1525163683,25.0759,121.2362,0,47,11,899071,TPE,HKG,EVA871,0,A321,BR871
1525163744,25.0751,121.2384,0,64,22,899071,TPE,HKG,EVA871,0,A321,BR871
1525163808,25.078,121.2421,0,47,16,899071,TPE,HKG,EVA871,0,A321,BR871
1525163865,25.0808,121.2457,0,47,33,899071,TPE,HKG,EVA871,0,A321,BR871
1525163935,25.0832,121.2488,0,47,19,899071,TPE,HKG,EVA871,0,A321,BR871
1525163990,25.0834,121.249,0,250,0,899071,TPE,HKG,EVA871,0,A321,BR871
1525164055,25.0835,121.249,0,69,0,899071,TPE,HKG,EVA871,0,A321,BR871
1525164113,25.0841,121.2498,0,47,24,899071,TPE,HKG,EVA871,0,A321,BR871
1525164186,25.0845,121.2503,0,50,11,899071,TPE,HKG,EVA871,0,A321,BR871
1525164190,25.0845,121.2504,0,56,14,899071,TPE,HKG,EVA871,0,A321,BR871
1525164276,25.0839,121.2513,0,137,15,899071,TPE,HKG,EVA871,0,A321,BR871
1525164427,25.0573,121.2192,1325,228,157,899071,TPE,HKG,EVA871,2752,A321,BR871
1525164489,25.0248,121.1777,2650,229,205,899071,TPE,HKG,EVA871,1536,A321,BR871
1525164546,25.0337,121.1153,4425,302,251,899071,TPE,HKG,EVA871,1408,A321,BR871
1525164607,25.074,121.0459,6800,302,270,899071,TPE,HKG,EVA871,2432,A321,BR871
1525164678,25.1202,120.9599,9500,289,278,899071,TPE,HKG,EVA871,2560,A321,BR871
1525164734,25.088,120.8918,11050,223,299,899071,TPE,HKG,EVA871,1088,A321,BR871
1525164791,25.0266,120.8262,12075,224,342,899071,TPE,HKG,EVA871,1664,A321,BR871
1525164857,24.9512,120.7449,14300,224,352,899071,TPE,HKG,EVA871,2240,A321,BR871
1525164908,24.8888,120.678,15775,224,363,899071,TPE,HKG,EVA871,1728,A321,BR871
1525164978,24.8021,120.585,17550,224,382,899071,TPE,HKG,EVA871,1728,A321,BR871
1525165036,24.727,120.5066,19225,222,387,899071,TPE,HKG,EVA871,1856,A321,BR871
1525165095,24.6418,120.4414,20700,214,396,899071,TPE,HKG,EVA871,1408,A321,BR871
1525165160,24.541,120.3648,22325,214,403,899071,TPE,HKG,EVA871,1728,A321,BR871
1525165222,24.4458,120.2928,23625,214,411,899071,TPE,HKG,EVA871,1152,A321,BR871
1525165284,24.3464,120.2157,24900,215,420,899071,TPE,HKG,EVA871,1280,A321,BR871
1525165344,24.2484,120.1393,25950,215,432,899071,TPE,HKG,EVA871,1408,A321,BR871
1525165406,24.1504,120.0633,27150,215,438,899071,TPE,HKG,EVA871,1152,A321,BR871
1525165468,24.0432,119.9806,28425,215,441,899071,TPE,HKG,EVA871,1344,A321,BR871
1525165527,23.9441,119.9044,29450,215,445,899071,TPE,HKG,EVA871,1088,A321,BR871
1525165590,23.8407,119.825,30725,215,443,899071,TPE,HKG,EVA871,832,A321,BR871
1525165650,23.7409,119.7483,32050,215,439,899071,TPE,HKG,EVA871,1216,A321,BR871
1525165715,23.6315,119.6645,33400,215,437,899071,TPE,HKG,EVA871,768,A321,BR871
1525165775,23.5544,119.5653,34000,238,424,899071,TPE,HKG,EVA871,0,A321,BR871
1525165836,23.4927,119.4594,33975,237,423,899071,TPE,HKG,EVA871,0,A321,BR871
1525165895,23.4328,119.3569,34000,237,426,899071,TPE,HKG,EVA871,0,A321,BR871
1525165958,23.3663,119.2425,34025,237,427,899071,TPE,HKG,EVA871,0,A321,BR871
1525166019,23.3011,119.1307,34025,237,424,899071,TPE,HKG,EVA871,0,A321,BR871
1525166074,23.243,119.0311,33975,237,422,899071,TPE,HKG,EVA871,0,A321,BR871
1525166137,23.1762,118.9169,33950,237,421,899071,TPE,HKG,EVA871,0,A321,BR871
1525166195,23.1171,118.8163,33950,237,423,899071,TPE,HKG,EVA871,0,A321,BR871
1525166257,23.0554,118.7117,33975,237,427,899071,TPE,HKG,EVA871,64,A321,BR871
1525166322,22.9762,118.5774,34025,237,430,899071,TPE,HKG,EVA871,0,A321,BR871
1525166382,22.9138,118.472,34025,237,430,899071,TPE,HKG,EVA871,0,A321,BR871
1525166444,22.8466,118.3592,34000,237,429,899071,TPE,HKG,EVA871,0,A321,BR871
1525166505,22.7803,118.2481,33975,237,427,899071,TPE,HKG,EVA871,0,A321,BR871
1525166564,22.7163,118.1412,33975,237,426,899071,TPE,HKG,EVA871,0,A321,BR871
1525166629,22.6895,118.029,33975,266,426,899071,TPE,HKG,EVA871,0,A321,BR871
1525166692,22.5807,117.9149,33950,237,427,899071,TPE,HKG,EVA871,0,A321,BR871
1525166756,22.5134,117.8014,33975,237,430,899071,TPE,HKG,EVA871,0,A321,BR871
1525166811,22.4512,117.697,34025,237,432,899071,TPE,HKG,EVA871,0,A321,BR871
1525166880,22.3818,117.5739,34025,242,429,899071,TPE,HKG,EVA871,0,A321,BR871
1525166938,22.3442,117.4586,34000,256,424,899071,TPE,HKG,EVA871,0,A321,BR871
1525166997,22.3339,117.3413,33975,271,423,899071,TPE,HKG,EVA871,0,A321,BR871
1525167057,22.3356,117.2334,33975,271,423,899071,TPE,HKG,EVA871,0,A321,BR871
1525167117,22.3278,117.0859,33975,271,423,899071,TPE,HKG,EVA871,0,A321,BR871
1525167179,22.3233,116.9565,34000,268,425,899071,TPE,HKG,EVA871,0,A321,BR871
1525167230,22.3211,116.849,34000,268,426,899071,TPE,HKG,EVA871,0,A321,BR871
1525167304,22.3179,116.699,34000,268,428,899071,TPE,HKG,EVA871,0,A321,BR871
1525167368,22.3146,116.549,34000,268,427,899071,TPE,HKG,EVA871,0,A321,BR871
1525167417,22.3121,116.443,34000,268,428,899071,TPE,HKG,EVA871,0,A321,BR871
1525167488,22.3086,116.293,34000,268,428,899071,TPE,HKG,EVA871,0,A321,BR871
1525167547,22.3054,116.1638,33825,268,427,899071,TPE,HKG,EVA871,-832,A321,BR871
1525167606,22.3023,116.0396,32875,269,426,899071,TPE,HKG,EVA871,-960,A321,BR871
1525167672,22.352,115.9126,31750,310,428,899071,TPE,HKG,EVA871,-832,A321,BR871
1525167738,22.4339,115.8116,30675,310,419,899071,TPE,HKG,EVA871,-1152,A321,BR871
1525167790,22.4825,115.719,29800,281,401,899071,TPE,HKG,EVA871,-1152,A321,BR871
1525167854,22.4436,115.601,28750,226,402,899071,TPE,HKG,EVA871,-960,A321,BR871
1525167921,22.3576,115.5068,27375,225,393,899071,TPE,HKG,EVA871,-2368,A321,BR871
1525167980,22.2857,115.4282,26575,225,354,899071,TPE,HKG,EVA871,-768,A321,BR871
1525168042,22.2193,115.3556,25250,225,330,899071,TPE,HKG,EVA871,-1536,A321,BR871
1525168103,22.2004,115.2649,23475,283,324,899071,TPE,HKG,EVA871,-1792,A321,BR871
1525168164,22.2206,115.168,21900,282,312,899071,TPE,HKG,EVA871,-1792,A321,BR871
1525168224,22.2411,115.0754,19650,291,330,899071,TPE,HKG,EVA871,-2816,A321,BR871
1525168284,22.3144,115.0173,17550,330,344,899071,TPE,HKG,EVA871,-2496,A321,BR871
1525168345,22.4002,114.9655,15775,330,330,899071,TPE,HKG,EVA871,-960,A321,BR871
1525168390,22.4351,114.9116,15050,275,298,899071,TPE,HKG,EVA871,-1280,A321,BR871
1525168468,22.3793,114.8233,13700,247,270,899071,TPE,HKG,EVA871,-1152,A321,BR871
1525168528,22.3515,114.7492,12975,247,266,899071,TPE,HKG,EVA871,-64,A321,BR871
1525168589,22.3216,114.6742,12650,246,267,899071,TPE,HKG,EVA871,-1152,A321,BR871
1525168657,22.2881,114.5904,11525,246,261,899071,TPE,HKG,EVA871,-1024,A321,BR871
