timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525178375,35.1676,128.9432,0,194,18,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178388,35.1672,128.943,0,202,19,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178492,35.1655,128.9407,0,118,0,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178549,35.1655,128.9407,0,118,0,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178619,35.1653,128.9388,0,264,14,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178648,35.1657,128.9388,0,354,2,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178744,35.1682,128.9385,0,354,63,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525178811,35.2123,128.92,1700,295,176,71BA11,PUS,HKG,ABL391,2112,A321,BX391
1525178865,35.2293,128.869,3400,295,191,71BA11,PUS,HKG,ABL391,1024,A321,BX391
1525178930,35.2122,128.8026,4575,208,257,71BA11,PUS,HKG,ABL391,1792,A321,BX391
1525178988,35.1708,128.7322,7500,254,266,71BA11,PUS,HKG,ABL391,3072,A321,BX391
1525179048,35.1526,128.6463,10075,254,277,71BA11,PUS,HKG,ABL391,2752,A321,BX391
1525179111,35.1287,128.5416,11475,254,334,71BA11,PUS,HKG,ABL391,1216,A321,BX391
1525179172,35.1013,128.4241,14400,254,332,71BA11,PUS,HKG,ABL391,4224,A321,BX391
1525179237,35.0754,128.3114,16000,252,325,71BA11,PUS,HKG,ABL391,-64,A321,BX391
1525179295,35.0278,128.2255,16000,231,322,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525179356,34.943,128.1672,17125,204,347,71BA11,PUS,HKG,ABL391,1216,A321,BX391
1525179417,34.8502,128.116,18250,204,384,71BA11,PUS,HKG,ABL391,1024,A321,BX391
1525179477,34.751,128.0617,19850,204,398,71BA11,PUS,HKG,ABL391,1024,A321,BX391
1525179541,34.6405,128.0016,21475,204,408,71BA11,PUS,HKG,ABL391,1600,A321,BX391
1525179599,34.5412,127.9476,22725,204,416,71BA11,PUS,HKG,ABL391,1536,A321,BX391
1525179661,34.4289,127.8869,24100,204,420,71BA11,PUS,HKG,ABL391,1152,A321,BX391
1525179724,34.3235,127.8316,26550,203,397,71BA11,PUS,HKG,ABL391,2624,A321,BX391
1525179786,34.216,127.7781,27975,201,400,71BA11,PUS,HKG,ABL391,1280,A321,BX391
1525179843,34.1155,127.7318,28775,200,413,71BA11,PUS,HKG,ABL391,320,A321,BX391
1525179905,34.0065,127.6683,29325,208,424,71BA11,PUS,HKG,ABL391,576,A321,BX391
1525179967,33.8986,127.5985,30175,208,432,71BA11,PUS,HKG,ABL391,1920,A321,BX391
1525180024,33.7995,127.5345,31750,208,418,71BA11,PUS,HKG,ABL391,1280,A321,BX391
1525180091,33.6855,127.461,32000,208,421,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525180147,33.5862,127.3972,32000,208,426,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525180207,33.4812,127.33,32025,208,429,71BA11,PUS,HKG,ABL391,64,A321,BX391
1525180267,33.3764,127.263,32025,208,429,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525180337,33.2542,127.1851,32000,208,428,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525180393,33.1583,127.1242,32000,207,432,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525180460,33.0411,127.05,32000,208,430,71BA11,PUS,HKG,ABL391,0,A321,BX391
1525180502,32.9675,127.0034,31975,207,429,71BA11,PUS,HKG,ABL391,-64,A321,BX391
