timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525160557,19.8211,73.0044,40975,106,505,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160622,19.7718,73.1774,41000,106,504,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160687,19.7297,73.3274,40975,106,504,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160738,19.7109,73.4537,40975,86,502,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160806,19.7413,73.6146,40975,77,501,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160874,19.7748,73.7768,40975,77,501,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160929,19.801,73.9015,41000,77,502,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525160993,19.8337,74.0661,41000,77,504,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161055,19.8647,74.2197,41000,77,505,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161111,19.8913,74.3513,41000,77,505,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161181,19.9249,74.5192,41000,78,504,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161241,19.9541,74.6658,40975,78,504,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161300,19.9832,74.8126,40975,78,504,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161360,20.0109,74.9521,41000,78,505,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161421,20.0399,75.1001,41000,78,506,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161484,20.0705,75.2557,40975,78,507,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161544,20.0992,75.4035,41000,78,508,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161605,20.1281,75.5518,41000,78,509,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161665,20.1567,75.7002,41000,78,510,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161729,20.1868,75.857,41000,78,512,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161790,20.2154,76.0063,40975,78,512,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161847,20.2424,76.148,40975,78,514,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161907,20.2706,76.2971,41000,78,513,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525161969,20.299,76.4478,41000,78,513,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162038,20.3312,76.6194,40975,78,513,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162095,20.3576,76.7611,41000,78,512,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162153,20.3919,76.9016,41000,72,510,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162216,20.4378,77.0535,41000,72,511,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162279,20.4837,77.2055,41000,72,513,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162340,20.5277,77.352,41000,72,514,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162399,20.5718,77.4944,41000,70,514,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162461,20.6211,77.6424,41000,70,515,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162524,20.6707,77.7937,41000,70,517,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162583,20.7168,77.935,40975,70,518,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162645,20.7661,78.085,41000,70,519,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162703,20.812,78.2252,41000,70,520,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162767,20.8632,78.3822,41000,70,521,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162827,20.91,78.5259,40975,70,521,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162887,20.9583,78.6749,41000,70,522,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525162949,21.0073,78.8262,41000,71,522,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163017,21.0598,78.9892,40975,71,523,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163072,21.1024,79.1276,40975,73,524,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163134,21.1444,79.2828,41000,73,525,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163197,21.1872,79.4386,41000,73,527,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163255,21.2276,79.5848,40975,73,528,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163320,21.2725,79.7469,41000,73,529,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163380,21.3145,79.8997,40975,73,529,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163438,21.3544,80.0458,41000,73,530,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163502,21.3978,80.2058,40975,73,532,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163545,21.4271,80.3139,41000,73,532,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163621,21.4736,80.4773,41000,73,532,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163681,21.5169,80.6479,40975,74,532,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163738,21.5585,80.8027,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163801,21.5949,80.9392,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163861,21.6296,81.0692,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163933,21.6712,81.2253,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525163993,21.7058,81.3554,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164053,21.7429,81.4947,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164113,21.7837,81.6479,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164185,21.8326,81.8317,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164245,21.8734,81.9849,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164305,21.9141,82.1382,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164329,21.9305,82.1995,41000,74,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164425,21.887,82.5749,40975,82,539,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164489,21.9108,82.7561,41000,82,541,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164550,21.9332,82.9286,40975,82,541,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164607,21.9528,83.0811,41000,82,543,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164677,21.9765,83.2669,40975,82,543,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164736,21.9966,83.4265,41000,82,542,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164791,22.0152,83.5748,40975,82,542,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164853,22.0336,83.716,40975,82,542,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164911,22.0549,83.8954,40975,82,541,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525164963,22.0718,84.0339,40975,82,537,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525165039,22.0962,84.2344,40975,82,539,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165098,22.115,84.3907,40975,82,539,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165160,22.1347,84.5563,41000,82,540,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165221,22.1541,84.7202,40975,82,541,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165282,22.1736,84.8864,41000,82,543,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165344,22.1928,85.0526,40975,82,544,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165403,22.2111,85.2111,40975,83,543,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525165469,22.2307,85.3837,41000,82,537,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165528,22.2485,85.5413,41000,83,534,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525165589,22.2668,85.705,40975,83,534,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165648,22.2837,85.8573,40975,83,533,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165715,22.3035,86.0369,40975,83,535,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525165769,22.3193,86.1822,40975,83,537,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525165829,22.3348,86.32,40975,83,537,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525165893,22.3544,86.5096,41000,83,539,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525165958,22.3731,86.6859,41000,83,543,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166018,22.39,86.8477,40975,83,543,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166078,22.4066,87.0071,40975,83,542,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525166136,22.4223,87.1607,40975,83,544,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525166199,22.4398,87.3328,40975,83,542,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525166259,22.4555,87.4883,40975,83,541,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525166323,22.4733,87.6673,41000,83,542,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166380,22.4883,87.8195,41000,83,542,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166444,22.5045,87.9855,40975,84,541,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166508,22.5216,88.1637,41000,84,542,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525166567,22.5362,88.3162,40975,84,542,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166618,22.5493,88.4555,40975,84,541,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166692,22.5683,88.6595,40975,84,539,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166757,22.5841,88.8302,41000,84,539,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166820,22.5873,88.9999,41000,94,536,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166879,22.5701,89.1608,41000,96,536,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525166940,22.5522,89.3211,40975,96,536,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167000,22.5342,89.482,41000,96,535,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525167061,22.5162,89.6416,41000,96,534,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525167123,22.4973,89.808,41000,96,532,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525167184,22.4791,89.9659,41000,97,529,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167244,22.4608,90.1227,40975,97,524,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167303,22.443,90.2758,41000,97,521,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525167367,22.4234,90.4412,40975,97,518,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525167428,22.405,90.596,40975,97,517,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525167489,22.3864,90.7503,41000,97,516,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167548,22.3681,90.9024,40975,97,516,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167608,22.3492,91.0573,40975,97,515,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167676,22.3284,91.2259,41000,97,514,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167735,22.3094,91.3792,41000,97,518,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167777,22.2967,91.4884,40975,96,520,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167857,22.2736,91.6918,41000,97,524,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525167917,22.2583,91.8267,41000,97,525,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525167980,22.2839,92.0145,41000,81,529,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168036,22.3044,92.1615,40975,81,529,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168098,22.3264,92.3227,41000,81,530,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168164,22.3501,92.4968,41000,81,528,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525168221,22.3651,92.6446,41000,87,525,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525168283,22.3721,92.8061,40975,87,524,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168340,22.3804,92.9559,41000,86,528,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168405,22.3918,93.1269,40975,84,526,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525168465,22.4063,93.2678,40975,83,525,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525168525,22.4316,93.4389,41000,78,524,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525168587,22.4639,93.5953,40975,77,525,4D0111,DWC,HKG,ICV673,128,B748,C8673
1525168656,22.501,93.7752,41000,77,528,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168714,22.5273,93.9234,40975,81,526,4D0111,DWC,HKG,ICV673,64,B748,C8673
1525168775,22.5477,94.0809,41000,82,526,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525168835,22.5679,94.2381,40975,82,526,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525168899,22.5892,94.4047,41000,82,527,4D0111,DWC,HKG,ICV673,-64,B748,C8673
1525168961,22.6093,94.5634,40975,82,526,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169021,22.6292,94.7208,41000,82,526,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169076,22.6473,94.8643,41000,82,527,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169143,22.669,95.0394,40975,82,526,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169204,22.6885,95.1984,41000,82,525,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169264,22.7079,95.3562,40975,82,523,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169325,22.7271,95.5156,41000,82,524,4D0111,DWC,HKG,ICV673,0,B748,C8673
1525169389,22.7471,95.682,41000,82,525,4D0111,DWC,HKG,ICV673,64,B748,C8673
