timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525154452,38.9625,121.5324,0,198,0,780E20,DLC,HKG,CCA105,0,B738,CA105
1525154489,38.9627,121.5325,0,241,0,780E20,DLC,HKG,CCA105,0,B738,CA105
1525154528,38.9628,121.5325,0,4,10,780E20,DLC,HKG,CCA105,0,B738,CA105
1525155539,38.9667,121.5251,0,95,82,780E20,DLC,HKG,CCA105,0,B738,CA105
1525155671,38.9564,121.6619,3975,95,228,780E20,DLC,HKG,CCA105,1152,B738,CA105
1525155740,38.985,121.7462,6825,13,254,780E20,DLC,HKG,CCA105,3264,B738,CA105
1525155799,39.0409,121.7131,9475,295,254,780E20,DLC,HKG,CCA105,2560,B738,CA105
1525155854,39.0493,121.6246,11350,274,291,780E20,DLC,HKG,CCA105,1152,B738,CA105
1525155921,39.0152,121.5148,13825,216,333,780E20,DLC,HKG,CCA105,2688,B738,CA105
1525155984,38.9246,121.4584,16750,205,351,780E20,DLC,HKG,CCA105,3328,B738,CA105
1525156044,38.8363,121.402,19450,206,360,780E20,DLC,HKG,CCA105,2240,B738,CA105
1525156105,38.7452,121.3442,21675,206,365,780E20,DLC,HKG,CCA105,768,B738,CA105
1525156164,38.6552,121.2874,21700,206,361,780E20,DLC,HKG,CCA105,0,B738,CA105
1525156229,38.5604,121.225,21700,213,358,780E20,DLC,HKG,CCA105,64,B738,CA105
1525156290,38.4923,121.129,21700,233,376,780E20,DLC,HKG,CCA105,0,B738,CA105
1525156348,38.4309,121.0242,21700,233,377,780E20,DLC,HKG,CCA105,0,B738,CA105
1525156413,38.3634,120.9089,21700,233,378,780E20,DLC,HKG,CCA105,0,B738,CA105
1525156473,38.3007,120.8025,21700,233,379,780E20,DLC,HKG,CCA105,0,B738,CA105
1525156533,38.2277,120.7045,21700,212,386,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525156594,38.1306,120.6423,22025,206,390,780E20,DLC,HKG,CCA105,2176,B738,CA105
1525156661,38.0272,120.5819,25600,198,359,780E20,DLC,HKG,CCA105,2432,B738,CA105
1525156719,37.9296,120.5649,27550,183,366,780E20,DLC,HKG,CCA105,1344,B738,CA105
1525156778,37.8266,120.5567,27600,183,392,780E20,DLC,HKG,CCA105,0,B738,CA105
1525156841,37.7134,120.5274,28600,204,390,780E20,DLC,HKG,CCA105,1664,B738,CA105
1525156903,37.6027,120.4831,30025,191,408,780E20,DLC,HKG,CCA105,1344,B738,CA105
1525156963,37.4921,120.4561,31700,187,404,780E20,DLC,HKG,CCA105,1408,B738,CA105
1525157024,37.3776,120.4393,32100,186,411,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157084,37.2653,120.4229,32100,186,412,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157142,37.1569,120.4073,32100,186,409,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157195,37.0543,120.3925,32100,186,410,780E20,DLC,HKG,CCA105,64,B738,CA105
1525157269,36.916,120.3722,32100,186,413,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157328,36.8016,120.3554,32125,186,413,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525157392,36.6817,120.3379,32100,186,412,780E20,DLC,HKG,CCA105,64,B738,CA105
1525157452,36.5673,120.321,32100,186,411,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157512,36.4511,120.3135,32100,181,417,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157562,36.3583,120.3106,32100,180,416,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525157632,36.2181,120.3637,32100,154,463,780E20,DLC,HKG,CCA105,64,B738,CA105
1525157696,36.0949,120.4348,32100,155,459,780E20,DLC,HKG,CCA105,64,B738,CA105
1525157761,35.9726,120.5047,32100,155,459,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157819,35.8569,120.571,32100,154,458,780E20,DLC,HKG,CCA105,0,B738,CA105
1525157879,35.7411,120.637,32100,155,462,780E20,DLC,HKG,CCA105,64,B738,CA105
1525157939,35.6249,120.7031,32100,155,463,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158003,35.5034,120.7719,32100,155,463,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158063,35.3823,120.8335,32100,157,457,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158124,35.2646,120.8915,32100,158,454,780E20,DLC,HKG,CCA105,64,B738,CA105
1525158183,35.1483,120.9487,32100,158,454,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158242,35.036,121.0039,32100,157,458,780E20,DLC,HKG,CCA105,64,B738,CA105
1525158307,34.9056,121.0684,32100,157,465,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158365,34.7899,121.1259,32100,157,467,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158429,34.6789,121.0954,32100,209,467,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158472,34.5732,121.2328,32100,157,470,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158550,34.4246,121.3352,32100,127,507,780E20,DLC,HKG,CCA105,64,B738,CA105
1525158613,34.3536,121.478,32100,131,517,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158672,34.3081,121.6535,32100,119,506,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158735,34.1922,121.7434,32100,158,459,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158787,34.0898,121.7931,32100,158,457,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158861,33.9443,121.8631,32100,158,455,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158919,33.8335,121.9161,32100,158,455,780E20,DLC,HKG,CCA105,0,B738,CA105
1525158979,33.7138,121.9743,32100,157,456,780E20,DLC,HKG,CCA105,64,B738,CA105
1525159044,33.5854,122.0367,32100,157,459,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159106,33.4668,122.094,32100,157,461,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159165,33.3464,122.1521,32100,157,464,780E20,DLC,HKG,CCA105,64,B738,CA105
1525159225,33.2259,122.2102,32100,157,468,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159286,33.1039,122.2688,32100,157,467,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159343,32.9897,122.3233,32100,158,463,780E20,DLC,HKG,CCA105,64,B738,CA105
1525159410,32.8584,122.3858,32100,158,461,780E20,DLC,HKG,CCA105,64,B738,CA105
1525159470,32.7376,122.4343,32100,169,449,780E20,DLC,HKG,CCA105,64,B738,CA105
1525159529,32.6153,122.4642,32100,167,451,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159588,32.4926,122.4953,32100,168,445,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159649,32.3719,122.5252,32100,168,443,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159712,32.251,122.5555,32100,167,443,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159774,32.1237,122.5872,32100,168,444,780E20,DLC,HKG,CCA105,0,B738,CA105
1525159826,32.0211,122.6063,32100,179,439,780E20,DLC,HKG,CCA105,128,B738,CA105
1525159892,31.8896,122.5863,32100,188,430,780E20,DLC,HKG,CCA105,64,B738,CA105
1525159953,31.7647,122.564,32100,188,431,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160017,31.6398,122.541,32100,188,431,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160082,31.5161,122.5184,32100,188,425,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160136,31.408,122.4988,32100,188,426,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525160201,31.2815,122.4759,32100,188,426,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160260,31.1673,122.4553,32100,188,427,780E20,DLC,HKG,CCA105,64,B738,CA105
1525160323,31.0402,122.4322,32100,188,429,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160382,30.9358,122.3936,32100,214,405,780E20,DLC,HKG,CCA105,192,B738,CA105
1525160443,30.8368,122.3212,32100,194,423,780E20,DLC,HKG,CCA105,-128,B738,CA105
1525160502,30.7176,122.3123,32100,183,438,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160549,30.6262,122.3068,32100,182,439,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525160618,30.4822,122.2994,32100,182,439,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160672,30.3761,122.2938,32100,182,439,780E20,DLC,HKG,CCA105,64,B738,CA105
1525160739,30.2361,122.2862,32100,182,439,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160810,30.0944,122.2773,32100,183,440,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160863,29.9876,122.2706,32100,183,440,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160931,29.8425,122.2864,32100,168,455,780E20,DLC,HKG,CCA105,0,B738,CA105
1525160996,29.7076,122.3179,32100,168,454,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161053,29.5952,122.3442,32100,168,453,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161112,29.471,122.373,32100,168,452,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525161180,29.3332,122.4077,32100,162,465,780E20,DLC,HKG,CCA105,128,B738,CA105
1525161239,29.2093,122.4532,32100,162,464,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161300,29.0832,122.4983,32100,162,464,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161360,28.9628,122.495,32100,205,433,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161421,28.8527,122.436,32100,207,429,780E20,DLC,HKG,CCA105,64,B738,CA105
1525161484,28.7406,122.3701,32100,207,429,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161544,28.6376,122.2994,32100,213,428,780E20,DLC,HKG,CCA105,64,B738,CA105
1525161602,28.5412,122.2283,32100,213,429,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161663,28.4405,122.1546,32100,212,428,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525161730,28.3291,122.073,32100,212,429,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161787,28.2304,122.0072,32100,210,432,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161848,28.125,121.9368,32100,210,434,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161908,28.0203,121.8665,32100,210,436,780E20,DLC,HKG,CCA105,0,B738,CA105
1525161968,27.9144,121.7957,32100,210,440,780E20,DLC,HKG,CCA105,0,B738,CA105
1525162036,27.8003,121.7139,32100,221,427,780E20,DLC,HKG,CCA105,-64,B738,CA105
1525162096,27.7222,121.6159,32100,226,422,780E20,DLC,HKG,CCA105,64,B738,CA105
1525162151,27.6336,121.5438,32100,210,431,780E20,DLC,HKG,CCA105,0,B738,CA105
1525162217,27.5184,121.4719,32100,208,431,780E20,DLC,HKG,CCA105,0,B738,CA105
1525162281,27.4066,121.4041,32100,208,431,780E20,DLC,HKG,CCA105,0,B738,CA105
1525162341,27.3,121.3395,32100,208,434,780E20,DLC,HKG,CCA105,0,B738,CA105
1525162402,27.1921,121.2742,32100,208,435,780E20,DLC,HKG,CCA105,0,B738,CA105
