timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525169929,18.0638,107.3093,41000,54,492,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525169989,18.132,107.4081,41000,54,492,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170055,18.2223,107.5823,41000,57,493,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170119,18.3003,107.7097,41000,54,489,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170181,18.3874,107.8217,41000,50,485,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170241,18.4737,107.9318,41000,50,486,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170300,18.5596,108.0413,40775,50,494,780AAC,BKK,HKG,CPA712,-448,A359,CX712
1525170364,18.6519,108.159,40275,50,489,780AAC,BKK,HKG,CPA712,-512,A359,CX712
1525170422,18.7353,108.2655,39800,50,492,780AAC,BKK,HKG,CPA712,-448,A359,CX712
1525170477,18.8054,108.3619,39575,55,495,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170539,18.9076,108.4862,39100,50,498,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170604,19.0021,108.6076,39100,50,499,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170663,19.0889,108.7194,39100,50,499,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170733,19.1911,108.8512,39100,50,498,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170791,19.2758,108.9606,39100,50,498,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170848,19.3589,109.0681,39100,50,498,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170912,19.452,109.1889,39100,50,497,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525170975,19.5431,109.3079,39100,51,500,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171037,19.6328,109.426,39100,51,502,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171097,19.7177,109.538,39100,51,503,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171154,19.8028,109.6504,39100,51,503,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171214,19.8914,109.7675,39100,51,500,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171278,19.9841,109.8904,39100,51,504,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171339,20.0721,110.0074,39100,51,506,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171396,20.159,110.1228,39100,51,508,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171464,20.2561,110.2526,39100,51,506,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171526,20.3434,110.3729,39100,60,506,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171581,20.3998,110.4866,39125,58,508,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171637,20.4591,110.605,39125,58,510,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171704,20.5249,110.7805,39100,64,513,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171769,20.5889,110.9241,39100,64,511,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171835,20.6563,111.076,39100,64,511,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525171893,20.7143,111.2073,39100,64,510,780AAC,BKK,HKG,CPA712,-64,A359,CX712
1525171950,20.773,111.3403,39100,64,489,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525172018,20.8366,111.4849,39100,65,486,780AAC,BKK,HKG,CPA712,-64,A359,CX712
1525172068,20.8764,111.5983,39100,70,485,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525172134,20.9268,111.747,39100,70,486,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525172196,20.9732,111.885,37475,70,481,780AAC,BKK,HKG,CPA712,-1536,A359,CX712
1525172238,21.0055,111.9813,36200,70,476,780AAC,BKK,HKG,CPA712,-1408,A359,CX712
1525172317,21.0723,112.134,35075,52,464,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525172377,21.1397,112.2264,35075,52,464,780AAC,BKK,HKG,CPA712,0,A359,CX712
1525172428,21.1392,112.3823,32300,70,426,780AAC,BKK,HKG,CPA712,-1152,A359,CX712
1525172499,21.1847,112.5193,30800,70,408,780AAC,BKK,HKG,CPA712,-1152,A359,CX712
1525172566,21.2258,112.6436,29475,70,393,780AAC,BKK,HKG,CPA712,-960,A359,CX712
1525172623,21.2599,112.7471,28525,70,376,780AAC,BKK,HKG,CPA712,-896,A359,CX712
1525172682,21.2942,112.8511,27275,70,368,780AAC,BKK,HKG,CPA712,-1152,A359,CX712
1525172749,21.3309,112.9632,25950,70,359,780AAC,BKK,HKG,CPA712,-1344,A359,CX712
1525172807,21.3625,113.0594,24625,70,356,780AAC,BKK,HKG,CPA712,-2240,A359,CX712
1525172873,21.3948,113.172,22950,83,354,780AAC,BKK,HKG,CPA712,-1280,A359,CX712
1525172933,21.4021,113.2756,21725,85,344,780AAC,BKK,HKG,CPA712,-1344,A359,CX712
1525172993,21.4087,113.3775,20450,86,338,780AAC,BKK,HKG,CPA712,-1152,A359,CX712
1525173057,21.4147,113.4814,19275,86,328,780AAC,BKK,HKG,CPA712,-1408,A359,CX712
1525173117,21.4196,113.5784,18050,85,322,780AAC,BKK,HKG,CPA712,-1024,A359,CX712
1525173175,21.4721,113.6407,16475,19,311,780AAC,BKK,HKG,CPA712,-1728,A359,CX712
1525173239,21.5557,113.6727,14525,18,297,780AAC,BKK,HKG,CPA712,-1920,A359,CX712
1525173300,21.6371,113.702,12900,18,287,780AAC,BKK,HKG,CPA712,-1472,A359,CX712
