timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525170729,18.1289,116.3163,41000,333,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525170789,18.2484,116.2522,41000,333,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525170849,18.3674,116.1872,41000,332,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525170909,18.4858,116.1208,41000,332,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525170969,18.6042,116.0544,41000,332,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171029,18.7226,115.988,41000,332,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171089,18.8409,115.9215,41000,332,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171149,18.9593,115.855,41000,332,483,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171216,19.1017,115.8,41000,339,468,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171277,19.2008,115.7442,41000,332,468,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171337,19.2983,115.6893,41000,332,468,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171397,19.3958,115.6344,41000,332,468,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171454,19.5872,115.6131,41000,339,469,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171505,19.6931,115.5722,41000,339,472,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171581,19.8153,115.4972,41000,330,472,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171643,19.9781,115.4617,41000,339,471,896228,SYD,HKG,UAE9822,0,B77L,EK9822
1525171701,20.0962,115.4157,40575,339,466,896228,SYD,HKG,UAE9822,-1216,B77L,EK9822
1525171766,20.2309,115.3632,38225,339,477,896228,SYD,HKG,UAE9822,-1344,B77L,EK9822
1525171833,20.3679,115.3099,36225,339,486,896228,SYD,HKG,UAE9822,-2304,B77L,EK9822
1525171893,20.4972,115.2593,34175,339,496,896228,SYD,HKG,UAE9822,-2432,B77L,EK9822
1525171953,20.6296,115.2075,31925,339,503,896228,SYD,HKG,UAE9822,-2368,B77L,EK9822
1525172014,20.7613,115.1559,29975,339,498,896228,SYD,HKG,UAE9822,-1856,B77L,EK9822
1525172055,20.851,115.1207,28475,339,489,896228,SYD,HKG,UAE9822,-2496,B77L,EK9822
1525172134,21.014,115.0498,25825,328,469,896228,SYD,HKG,UAE9822,-2048,B77L,EK9822
1525172195,21.0939,114.9511,24700,292,413,896228,SYD,HKG,UAE9822,-768,B77L,EK9822
1525172261,21.1161,114.8301,24075,279,356,896228,SYD,HKG,UAE9822,-512,B77L,EK9822
1525172321,21.1322,114.7306,23550,279,320,896228,SYD,HKG,UAE9822,-704,B77L,EK9822
1525172380,21.1561,114.6425,22650,306,324,896228,SYD,HKG,UAE9822,-1856,B77L,EK9822
1525172439,21.2373,114.6079,21175,349,328,896228,SYD,HKG,UAE9822,-1856,B77L,EK9822
1525172500,21.328,114.5908,18775,349,320,896228,SYD,HKG,UAE9822,-1920,B77L,EK9822
1525172565,21.4195,114.5723,17225,349,315,896228,SYD,HKG,UAE9822,-1792,B77L,EK9822
1525172623,21.5011,114.5537,15350,343,298,896228,SYD,HKG,UAE9822,-2368,B77L,EK9822
1525172682,21.5771,114.5273,13625,341,289,896228,SYD,HKG,UAE9822,-1408,B77L,EK9822
1525172746,21.6518,114.4831,12550,322,278,896228,SYD,HKG,UAE9822,-1152,B77L,EK9822
1525172807,21.7124,114.4326,11750,322,274,896228,SYD,HKG,UAE9822,-704,B77L,EK9822
1525172873,21.779,114.3775,11000,322,271,896228,SYD,HKG,UAE9822,-704,B77L,EK9822
1525172933,21.8378,114.3286,10275,322,270,896228,SYD,HKG,UAE9822,-640,B77L,EK9822
1525172993,21.8974,114.2791,9675,322,270,896228,SYD,HKG,UAE9822,-640,B77L,EK9822
1525173057,21.9609,114.2262,9050,322,270,896228,SYD,HKG,UAE9822,-640,B77L,EK9822
1525173118,22.0206,114.1765,8125,322,269,896228,SYD,HKG,UAE9822,-1216,B77L,EK9822
1525173160,22.0621,114.1417,7350,322,265,896228,SYD,HKG,UAE9822,-960,B77L,EK9822
1525173217,22.089,114.0814,6675,250,247,896228,SYD,HKG,UAE9822,-448,B77L,EK9822
1525173299,22.0318,114.0039,6050,226,246,896228,SYD,HKG,UAE9822,-128,B77L,EK9822
1525173358,21.9921,113.9441,5650,251,245,896228,SYD,HKG,UAE9822,-448,B77L,EK9822
1525173421,21.9714,113.8749,5125,275,247,896228,SYD,HKG,UAE9822,-512,B77L,EK9822
1525173481,22.022,113.8285,4650,339,253,896228,SYD,HKG,UAE9822,-448,B77L,EK9822
1525173545,22.0916,113.8012,4100,339,239,896228,SYD,HKG,UAE9822,-576,B77L,EK9822
