timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525137160,19.3735,73.1491,41000,73,514,040047,ADD,HKG,ETH608,-64,B788,ET608
1525137220,19.4148,73.2954,40975,73,513,040047,ADD,HKG,ETH608,0,B788,ET608
1525137284,19.4578,73.4483,41000,73,513,040047,ADD,HKG,ETH608,0,B788,ET608
1525137345,19.4987,73.5939,41000,73,512,040047,ADD,HKG,ETH608,0,B788,ET608
1525137407,19.5412,73.7463,41000,73,513,040047,ADD,HKG,ETH608,0,B788,ET608
1525137468,19.5817,73.8917,40975,73,512,040047,ADD,HKG,ETH608,0,B788,ET608
1525137532,19.6238,74.0431,41000,73,513,040047,ADD,HKG,ETH608,-64,B788,ET608
1525137591,19.6644,74.1902,40975,73,514,040047,ADD,HKG,ETH608,0,B788,ET608
1525137652,19.7045,74.3359,41000,73,515,040047,ADD,HKG,ETH608,-64,B788,ET608
1525137713,19.7447,74.4823,41000,73,515,040047,ADD,HKG,ETH608,0,B788,ET608
1525137773,19.7851,74.6297,40975,73,516,040047,ADD,HKG,ETH608,-64,B788,ET608
1525137833,19.8254,74.7776,40975,73,517,040047,ADD,HKG,ETH608,0,B788,ET608
1525137893,19.8571,74.9138,41000,79,517,040047,ADD,HKG,ETH608,0,B788,ET608
1525137955,19.9057,75.0736,41000,74,515,040047,ADD,HKG,ETH608,0,B788,ET608
1525138016,19.9456,75.2214,41000,74,516,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138076,19.9852,75.3689,41000,74,517,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138140,20.0265,75.5231,41000,74,517,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138199,20.0655,75.6693,41000,74,517,040047,ADD,HKG,ETH608,0,B788,ET608
1525138259,20.1043,75.8153,40975,74,519,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138320,20.1439,75.9645,41000,74,519,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138380,20.1829,76.1121,40975,74,521,040047,ADD,HKG,ETH608,0,B788,ET608
1525138444,20.2238,76.268,40975,74,519,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138503,20.2622,76.4146,41000,74,520,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138565,20.3012,76.5641,40975,74,520,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138625,20.34,76.7131,41000,74,522,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138693,20.3859,76.8841,41000,72,523,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138752,20.4308,77.031,40975,71,523,040047,ADD,HKG,ETH608,0,B788,ET608
1525138812,20.4756,77.1785,41000,72,525,040047,ADD,HKG,ETH608,-64,B788,ET608
1525138874,20.52,77.3259,40975,72,528,040047,ADD,HKG,ETH608,0,B788,ET608
1525138932,20.5664,77.4765,40975,70,530,040047,ADD,HKG,ETH608,64,B788,ET608
1525138996,20.6175,77.6317,40975,70,527,040047,ADD,HKG,ETH608,-64,B788,ET608
