timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525177322,18.0159,107.2254,37025,54,468,880843,DMK,HKG,AIQ502,0,A320,FD502
1525177389,18.0985,107.3773,36975,57,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525177449,18.1695,107.4944,36975,57,467,880843,DMK,HKG,AIQ502,64,A320,FD502
1525177508,18.2387,107.6088,37000,57,468,880843,DMK,HKG,AIQ502,64,A320,FD502
1525177573,18.3157,107.7303,37000,52,464,880843,DMK,HKG,AIQ502,128,A320,FD502
1525177633,18.3997,107.8372,37050,50,461,880843,DMK,HKG,AIQ502,0,A320,FD502
1525177701,18.4901,107.9521,36975,50,461,880843,DMK,HKG,AIQ502,-64,A320,FD502
1525177751,18.5592,108.0405,37100,50,460,880843,DMK,HKG,AIQ502,128,A320,FD502
1525177824,18.6593,108.168,37100,50,461,880843,DMK,HKG,AIQ502,0,A320,FD502
1525177884,18.7414,108.2729,37100,50,463,880843,DMK,HKG,AIQ502,0,A320,FD502
1525177938,18.8067,108.3631,37100,55,464,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178010,18.8821,108.4768,37100,55,464,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178062,18.9738,108.5769,37100,55,463,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178129,19.074,108.6998,37075,50,467,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178196,19.167,108.8196,37125,50,467,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178252,19.2424,108.917,37125,50,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178319,19.3332,109.0344,37100,50,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178380,19.4191,109.1457,37100,50,465,880843,DMK,HKG,AIQ502,-64,A320,FD502
1525178440,19.4992,109.2497,37075,51,466,880843,DMK,HKG,AIQ502,64,A320,FD502
1525178500,19.5792,109.3551,37100,51,466,880843,DMK,HKG,AIQ502,-64,A320,FD502
1525178563,19.6652,109.4682,37075,51,468,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178625,19.7503,109.5805,37125,51,468,880843,DMK,HKG,AIQ502,64,A320,FD502
1525178686,19.8337,109.6907,37125,51,467,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178735,19.9012,109.7801,37125,51,466,880843,DMK,HKG,AIQ502,64,A320,FD502
1525178810,20.0026,109.9146,37100,51,465,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178867,20.0792,110.0163,37100,51,465,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178928,20.1611,110.1251,37100,51,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525178991,20.2451,110.2374,37100,51,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179034,20.3044,110.3157,37100,51,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179102,20.3803,110.431,37100,58,466,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179174,20.4513,110.5977,37100,65,472,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179234,20.5051,110.7203,37100,65,472,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179293,20.5613,110.8488,37100,65,472,880843,DMK,HKG,AIQ502,64,A320,FD502
1525179360,20.6207,110.9854,37100,65,472,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179418,20.6743,111.1084,37100,65,472,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179480,20.7323,111.2426,37100,65,473,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179542,20.7883,111.3721,37100,65,474,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179597,20.839,111.4899,37100,65,474,880843,DMK,HKG,AIQ502,64,A320,FD502
1525179643,20.8754,111.5943,37100,70,476,880843,DMK,HKG,AIQ502,0,A320,FD502
1525179720,20.9335,111.7664,37125,70,478,880843,DMK,HKG,AIQ502,64,A320,FD502
1525179784,20.981,111.9079,36700,70,478,880843,DMK,HKG,AIQ502,-896,A320,FD502
1525179835,21.0187,112.0205,35900,70,482,880843,DMK,HKG,AIQ502,-1088,A320,FD502
1525179904,21.0708,112.1761,35000,70,487,880843,DMK,HKG,AIQ502,-512,A320,FD502
1525179964,21.1176,112.3165,34475,70,491,880843,DMK,HKG,AIQ502,-512,A320,FD502
1525180028,21.1655,112.461,34025,70,489,880843,DMK,HKG,AIQ502,-448,A320,FD502
1525180086,21.2102,112.5958,33550,70,491,880843,DMK,HKG,AIQ502,-576,A320,FD502
1525180148,21.2564,112.736,32325,70,489,880843,DMK,HKG,AIQ502,-2496,A320,FD502
1525180208,21.3014,112.8724,29975,70,481,880843,DMK,HKG,AIQ502,-2496,A320,FD502
1525180267,21.3447,113.0044,27600,70,469,880843,DMK,HKG,AIQ502,-2560,A320,FD502
1525180329,21.3881,113.1373,25175,70,456,880843,DMK,HKG,AIQ502,-2624,A320,FD502
1525180392,21.443,113.2658,21900,63,456,880843,DMK,HKG,AIQ502,-3264,A320,FD502
1525180457,21.5044,113.3956,19225,63,437,880843,DMK,HKG,AIQ502,-2368,A320,FD502
1525180517,21.5564,113.506,18300,63,389,880843,DMK,HKG,AIQ502,-832,A320,FD502
1525180577,21.6015,113.6017,17625,63,337,880843,DMK,HKG,AIQ502,-832,A320,FD502
1525180639,21.6427,113.6895,15825,63,315,880843,DMK,HKG,AIQ502,-1984,A320,FD502
1525180701,21.7049,113.7595,13400,42,313,880843,DMK,HKG,AIQ502,-2368,A320,FD502
1525180764,21.7717,113.8247,12100,42,298,880843,DMK,HKG,AIQ502,-1216,A320,FD502
1525180824,21.8317,113.8833,10875,41,290,880843,DMK,HKG,AIQ502,-1408,A320,FD502
1525180883,21.8995,113.926,9600,28,285,880843,DMK,HKG,AIQ502,-1280,A320,FD502
1525180936,21.9611,113.954,8500,3,275,880843,DMK,HKG,AIQ502,-1728,A320,FD502
