timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525162459,31.1834,121.3319,0,95,17,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162519,31.1834,121.3321,0,180,0,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162581,31.1834,121.3321,0,180,0,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162642,31.1834,121.3321,0,180,0,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162700,31.1834,121.3321,0,271,0,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162762,31.1834,121.3321,0,89,0,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162825,31.1834,121.3321,0,89,0,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162884,31.1835,121.3331,0,70,23,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525162947,31.1895,121.3329,0,357,92,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525163016,31.2284,121.3165,2325,303,139,7800F3,SHA,HKG,CSH845,1664,A333,FM845
1525163076,31.2492,121.2786,3600,302,164,7800F3,SHA,HKG,CSH845,512,A333,FM845
1525163118,31.271,121.2383,4250,299,229,7800F3,SHA,HKG,CSH845,1344,A333,FM845
1525163196,31.2314,121.1433,8300,235,269,7800F3,SHA,HKG,CSH845,3200,A333,FM845
1525163253,31.1655,121.1201,9275,175,286,7800F3,SHA,HKG,CSH845,1728,A333,FM845
1525163313,31.0852,121.1047,11675,211,315,7800F3,SHA,HKG,CSH845,2112,A333,FM845
1525163370,31.0131,121.0529,15125,212,311,7800F3,SHA,HKG,CSH845,5248,A333,FM845
1525163436,30.9359,120.9979,18500,212,307,7800F3,SHA,HKG,CSH845,1920,A333,FM845
1525163502,30.8562,120.9202,20225,219,356,7800F3,SHA,HKG,CSH845,2688,A333,FM845
1525163564,30.7821,120.8326,21550,230,393,7800F3,SHA,HKG,CSH845,1280,A333,FM845
1525163623,30.7156,120.7317,21700,234,398,7800F3,SHA,HKG,CSH845,0,A333,FM845
1525163689,30.6411,120.6137,21725,233,411,7800F3,SHA,HKG,CSH845,448,A333,FM845
1525163749,30.575,120.5094,22675,233,406,7800F3,SHA,HKG,CSH845,1024,A333,FM845
