timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525144269,37.4799,126.4382,775,325,158,AC2D32,ICN,HKG,FDX5986,2368,B77L,FX5986
1525144326,37.5199,126.4034,3400,327,182,AC2D32,ICN,HKG,FDX5986,1984,B77L,FX5986
1525144395,37.5739,126.3549,5400,305,270,AC2D32,ICN,HKG,FDX5986,2688,B77L,FX5986
1525144463,37.5798,126.2521,9425,268,280,AC2D32,ICN,HKG,FDX5986,3712,B77L,FX5986
1525144517,37.5272,126.1847,11600,198,341,AC2D32,ICN,HKG,FDX5986,2240,B77L,FX5986
1525144581,37.43,126.1528,15425,180,386,AC2D32,ICN,HKG,FDX5986,4544,B77L,FX5986
1525144647,37.3289,126.2459,19550,129,439,AC2D32,ICN,HKG,FDX5986,3264,B77L,FX5986
1525144704,37.2534,126.3597,22425,130,468,AC2D32,ICN,HKG,FDX5986,3136,B77L,FX5986
1525144766,37.1497,126.4653,25700,155,470,AC2D32,ICN,HKG,FDX5986,3200,B77L,FX5986
1525144832,37.0129,126.5258,28000,163,483,AC2D32,ICN,HKG,FDX5986,384,B77L,FX5986
1525144888,36.8866,126.567,28000,165,482,AC2D32,ICN,HKG,FDX5986,64,B77L,FX5986
1525144948,36.7572,126.6091,29300,165,488,AC2D32,ICN,HKG,FDX5986,1920,B77L,FX5986
1525145009,36.6228,126.6538,31800,164,501,AC2D32,ICN,HKG,FDX5986,3520,B77L,FX5986
1525145078,36.4693,126.7054,35225,165,491,AC2D32,ICN,HKG,FDX5986,2496,B77L,FX5986
1525145137,36.3408,126.7483,37400,164,490,AC2D32,ICN,HKG,FDX5986,1728,B77L,FX5986
1525145200,36.2062,126.7937,38000,164,489,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145259,36.076,126.804,38000,185,456,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145316,35.9549,126.7908,38000,185,454,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145379,35.8234,126.7766,38000,184,457,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145441,35.6924,126.7625,37975,185,457,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145501,35.566,126.7487,38000,185,455,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145562,35.4376,126.7351,38000,184,457,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145624,35.3107,126.7216,38000,185,442,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145687,35.1803,126.7076,38000,184,440,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145744,35.0636,126.6952,38000,185,442,AC2D32,ICN,HKG,FDX5986,64,B77L,FX5986
1525145806,34.9392,126.6822,38000,185,441,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145865,34.8178,126.6693,37975,184,444,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145925,34.6961,126.6564,38000,185,444,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525145985,34.5708,126.6432,38000,185,446,AC2D32,ICN,HKG,FDX5986,64,B77L,FX5986
1525146049,34.4379,126.6293,38000,184,447,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525146100,34.3355,126.6186,38000,185,447,AC2D32,ICN,HKG,FDX5986,-64,B77L,FX5986
1525146170,34.1906,126.6036,38000,184,449,AC2D32,ICN,HKG,FDX5986,0,B77L,FX5986
1525146231,34.065,126.5904,38000,184,449,AC2D32,ICN,HKG,FDX5986,-64,B77L,FX5986
