timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525120854,18.0394,112.6453,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525120914,18.1595,112.6792,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525120974,18.2796,112.7131,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121034,18.3997,112.747,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121094,18.5198,112.7809,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121154,18.6399,112.8149,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121214,18.7601,112.8489,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121274,18.8802,112.8829,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121334,19.0003,112.9169,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121406,19.1444,112.9578,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121466,19.2645,112.9919,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121526,19.3847,113.026,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121586,19.5048,113.0601,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121646,19.6249,113.0943,35000,15,448,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121710,19.3209,114.496,32000,2,473,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121771,19.4563,114.5011,32000,2,472,8A0220,CGK,HKG,GIA876,64,B738,GA876
1525121829,19.5842,114.5059,32000,1,472,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121897,19.7281,114.5112,32000,2,473,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525121953,19.856,114.5162,32000,1,477,8A0220,CGK,HKG,GIA876,64,B738,GA876
1525122018,20.0018,114.5214,32000,2,480,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525122075,20.1273,114.526,32000,1,481,8A0220,CGK,HKG,GIA876,64,B738,GA876
1525122143,20.2787,114.5318,32000,2,481,8A0220,CGK,HKG,GIA876,64,B738,GA876
1525122203,20.412,114.5367,31100,1,470,8A0220,CGK,HKG,GIA876,-1152,B738,GA876
1525122251,20.5145,114.5401,30250,1,460,8A0220,CGK,HKG,GIA876,-1088,B738,GA876
1525122324,20.6674,114.5459,28975,2,450,8A0220,CGK,HKG,GIA876,-1216,B738,GA876
1525122387,20.8004,114.551,26800,2,458,8A0220,CGK,HKG,GIA876,-2240,B738,GA876
1525122434,20.896,114.554,25150,1,451,8A0220,CGK,HKG,GIA876,-2112,B738,GA876
1525122511,21.0391,114.492,21750,327,426,8A0220,CGK,HKG,GIA876,-2432,B738,GA876
1525122571,21.1378,114.426,19625,328,404,8A0220,CGK,HKG,GIA876,-2112,B738,GA876
1525122630,21.2322,114.363,17625,328,392,8A0220,CGK,HKG,GIA876,-2112,B738,GA876
1525122690,21.3242,114.3018,15950,328,381,8A0220,CGK,HKG,GIA876,-1728,B738,GA876
1525122757,21.4222,114.2359,14350,327,370,8A0220,CGK,HKG,GIA876,-1024,B738,GA876
1525122819,21.5103,114.1775,13350,327,374,8A0220,CGK,HKG,GIA876,-1024,B738,GA876
1525122880,21.5982,114.1184,11450,327,366,8A0220,CGK,HKG,GIA876,-2240,B738,GA876
1525122936,21.6801,114.0633,9525,327,353,8A0220,CGK,HKG,GIA876,-1024,B738,GA876
1525123001,21.7648,114.0064,8725,327,303,8A0220,CGK,HKG,GIA876,-1152,B738,GA876
1525123062,21.8338,113.96,8100,327,283,8A0220,CGK,HKG,GIA876,-576,B738,GA876
1525123122,21.9007,113.9151,7400,327,278,8A0220,CGK,HKG,GIA876,-1024,B738,GA876
1525123183,21.9661,113.8709,6375,327,269,8A0220,CGK,HKG,GIA876,-1024,B738,GA876
1525123247,22.0307,113.8273,5375,328,253,8A0220,CGK,HKG,GIA876,-960,B738,GA876
1525123308,22.0891,113.7877,4475,327,239,8A0220,CGK,HKG,GIA876,-896,B738,GA876
1525123366,22.1474,113.7555,3625,335,229,8A0220,CGK,HKG,GIA876,-832,B738,GA876
1525123429,22.2035,113.7272,2875,334,210,8A0220,CGK,HKG,GIA876,-832,B738,GA876
1525123486,22.2534,113.7305,2050,52,188,8A0220,CGK,HKG,GIA876,-896,B738,GA876
1525123544,22.2721,113.7775,1725,70,174,8A0220,CGK,HKG,GIA876,64,B738,GA876
1525123610,22.2888,113.8294,1300,70,153,8A0220,CGK,HKG,GIA876,-640,B738,GA876
1525123672,22.3026,113.8722,550,71,148,8A0220,CGK,HKG,GIA876,-768,B738,GA876
1525123731,22.3154,113.9119,0,70,84,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525123789,22.3161,113.9197,0,87,29,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525123846,22.3172,113.9231,0,73,29,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525123907,22.3185,113.9271,0,70,15,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525123975,22.3187,113.9312,0,160,28,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525124027,22.3164,113.9319,0,191,20,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525124053,22.3156,113.9324,0,143,16,8A0220,CGK,HKG,GIA876,0,B738,GA876
1525124109,22.3154,113.9326,0,143,0,8A0220,CGK,HKG,GIA876,0,B738,GA876
