timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525179721,34.4821,135.9349,34000,242,402,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525179784,34.4282,135.8098,34000,242,401,841EBC,NRT,HKG,JJP23,-64,A320,GK23
1525179842,34.3786,135.6953,34000,242,401,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525179905,34.3241,135.5696,34000,242,401,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525179966,34.2719,135.4499,34025,242,400,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525180026,34.2196,135.3302,34000,242,400,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180088,34.1647,135.2053,34000,242,400,841EBC,NRT,HKG,JJP23,-64,A320,GK23
1525180150,34.1123,135.0861,33975,242,401,841EBC,NRT,HKG,JJP23,-64,A320,GK23
1525180211,34.0599,134.9673,34000,242,403,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180270,34.0067,134.8474,34000,241,405,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180338,33.9482,134.716,34000,241,407,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180394,33.897,134.6013,34025,241,407,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180457,33.8412,134.4769,34025,241,404,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180518,33.7884,134.3591,34000,241,402,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180577,33.735,134.2407,33975,241,403,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180638,33.6813,134.1223,34000,241,404,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525180698,33.627,134.0028,34000,241,404,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180765,33.5685,133.8744,34000,241,405,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180825,33.5136,133.7542,34025,241,403,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180885,33.4595,133.6363,34000,241,403,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525180954,33.3972,133.5011,34000,241,403,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181015,33.3428,133.3836,34000,241,401,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181074,33.2913,133.2725,34000,241,400,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181139,33.227,133.1465,33975,234,401,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181202,33.1592,133.0311,33975,235,403,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181262,33.096,132.9239,34000,234,405,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525181322,33.0301,132.8121,34025,234,407,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181370,32.9783,132.7247,34025,234,409,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181435,32.9083,132.6066,34000,235,412,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181499,32.8396,132.4913,34025,235,412,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181555,32.7747,132.3828,34025,234,410,841EBC,NRT,HKG,JJP23,-64,A320,GK23
1525181620,32.703,132.2629,33975,234,410,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181687,32.6285,132.1384,33975,235,416,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181753,32.557,132.0159,34000,235,418,841EBC,NRT,HKG,JJP23,128,A320,GK23
1525181814,32.4899,131.9021,34050,235,420,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525181867,32.4295,131.8001,34025,234,420,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181927,32.3624,131.6869,34000,235,418,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525181990,32.2921,131.5687,34000,234,419,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525182054,32.2232,131.4533,34000,234,419,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525182117,32.1518,131.3338,34000,234,419,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525182174,32.0883,131.2282,33975,234,421,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525182242,32.0105,131.0986,33975,234,423,841EBC,NRT,HKG,JJP23,-64,A320,GK23
1525182294,31.953,131.0036,34000,234,424,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525182363,31.8728,130.8714,34025,234,423,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525182425,31.8125,130.7598,34000,242,423,841EBC,NRT,HKG,JJP23,0,A320,GK23
1525182485,31.735,130.6451,34000,234,422,841EBC,NRT,HKG,JJP23,64,A320,GK23
1525182548,31.6615,130.5268,33975,232,426,841EBC,NRT,HKG,JJP23,0,A320,GK23
