timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525173906,34.4381,135.2496,0,140,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525173967,34.4381,135.2496,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525173997,34.4381,135.2496,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174072,34.4381,135.2496,0,129,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174158,34.4381,135.2496,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174203,34.4381,135.2496,0,231,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174248,34.4381,135.2496,0,231,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174314,34.4381,135.2496,0,231,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174403,34.4381,135.2496,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174447,34.4382,135.2495,0,140,9,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174518,34.4387,135.2489,0,75,9,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174586,34.4387,135.2486,0,50,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174622,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174678,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174762,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174828,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174893,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525174943,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175012,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175077,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175137,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175202,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175264,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175323,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175384,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175448,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175509,34.4387,135.2486,0,271,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175556,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175626,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175694,34.4387,135.2486,0,89,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175749,34.4391,135.2492,0,50,19,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175812,34.4385,135.2502,0,286,0,780A12,KIX,HKG,CRK633,0,A332,HX633
1525175886,34.4385,135.2502,0,61,0,780A12,KIX,HKG,CRK633,0,A332,HX633
