timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525169327,34.4221,135.941,36000,246,402,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169389,34.3743,135.8118,35975,245,402,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525169448,34.3293,135.6909,36000,245,401,861BD2,NRT,HKG,JAL735,64,B763,JL735
1525169509,34.2827,135.5661,36000,245,401,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169570,34.2366,135.4432,36000,245,402,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169629,34.1904,135.3202,36000,245,402,861BD2,NRT,HKG,JAL735,64,B763,JL735
1525169689,34.1446,135.1991,36000,245,403,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169753,34.095,135.0682,36000,245,404,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169812,34.0484,134.9459,36000,245,404,861BD2,NRT,HKG,JAL735,64,B763,JL735
1525169873,33.9969,134.8251,36000,241,403,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169937,33.9424,134.7029,36000,241,401,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525169998,33.8888,134.583,36000,241,400,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170058,33.8364,134.4659,36000,241,400,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170119,33.7812,134.3433,36000,241,400,861BD2,NRT,HKG,JAL735,64,B763,JL735
1525170173,33.7329,134.2362,35975,241,401,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170242,33.673,134.1039,36000,241,401,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525170301,33.6201,133.9876,35975,241,400,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170364,33.5634,133.8633,36000,241,402,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170425,33.5096,133.7457,36000,241,403,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170485,33.456,133.6288,36000,241,403,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170545,33.4012,133.5098,36000,241,405,861BD2,NRT,HKG,JAL735,64,B763,JL735
1525170602,33.3491,133.3972,36000,241,406,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170663,33.2963,133.2832,36000,241,407,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170731,33.2288,133.1497,36000,236,409,861BD2,NRT,HKG,JAL735,64,B763,JL735
1525170790,33.1657,133.042,36000,235,411,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170844,33.1115,132.9501,36000,235,411,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170909,33.0361,132.8224,36000,235,410,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525170976,32.9598,132.6933,36000,235,411,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171030,32.9019,132.5958,36000,234,411,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171096,32.8298,132.4747,36000,234,407,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171156,32.7641,132.3648,36000,234,407,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171216,32.6981,132.2546,36000,234,405,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171279,32.6302,132.1409,36000,235,405,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525171339,32.5672,132.0331,36000,235,405,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171400,32.5004,131.9197,36000,235,404,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525171460,32.4364,131.8116,36000,235,403,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171523,32.3697,131.6991,35975,234,403,861BD2,NRT,HKG,JAL735,-128,B763,JL735
1525171583,32.3044,131.5891,36000,235,411,861BD2,NRT,HKG,JAL735,-128,B763,JL735
1525171643,32.238,131.4779,36000,234,417,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171703,32.1709,131.3655,36000,234,421,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171764,32.1027,131.2519,36000,234,426,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171831,32.0276,131.1272,36000,234,428,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525171894,31.954,131.0052,36000,234,428,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525171947,31.8923,130.9034,36000,234,426,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525172012,31.8206,130.7853,35975,234,414,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525172073,31.7607,130.6747,35975,242,414,861BD2,NRT,HKG,JAL735,0,B763,JL735
1525172136,31.68,130.5553,36000,233,419,861BD2,NRT,HKG,JAL735,-64,B763,JL735
1525172193,31.6119,130.4533,36000,232,422,861BD2,NRT,HKG,JAL735,-64,B763,JL735
