timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525176315,31.1309,121.8201,0,163,15,780124,PVG,HKG,HDA897,0,A333,KA897
1525176385,31.1262,121.8219,0,163,21,780124,PVG,HKG,HDA897,0,A333,KA897
1525176425,31.1261,121.8227,0,62,0,780124,PVG,HKG,HDA897,0,A333,KA897
1525176425,31.1261,121.8227,0,62,0,780124,PVG,HKG,HDA897,0,A333,KA897
1525176940,31.1743,121.808,2025,355,161,780124,PVG,HKG,HDA897,2880,A333,KA897
1525177003,31.2315,121.8179,3450,11,257,780124,PVG,HKG,HDA897,2176,A333,KA897
1525177052,31.2949,121.8316,6500,10,273,780124,PVG,HKG,HDA897,3648,A333,KA897
1525177126,31.3747,121.8838,10525,76,309,780124,PVG,HKG,HDA897,2176,A333,KA897
1525177197,31.3223,121.9836,12950,163,349,780124,PVG,HKG,HDA897,3200,A333,KA897
1525177257,31.2241,122.0088,15775,156,375,780124,PVG,HKG,HDA897,1984,A333,KA897
1525177325,31.1345,122.1025,16700,135,396,780124,PVG,HKG,HDA897,0,A333,KA897
1525177392,31.0469,122.1989,16675,136,393,780124,PVG,HKG,HDA897,-64,A333,KA897
1525177450,30.9563,122.2652,17925,164,377,780124,PVG,HKG,HDA897,4608,A333,KA897
1525177509,30.8565,122.3027,19725,162,398,780124,PVG,HKG,HDA897,0,A333,KA897
1525177573,30.7446,122.3444,19700,162,399,780124,PVG,HKG,HDA897,64,A333,KA897
1525177619,30.6635,122.3742,19700,162,396,780124,PVG,HKG,HDA897,128,A333,KA897
1525177702,30.5166,122.3969,22275,183,398,780124,PVG,HKG,HDA897,2304,A333,KA897
1525177758,30.4109,122.3912,24200,182,409,780124,PVG,HKG,HDA897,1344,A333,KA897
1525177824,30.2823,122.3838,25800,182,432,780124,PVG,HKG,HDA897,1792,A333,KA897
1525177862,30.2036,122.3792,26975,182,439,780124,PVG,HKG,HDA897,1984,A333,KA897
1525177946,30.031,122.3692,27600,182,438,780124,PVG,HKG,HDA897,-64,A333,KA897
1525177990,29.9415,122.3644,27600,181,443,780124,PVG,HKG,HDA897,-64,A333,KA897
1525178066,29.7844,122.398,27600,168,452,780124,PVG,HKG,HDA897,0,A333,KA897
1525178126,29.6601,122.4269,28300,168,455,780124,PVG,HKG,HDA897,1856,A333,KA897
1525178180,29.5479,122.4484,29800,179,452,780124,PVG,HKG,HDA897,2432,A333,KA897
1525178253,29.4037,122.3959,31400,201,453,780124,PVG,HKG,HDA897,1664,A333,KA897
1525178298,29.3127,122.3728,32425,183,467,780124,PVG,HKG,HDA897,1280,A333,KA897
1525178374,29.1627,122.3406,33750,206,462,780124,PVG,HKG,HDA897,0,A333,KA897
1525178440,29.0204,122.2974,36025,206,446,780124,PVG,HKG,HDA897,1216,A333,KA897
1525178498,28.916,122.2374,36125,206,443,780124,PVG,HKG,HDA897,128,A333,KA897
1525178560,28.8024,122.1715,36100,207,432,780124,PVG,HKG,HDA897,128,A333,KA897
1525178624,28.689,122.1052,36100,207,427,780124,PVG,HKG,HDA897,0,A333,KA897
1525178684,28.5828,122.0434,36100,207,428,780124,PVG,HKG,HDA897,-64,A333,KA897
1525178746,28.4736,121.9799,36100,207,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525178812,28.3607,121.9145,36100,207,426,780124,PVG,HKG,HDA897,0,A333,KA897
1525178870,28.2551,121.8534,36100,207,428,780124,PVG,HKG,HDA897,0,A333,KA897
1525178928,28.1504,121.793,36100,207,428,780124,PVG,HKG,HDA897,0,A333,KA897
1525178991,28.0429,121.7311,36100,207,428,780124,PVG,HKG,HDA897,-64,A333,KA897
1525179049,27.9436,121.6699,36100,209,425,780124,PVG,HKG,HDA897,0,A333,KA897
1525179109,27.8367,121.6033,36100,208,425,780124,PVG,HKG,HDA897,64,A333,KA897
1525179176,27.721,121.5318,36100,208,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525179235,27.6178,121.4683,36100,208,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525179292,27.5175,121.4072,36100,208,427,780124,PVG,HKG,HDA897,64,A333,KA897
1525179358,27.4023,121.3373,36100,208,424,780124,PVG,HKG,HDA897,0,A333,KA897
1525179415,27.3039,121.2777,36100,208,424,780124,PVG,HKG,HDA897,0,A333,KA897
1525179481,27.1888,121.2081,36100,208,423,780124,PVG,HKG,HDA897,0,A333,KA897
1525179543,27.0852,121.1456,36100,208,421,780124,PVG,HKG,HDA897,0,A333,KA897
1525179602,26.9809,121.0829,36100,208,421,780124,PVG,HKG,HDA897,0,A333,KA897
1525179659,26.8837,121.0245,36100,208,420,780124,PVG,HKG,HDA897,0,A333,KA897
1525179720,26.7793,120.9619,36100,208,419,780124,PVG,HKG,HDA897,0,A333,KA897
1525179783,26.6713,120.8967,36100,208,419,780124,PVG,HKG,HDA897,0,A333,KA897
1525179844,26.5678,120.8346,36100,208,420,780124,PVG,HKG,HDA897,0,A333,KA897
1525179903,26.4661,120.7735,36100,208,418,780124,PVG,HKG,HDA897,0,A333,KA897
1525179962,26.3663,120.7139,36100,208,415,780124,PVG,HKG,HDA897,64,A333,KA897
1525180029,26.252,120.6456,36100,208,417,780124,PVG,HKG,HDA897,64,A333,KA897
1525180090,26.1481,120.5837,35750,208,423,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525180145,26.0509,120.5259,34850,208,433,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525180207,25.9413,120.4608,33800,208,429,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525180269,25.8362,120.3985,32800,208,414,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525180330,25.7352,120.3389,32100,208,408,780124,PVG,HKG,HDA897,-64,A333,KA897
1525180389,25.6374,120.2715,32100,217,407,780124,PVG,HKG,HDA897,0,A333,KA897
1525180455,25.5387,120.189,32100,217,409,780124,PVG,HKG,HDA897,0,A333,KA897
1525180516,25.4457,120.1119,32100,216,415,780124,PVG,HKG,HDA897,64,A333,KA897
1525180576,25.3531,120.0354,32100,216,407,780124,PVG,HKG,HDA897,0,A333,KA897
1525180637,25.2624,119.9605,32100,216,409,780124,PVG,HKG,HDA897,0,A333,KA897
1525180696,25.1723,119.8863,32100,216,409,780124,PVG,HKG,HDA897,0,A333,KA897
1525180753,25.0859,119.8142,32100,219,407,780124,PVG,HKG,HDA897,64,A333,KA897
1525180823,24.9962,119.7081,32100,229,406,780124,PVG,HKG,HDA897,0,A333,KA897
1525180870,24.9395,119.6352,32100,229,408,780124,PVG,HKG,HDA897,0,A333,KA897
1525180948,24.8432,119.5122,32100,229,407,780124,PVG,HKG,HDA897,0,A333,KA897
1525181012,24.7649,119.4125,32100,229,407,780124,PVG,HKG,HDA897,0,A333,KA897
1525181072,24.6914,119.3189,31700,229,423,780124,PVG,HKG,HDA897,-1088,A333,KA897
1525181133,24.6112,119.2173,30650,229,431,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525181203,24.5221,119.1045,30000,229,419,780124,PVG,HKG,HDA897,-64,A333,KA897
1525181263,24.4447,119.0068,30000,229,424,780124,PVG,HKG,HDA897,0,A333,KA897
1525181324,24.3673,118.9091,30000,229,426,780124,PVG,HKG,HDA897,0,A333,KA897
1525181382,24.2899,118.8119,30000,229,426,780124,PVG,HKG,HDA897,64,A333,KA897
1525181443,24.2091,118.7103,30000,228,428,780124,PVG,HKG,HDA897,64,A333,KA897
1525181504,24.1304,118.6118,30000,229,428,780124,PVG,HKG,HDA897,0,A333,KA897
1525181555,24.0638,118.5283,30000,228,427,780124,PVG,HKG,HDA897,64,A333,KA897
1525181620,23.9787,118.4222,30000,228,427,780124,PVG,HKG,HDA897,0,A333,KA897
1525181692,23.8854,118.3062,30000,228,431,780124,PVG,HKG,HDA897,0,A333,KA897
1525181752,23.806,118.2085,30000,228,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525181812,23.7254,118.1094,30000,228,433,780124,PVG,HKG,HDA897,0,A333,KA897
1525181867,23.6526,118.0199,30000,228,432,780124,PVG,HKG,HDA897,64,A333,KA897
1525181929,23.5702,117.9189,30000,228,431,780124,PVG,HKG,HDA897,0,A333,KA897
1525181989,23.4912,117.8223,30000,228,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525182050,23.4101,117.7233,30000,228,430,780124,PVG,HKG,HDA897,-64,A333,KA897
1525182115,23.3241,117.6184,30000,228,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525182177,23.2715,117.5163,30000,255,429,780124,PVG,HKG,HDA897,0,A333,KA897
1525182245,23.258,117.5003,30000,255,424,780124,PVG,HKG,HDA897,0,A333,KA897
1525182304,23.0702,117.3214,30000,222,430,780124,PVG,HKG,HDA897,0,A333,KA897
1525182361,23.0039,117.2357,30000,241,432,780124,PVG,HKG,HDA897,0,A333,KA897
1525182413,22.9252,117.1641,30000,240,434,780124,PVG,HKG,HDA897,0,A333,KA897
1525182490,22.7911,117.0565,30000,224,432,780124,PVG,HKG,HDA897,-64,A333,KA897
1525182545,22.7572,116.9585,30000,262,432,780124,PVG,HKG,HDA897,0,A333,KA897
1525182605,22.7028,116.85,30000,263,426,780124,PVG,HKG,HDA897,0,A333,KA897
1525182668,22.6307,116.721,30000,248,426,780124,PVG,HKG,HDA897,64,A333,KA897
1525182729,22.62,116.6109,30000,264,426,780124,PVG,HKG,HDA897,0,A333,KA897
1525182793,22.5546,116.4779,30000,265,423,780124,PVG,HKG,HDA897,0,A333,KA897
1525182844,22.5014,116.3726,30000,248,425,780124,PVG,HKG,HDA897,0,A333,KA897
1525182909,22.4693,116.2474,30000,267,423,780124,PVG,HKG,HDA897,0,A333,KA897
1525182971,22.4217,116.1174,30000,263,423,780124,PVG,HKG,HDA897,0,A333,KA897
1525183037,22.4052,115.9793,30000,262,425,780124,PVG,HKG,HDA897,0,A333,KA897
1525183097,22.3901,115.8551,29400,262,405,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525183157,22.376,115.7409,28250,262,399,780124,PVG,HKG,HDA897,-1792,A333,KA897
1525183214,22.3612,115.6261,26500,262,387,780124,PVG,HKG,HDA897,-1984,A333,KA897
1525183275,22.3464,115.5112,24675,262,378,780124,PVG,HKG,HDA897,-1920,A333,KA897
1525183341,22.3305,115.3888,22725,262,370,780124,PVG,HKG,HDA897,-1920,A333,KA897
1525183402,22.3164,115.2798,20950,262,362,780124,PVG,HKG,HDA897,-1856,A333,KA897
1525183462,22.3024,115.1725,19225,262,358,780124,PVG,HKG,HDA897,-1856,A333,KA897
1525183524,22.2879,115.0614,17450,261,356,780124,PVG,HKG,HDA897,-1792,A333,KA897
1525183587,22.2734,114.9513,15675,261,351,780124,PVG,HKG,HDA897,-1792,A333,KA897
1525183647,22.2675,114.8519,14100,268,348,780124,PVG,HKG,HDA897,-1728,A333,KA897
1525183708,22.2637,114.7431,12625,267,336,780124,PVG,HKG,HDA897,-960,A333,KA897
1525183768,22.2603,114.6434,11700,267,329,780124,PVG,HKG,HDA897,-1024,A333,KA897
1525183831,22.257,114.5456,11000,267,325,780124,PVG,HKG,HDA897,-128,A333,KA897
1525184021,22.2255,114.2359,11000,247,329,780124,PVG,HKG,HDA897,0,A333,KA897
1525184081,22.1918,114.1443,10600,248,328,780124,PVG,HKG,HDA897,-1152,A333,KA897
1525184132,22.1667,114.0667,9200,258,318,780124,PVG,HKG,HDA897,-2112,A333,KA897
1525184198,22.1467,113.967,6825,257,306,780124,PVG,HKG,HDA897,-2752,A333,KA897
1525184262,22.1296,113.8779,5450,267,254,780124,PVG,HKG,HDA897,-1408,A333,KA897
1525184316,22.1376,113.8143,4425,282,229,780124,PVG,HKG,HDA897,-1344,A333,KA897
1525184380,22.1884,113.7797,3550,336,197,780124,PVG,HKG,HDA897,-1280,A333,KA897
1525184438,22.2387,113.7573,2625,353,200,780124,PVG,HKG,HDA897,-1984,A333,KA897
1525184507,22.2798,113.8023,1825,73,188,780124,PVG,HKG,HDA897,-896,A333,KA897
1525184581,22.2981,113.8582,775,70,142,780124,PVG,HKG,HDA897,-768,A333,KA897
1525184637,22.3102,113.8957,100,70,138,780124,PVG,HKG,HDA897,-704,A333,KA897
1525184695,22.3179,113.9203,0,81,35,780124,PVG,HKG,HDA897,0,A333,KA897
1525184761,22.3173,113.9242,0,132,21,780124,PVG,HKG,HDA897,0,A333,KA897
1525184819,22.3154,113.924,0,205,9,780124,PVG,HKG,HDA897,0,A333,KA897
1525184861,22.3152,113.9239,0,205,9,780124,PVG,HKG,HDA897,0,A333,KA897
1525184861,22.3152,113.9239,0,205,9,780124,PVG,HKG,HDA897,0,A333,KA897
