timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525130133,37.4667,126.4419,0,344,0,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130146,37.4666,126.442,0,281,2,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130245,37.4664,126.4431,0,213,9,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130265,37.4665,126.4433,0,188,10,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130348,37.4672,126.4433,0,60,0,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130570,37.4656,126.4432,0,236,25,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130620,37.4637,126.4399,0,233,34,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130688,37.4608,126.4348,0,236,18,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130737,37.4589,126.4321,0,165,21,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130748,37.4585,126.4324,0,143,23,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130848,37.4535,126.4369,0,143,31,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130914,37.45,126.44,0,146,16,71C026,ICN,HKG,KAL603,0,A333,KE603
1525130960,37.4474,126.4423,0,143,34,71C026,ICN,HKG,KAL603,0,A333,KE603
1525131178,37.4666,126.4211,475,324,167,71C026,ICN,HKG,KAL603,2624,A333,KE603
1525131229,37.4949,126.3863,1725,311,175,71C026,ICN,HKG,KAL603,2752,A333,KE603
1525131245,37.5021,126.3758,1725,311,175,71C026,ICN,HKG,KAL603,2752,A333,KE603
1525131603,37.2263,126.3286,16900,141,369,71C026,ICN,HKG,KAL603,1472,A333,KE603
1525131666,37.1553,126.4008,16900,141,369,71C026,ICN,HKG,KAL603,1472,A333,KE603
1525131726,37.0489,126.5048,21175,143,399,71C026,ICN,HKG,KAL603,1856,A333,KE603
1525131784,36.9818,126.5189,21325,187,404,71C026,ICN,HKG,KAL603,0,A333,KE603
1525131847,36.8328,126.5838,24975,165,401,71C026,ICN,HKG,KAL603,1472,A333,KE603
1525131912,36.713,126.6231,26575,164,416,71C026,ICN,HKG,KAL603,1408,A333,KE603
1525131955,36.6558,126.6424,27250,164,431,71C026,ICN,HKG,KAL603,1600,A333,KE603
1525132016,36.5641,126.5957,27250,222,431,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132091,36.4696,126.4898,27250,222,431,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132157,36.2343,126.784,32650,165,437,71C026,ICN,HKG,KAL603,896,A333,KE603
1525132216,36.1182,126.804,33500,177,435,71C026,ICN,HKG,KAL603,768,A333,KE603
1525132276,35.9972,126.7952,34425,184,436,71C026,ICN,HKG,KAL603,1152,A333,KE603
1525132345,35.8561,126.7801,35350,184,447,71C026,ICN,HKG,KAL603,512,A333,KE603
1525132405,35.7342,126.767,35950,184,458,71C026,ICN,HKG,KAL603,640,A333,KE603
1525132464,35.606,126.7532,36000,185,463,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132524,35.4763,126.7393,36000,185,465,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132586,35.3458,126.7254,35975,185,468,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132645,35.2134,126.7112,36000,185,469,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132711,35.0768,126.6967,35975,184,464,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132769,34.9508,126.6834,36000,185,455,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132827,34.8288,126.6705,35975,184,452,71C026,ICN,HKG,KAL603,64,A333,KE603
1525132888,34.7002,126.6568,35975,185,449,71C026,ICN,HKG,KAL603,0,A333,KE603
1525132949,34.5742,126.6436,36000,184,451,71C026,ICN,HKG,KAL603,0,A333,KE603
1525133007,34.4574,126.6313,36000,184,452,71C026,ICN,HKG,KAL603,0,A333,KE603
1525133075,34.3107,126.616,36450,185,452,71C026,ICN,HKG,KAL603,1472,A333,KE603
1525133134,34.1896,126.6034,37375,185,452,71C026,ICN,HKG,KAL603,448,A333,KE603
