timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525189711,18.0046,118.9569,33975,314,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525189771,18.0952,118.8582,33975,314,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525189831,18.1859,118.7594,33975,314,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525189891,18.2758,118.6599,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525189951,18.3648,118.5594,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190011,18.4538,118.4589,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190071,18.5427,118.3582,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190131,18.6317,118.2576,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190191,18.7207,118.1568,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190251,18.8096,118.0561,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190311,18.8986,117.9552,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190371,18.9876,117.8543,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190431,19.0765,117.7534,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190491,19.1655,117.6524,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190563,19.2723,117.5311,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190623,19.3612,117.43,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190683,19.4502,117.3288,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190743,19.5392,117.2276,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190803,19.6282,117.1263,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190863,19.7171,117.025,33975,313,470,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190931,19.844,116.8539,33975,312,458,780A87,MNL,HKG,AHK456,0,A306,LD456
1525190983,19.9223,116.7631,33975,312,461,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191047,20.0088,116.6635,33975,313,460,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191107,20.0828,116.579,33975,313,460,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191171,20.1578,116.426,33975,304,455,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191232,20.2311,116.3107,33975,303,453,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191294,20.3031,116.1973,33975,303,454,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191351,20.3697,116.092,33975,303,455,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191418,20.4476,115.9687,33975,303,451,780A87,MNL,HKG,AHK456,-64,A306,LD456
1525191480,20.5215,115.8515,33975,303,453,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191542,20.5918,115.7398,33975,303,453,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191595,20.6549,115.6392,33975,303,452,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191661,20.732,115.5163,32975,303,455,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525191724,20.8061,115.3979,31450,303,460,780A87,MNL,HKG,AHK456,-1600,A306,LD456
1525191784,20.8778,115.2833,29700,303,462,780A87,MNL,HKG,AHK456,-1856,A306,LD456
1525191829,20.9303,115.1992,28325,303,458,780A87,MNL,HKG,AHK456,-2112,A306,LD456
1525191906,21.0275,115.0803,26425,321,444,780A87,MNL,HKG,AHK456,0,A306,LD456
1525191972,21.1095,114.9611,22475,315,420,780A87,MNL,HKG,AHK456,-1920,A306,LD456
1525192033,21.1951,114.8711,20625,315,410,780A87,MNL,HKG,AHK456,-1920,A306,LD456
1525192094,21.2756,114.7861,18850,315,397,780A87,MNL,HKG,AHK456,-1856,A306,LD456
1525192147,21.3454,114.712,17250,315,386,780A87,MNL,HKG,AHK456,-1920,A306,LD456
1525192216,21.4296,114.6165,15725,311,382,780A87,MNL,HKG,AHK456,-1088,A306,LD456
1525192273,21.4956,114.5358,14775,311,374,780A87,MNL,HKG,AHK456,-1024,A306,LD456
1525192338,21.5706,114.4436,13500,310,387,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525192397,21.6412,114.3568,12325,310,384,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525192460,21.711,114.2705,11100,310,377,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525192520,21.7825,114.1821,9850,310,372,780A87,MNL,HKG,AHK456,-1280,A306,LD456
1525192581,21.8503,114.0979,8650,311,365,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525192629,21.9033,114.0321,7700,310,360,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525192667,21.9378,113.9877,7700,310,360,780A87,MNL,HKG,AHK456,-1216,A306,LD456
1525192756,22.0272,113.8772,5875,311,279,780A87,MNL,HKG,AHK456,-704,A306,LD456
1525192823,22.0802,113.8101,4975,309,243,780A87,MNL,HKG,AHK456,-704,A306,LD456
1525192886,22.1398,113.7788,4225,339,213,780A87,MNL,HKG,AHK456,-640,A306,LD456
1525192948,22.193,113.7578,3425,340,196,780A87,MNL,HKG,AHK456,-896,A306,LD456
1525193006,22.2448,113.7543,2625,36,203,780A87,MNL,HKG,AHK456,-512,A306,LD456
1525193069,22.2797,113.8016,1775,71,193,780A87,MNL,HKG,AHK456,-832,A306,LD456
1525193129,22.2947,113.8479,975,71,134,780A87,MNL,HKG,AHK456,-704,A306,LD456
1525193316,22.314,113.9191,0,160,17,780A87,MNL,HKG,AHK456,0,A306,LD456
1525193383,22.3077,113.9214,0,160,27,780A87,MNL,HKG,AHK456,0,A306,LD456
1525193443,22.3053,113.9206,0,250,31,780A87,MNL,HKG,AHK456,0,A306,LD456
