timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525170841,18.0542,109.4589,32975,43,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525170913,18.1614,109.5641,32975,43,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525170973,18.2507,109.6517,32975,43,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171033,18.34,109.7395,32975,43,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171093,18.4293,109.8273,32975,43,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171153,18.5187,109.9151,32975,43,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171213,18.6065,110.0046,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171273,18.6944,110.0942,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171333,18.7822,110.1838,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171393,18.8701,110.2734,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171465,18.9755,110.381,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171525,19.0633,110.4708,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171585,19.1512,110.5606,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171645,19.239,110.6504,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171705,19.3269,110.7403,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171765,19.4148,110.8303,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171825,19.5026,110.9202,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171885,19.5905,111.0103,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525171945,19.6783,111.1004,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172017,19.7837,111.2085,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172065,19.854,111.2807,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172137,19.9594,111.389,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172197,20.0473,111.4793,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172257,20.1351,111.5696,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172317,20.223,111.66,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172377,20.3108,111.7505,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172437,20.3987,111.841,32975,44,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172497,20.4863,111.9319,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172557,20.5726,112.0241,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172617,20.659,112.1164,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172677,20.7453,112.2087,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172749,20.8489,112.3196,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172809,20.9353,112.412,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172869,21.0217,112.5045,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172929,21.108,112.5971,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525172989,21.1944,112.6897,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525173049,21.2807,112.7824,32975,45,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525173109,20.5049,112.839,32975,119,440,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525173169,20.8109,112.8309,32725,10,420,70E044,PNH,HKG,MKR970,-256,A319,LQ970
1525173237,20.9112,112.8613,32218,26,372,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525173297,20.9269,112.8661,32025,29,399,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525173357,21.0159,112.8689,31000,9,399,70E044,PNH,HKG,MKR970,-960,A319,LQ970
1525173421,21.1,112.9273,31000,36,399,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525173477,21.381,113.0353,26350,55,466,70E044,PNH,HKG,MKR970,-2944,A319,LQ970
1525173538,21.4239,113.177,24424,77,552,70E044,PNH,HKG,MKR970,-2048,A319,LQ970
1525173604,21.461,113.3529,21224,74,483,70E044,PNH,HKG,MKR970,-2688,A319,LQ970
1525173668,21.5168,113.4786,18625,51,431,70E044,PNH,HKG,MKR970,-2112,A319,LQ970
1525173726,21.5864,113.5689,16300,48,421,70E044,PNH,HKG,MKR970,-2560,A319,LQ970
1525173785,21.6232,113.661,14583,75,368,70E044,PNH,HKG,MKR970,-3584,A319,LQ970
1525173853,21.7302,113.7677,10200,42,415,70E044,PNH,HKG,MKR970,-2112,A319,LQ970
1525173913,21.7997,113.8534,9150,52,378,70E044,PNH,HKG,MKR970,-1024,A319,LQ970
1525173966,21.8249,113.8814,9025,47,358,70E044,PNH,HKG,MKR970,0,A319,LQ970
1525174041,21.9275,113.9621,8225,47,358,70E044,PNH,HKG,MKR970,-1152,A319,LQ970
1525174089,21.952,113.9573,7700,47,358,70E044,PNH,HKG,MKR970,-1984,A319,LQ970
1525174142,22.0603,113.8596,5081,241,402,70E044,PNH,HKG,MKR970,-1088,A319,LQ970
1525174209,22.1034,113.8199,4200,302,300,70E044,PNH,HKG,MKR970,-960,A319,LQ970
1525174249,22.1284,113.7767,4200,302,300,70E044,PNH,HKG,MKR970,-960,A319,LQ970
1525174341,22.146,113.7521,3650,302,300,70E044,PNH,HKG,MKR970,-960,A319,LQ970
1525174405,22.2807,113.6922,2950,327,230,70E044,PNH,HKG,MKR970,-192,A319,LQ970
1525174417,22.2898,113.6858,2950,327,230,70E044,PNH,HKG,MKR970,-192,A319,LQ970
1525174506,22.3015,113.7031,2700,327,230,70E044,PNH,HKG,MKR970,-1024,A319,LQ970
1525174506,22.3015,113.7031,2700,327,230,70E044,PNH,HKG,MKR970,-1024,A319,LQ970
