timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525187694,18.0919,112.6854,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525187742,18.1855,112.7118,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525187814,18.3258,112.7514,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525187874,18.4427,112.7844,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525187934,18.5596,112.8174,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525187994,18.6765,112.8505,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188054,18.7934,112.8836,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188114,18.9103,112.9167,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188174,19.0272,112.9498,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188246,19.1675,112.9896,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188294,19.2611,113.0161,36000,15,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188370,18.8954,114.653,36000,349,447,750236,KUL,HKG,MAS78,0,B738,MH78
1525188422,19.0063,114.6858,36000,348,448,750236,KUL,HKG,MAS78,0,B738,MH78
1525188481,19.1382,114.6988,36000,355,442,750236,KUL,HKG,MAS78,0,B738,MH78
1525188542,19.2419,114.6755,36000,348,442,750236,KUL,HKG,MAS78,0,B738,MH78
1525188611,19.4045,114.6764,36000,355,439,750236,KUL,HKG,MAS78,64,B738,MH78
1525188661,19.5059,114.6677,36000,355,439,750236,KUL,HKG,MAS78,0,B738,MH78
1525188734,19.6287,114.6376,36000,347,439,750236,KUL,HKG,MAS78,0,B738,MH78
1525188794,19.7736,114.645,36000,355,436,750236,KUL,HKG,MAS78,64,B738,MH78
1525188848,19.8853,114.6354,36000,355,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188914,20.0153,114.6245,36000,355,436,750236,KUL,HKG,MAS78,0,B738,MH78
1525188975,20.1374,114.614,36000,355,435,750236,KUL,HKG,MAS78,0,B738,MH78
1525189037,20.2646,114.6031,36000,355,440,750236,KUL,HKG,MAS78,0,B738,MH78
1525189098,20.3849,114.5928,35700,355,425,750236,KUL,HKG,MAS78,-640,B738,MH78
1525189156,20.5038,114.5826,32775,355,437,750236,KUL,HKG,MAS78,-3264,B738,MH78
1525189221,20.6342,114.5715,29700,355,448,750236,KUL,HKG,MAS78,-2304,B738,MH78
1525189289,20.7708,114.5596,27325,355,434,750236,KUL,HKG,MAS78,-2304,B738,MH78
1525189334,20.8647,114.5531,25700,359,426,750236,KUL,HKG,MAS78,-2240,B738,MH78
1525189400,20.9958,114.5541,23500,359,421,750236,KUL,HKG,MAS78,-2112,B738,MH78
1525189443,21.0786,114.555,22100,359,414,750236,KUL,HKG,MAS78,-2048,B738,MH78
1525189521,21.2133,114.5178,20025,321,383,750236,KUL,HKG,MAS78,-1536,B738,MH78
1525189571,21.2824,114.4607,18900,322,374,750236,KUL,HKG,MAS78,-1472,B738,MH78
1525189650,21.3889,114.3731,17125,322,359,750236,KUL,HKG,MAS78,-1408,B738,MH78
1525189713,21.4693,114.3065,15775,322,359,750236,KUL,HKG,MAS78,-1408,B738,MH78
1525189770,21.5471,114.2422,14475,322,351,750236,KUL,HKG,MAS78,-1408,B738,MH78
1525189831,21.6237,114.1785,13225,322,342,750236,KUL,HKG,MAS78,-1344,B738,MH78
1525189892,21.6979,114.117,11975,322,339,750236,KUL,HKG,MAS78,-1344,B738,MH78
1525189955,21.7772,114.051,10650,322,335,750236,KUL,HKG,MAS78,-1280,B738,MH78
1525190014,21.8493,113.991,9625,322,322,750236,KUL,HKG,MAS78,-832,B738,MH78
1525190074,21.9171,113.9344,8600,321,294,750236,KUL,HKG,MAS78,-1984,B738,MH78
1525190135,21.9813,113.881,7325,322,285,750236,KUL,HKG,MAS78,-1408,B738,MH78
1525190197,22.0446,113.8281,6225,321,267,750236,KUL,HKG,MAS78,-640,B738,MH78
1525190259,22.0997,113.7818,5275,321,233,750236,KUL,HKG,MAS78,-896,B738,MH78
1525190319,22.1542,113.752,4475,335,204,750236,KUL,HKG,MAS78,-832,B738,MH78
1525190380,22.2042,113.7272,3750,335,195,750236,KUL,HKG,MAS78,-768,B738,MH78
1525190439,22.2528,113.7362,3000,53,196,750236,KUL,HKG,MAS78,-896,B738,MH78
1525190498,22.2758,113.7895,2025,70,194,750236,KUL,HKG,MAS78,-960,B738,MH78
1525190564,22.2934,113.8436,1075,70,153,750236,KUL,HKG,MAS78,-832,B738,MH78
1525190624,22.307,113.886,300,71,148,750236,KUL,HKG,MAS78,-768,B738,MH78
1525190685,22.3164,113.9151,0,73,24,750236,KUL,HKG,MAS78,0,B738,MH78
1525190724,22.3163,113.9181,0,112,23,750236,KUL,HKG,MAS78,0,B738,MH78
1525190724,22.3163,113.9181,0,112,23,750236,KUL,HKG,MAS78,0,B738,MH78
1525190930,22.3128,113.9159,0,89,0,750236,KUL,HKG,MAS78,0,B738,MH78
1525190958,22.3128,113.9159,0,271,0,750236,KUL,HKG,MAS78,0,B738,MH78
