timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525176201,34.4398,135.2311,0,168,10,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176258,34.4404,135.231,0,210,9,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176286,34.4406,135.2311,0,230,2,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176443,34.4406,135.2311,0,180,0,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176509,34.4405,135.2309,0,230,14,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176563,34.4395,135.2294,0,230,23,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176579,34.4389,135.2285,0,230,28,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176686,34.4334,135.2285,0,140,17,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525176686,34.4334,135.2285,0,140,17,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525177001,34.4341,135.2541,0,230,24,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525177062,34.4124,135.2211,1025,234,155,86CF01,KIX,HKG,APJ67,2624,A320,MM67
1525177128,34.3819,135.1663,2925,234,188,86CF01,KIX,HKG,APJ67,1152,A320,MM67
1525177198,34.3404,135.0938,4925,235,247,86CF01,KIX,HKG,APJ67,2304,A320,MM67
1525177262,34.289,135.0294,7375,222,271,86CF01,KIX,HKG,APJ67,2048,A320,MM67
1525177321,34.2309,134.9647,9800,223,287,86CF01,KIX,HKG,APJ67,2496,A320,MM67
1525177390,34.172,134.8707,11225,248,341,86CF01,KIX,HKG,APJ67,960,A320,MM67
1525177450,34.1225,134.7724,13350,220,359,86CF01,KIX,HKG,APJ67,1984,A320,MM67
1525177510,34.0433,134.6951,15500,219,365,86CF01,KIX,HKG,APJ67,768,A320,MM67
1525177573,33.9962,134.5882,18050,254,346,86CF01,KIX,HKG,APJ67,2048,A320,MM67
1525177643,33.966,134.4574,19800,254,355,86CF01,KIX,HKG,APJ67,1344,A320,MM67
1525177698,33.9314,134.358,21225,235,360,86CF01,KIX,HKG,APJ67,2560,A320,MM67
1525177760,33.8716,134.2542,22575,235,367,86CF01,KIX,HKG,APJ67,704,A320,MM67
1525177826,33.8069,134.1414,24125,235,368,86CF01,KIX,HKG,APJ67,1536,A320,MM67
1525177885,33.7523,134.0467,25400,235,365,86CF01,KIX,HKG,APJ67,1408,A320,MM67
1525177943,33.6928,133.9435,26300,235,374,86CF01,KIX,HKG,APJ67,1024,A320,MM67
1525178010,33.6276,133.831,27500,235,375,86CF01,KIX,HKG,APJ67,1216,A320,MM67
1525178070,33.5678,133.7277,28100,235,388,86CF01,KIX,HKG,APJ67,768,A320,MM67
1525178132,33.5045,133.6199,28950,234,394,86CF01,KIX,HKG,APJ67,640,A320,MM67
1525178196,33.4347,133.5004,29775,235,401,86CF01,KIX,HKG,APJ67,1216,A320,MM67
1525178254,33.3736,133.3961,30725,235,398,86CF01,KIX,HKG,APJ67,832,A320,MM67
1525178318,33.3068,133.2827,31500,235,401,86CF01,KIX,HKG,APJ67,1088,A320,MM67
1525178378,33.2405,133.1703,32575,234,397,86CF01,KIX,HKG,APJ67,896,A320,MM67
1525178438,33.18,133.067,33475,235,393,86CF01,KIX,HKG,APJ67,1344,A320,MM67
1525178497,33.1168,132.9591,34000,235,399,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525178558,33.0523,132.8498,34000,234,410,86CF01,KIX,HKG,APJ67,64,A320,MM67
1525178622,32.9822,132.7311,34000,234,409,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525178678,32.9211,132.6284,34000,234,411,86CF01,KIX,HKG,APJ67,-64,A320,MM67
1525178744,32.8482,132.5058,34000,234,412,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525178805,32.7805,132.3923,33975,234,416,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525178865,32.7134,132.2802,34000,234,419,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525178931,32.6417,132.1605,34000,234,412,86CF01,KIX,HKG,APJ67,-64,A320,MM67
1525178989,32.5763,132.0491,34000,235,411,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525179049,32.5096,131.9359,34000,235,414,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525179110,32.4431,131.8231,34000,235,423,86CF01,KIX,HKG,APJ67,64,A320,MM67
1525179175,32.3714,131.702,34000,235,423,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525179233,32.3045,131.5895,33975,235,422,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525179295,32.2366,131.4755,34000,234,420,86CF01,KIX,HKG,APJ67,128,A320,MM67
1525179353,32.1695,131.3638,33950,234,424,86CF01,KIX,HKG,APJ67,0,A320,MM67
1525179417,32.099,131.2461,34000,234,427,86CF01,KIX,HKG,APJ67,128,A320,MM67
1525179476,32.0288,131.1293,34050,234,428,86CF01,KIX,HKG,APJ67,64,A320,MM67
