timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525137037,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137082,31.1374,121.8001,0,298,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137152,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137211,31.1374,121.8001,0,298,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137275,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137326,31.1374,121.8001,0,298,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137400,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137465,31.1374,121.8001,0,243,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137524,31.1374,121.8001,0,243,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137575,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137649,31.1374,121.8001,0,62,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137708,31.1374,121.8001,0,62,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137764,31.1374,121.8001,0,243,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137819,31.1374,121.8001,0,271,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137893,31.1374,121.8001,0,298,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525137945,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138016,31.1374,121.8001,0,298,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138073,31.1374,121.8001,0,117,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138134,31.1374,121.8001,0,243,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138184,31.1374,121.8001,0,243,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138244,31.1374,121.8001,0,243,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138318,31.1374,121.8001,0,62,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138376,31.1374,121.8003,0,73,14,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138434,31.1402,121.7998,0,343,15,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138504,31.1419,121.8027,0,73,34,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138563,31.1435,121.8084,0,70,17,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138623,31.1437,121.8091,0,136,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138680,31.1437,121.8091,0,317,0,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138751,31.1441,121.8105,0,73,25,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138761,31.1443,121.8111,0,70,28,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138851,31.1472,121.814,0,343,33,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138894,31.1504,121.8128,0,340,20,780D1F,PVG,HKG,CES701,0,A321,MU701
1525138993,31.1536,121.8116,0,343,26,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139000,31.154,121.8114,0,343,29,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139222,31.1577,121.8101,0,343,11,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139222,31.1577,121.8101,0,343,11,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139345,31.1578,121.81,0,340,2,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139421,31.1586,121.8119,0,132,13,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139422,31.1586,121.8119,0,135,13,780D1F,PVG,HKG,CES701,0,A321,MU701
1525139541,31.1225,121.8254,1425,162,159,780D1F,PVG,HKG,CES701,3008,A321,MU701
1525139604,31.0726,121.8608,3050,144,236,780D1F,PVG,HKG,CES701,2368,A321,MU701
1525139665,31.0156,121.9077,4950,144,258,780D1F,PVG,HKG,CES701,384,A321,MU701
1525139724,30.9588,121.9608,4950,124,268,780D1F,PVG,HKG,CES701,-320,A321,MU701
1525139786,30.9645,122.0464,5000,78,277,780D1F,PVG,HKG,CES701,448,A321,MU701
1525139849,30.9808,122.1405,7975,78,283,780D1F,PVG,HKG,CES701,3392,A321,MU701
1525139891,30.991,122.2066,9825,87,296,780D1F,PVG,HKG,CES701,2624,A321,MU701
1525139971,30.9163,122.28,13350,162,286,780D1F,PVG,HKG,CES701,2304,A321,MU701
1525140037,30.8273,122.3133,15800,162,306,780D1F,PVG,HKG,CES701,2368,A321,MU701
1525140098,30.7444,122.3441,17825,162,323,780D1F,PVG,HKG,CES701,2432,A321,MU701
1525140161,30.6525,122.3779,19725,162,341,780D1F,PVG,HKG,CES701,1728,A321,MU701
1525140213,30.5744,122.4005,21650,179,327,780D1F,PVG,HKG,CES701,1984,A321,MU701
1525140281,30.4672,122.3945,23550,182,339,780D1F,PVG,HKG,CES701,1728,A321,MU701
1525140342,30.3696,122.3888,25075,182,350,780D1F,PVG,HKG,CES701,896,A321,MU701
1525140396,30.2758,122.3833,25750,182,379,780D1F,PVG,HKG,CES701,832,A321,MU701
1525140455,30.1715,122.3774,26450,182,403,780D1F,PVG,HKG,CES701,832,A321,MU701
1525140524,30.0339,122.3693,27350,182,432,780D1F,PVG,HKG,CES701,1728,A321,MU701
1525140585,29.913,122.37,28225,173,431,780D1F,PVG,HKG,CES701,2496,A321,MU701
1525140643,29.7978,122.3948,29425,168,439,780D1F,PVG,HKG,CES701,1152,A321,MU701
1525140709,29.6683,122.4249,30125,168,416,780D1F,PVG,HKG,CES701,-64,A321,MU701
1525140770,29.5552,122.451,30100,168,411,780D1F,PVG,HKG,CES701,0,A321,MU701
1525140830,29.4435,122.477,30100,168,412,780D1F,PVG,HKG,CES701,0,A321,MU701
1525140889,29.333,122.5026,30225,168,409,780D1F,PVG,HKG,CES701,640,A321,MU701
1525140953,29.2139,122.517,31775,183,388,780D1F,PVG,HKG,CES701,2048,A321,MU701
