timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525152065,18.0949,112.6948,36000,14,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152125,18.2083,112.7259,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152185,18.3214,112.7578,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152245,18.4346,112.7898,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152305,18.5477,112.8217,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152365,18.6609,112.8537,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152425,18.774,112.8857,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152497,18.9098,112.9242,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152557,19.023,112.9562,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152617,19.1361,112.9883,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152677,19.2493,113.0204,36000,15,422,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152735,19.0502,114.7064,36000,356,451,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152797,19.1577,114.6822,36000,348,451,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152860,19.3135,114.684,36000,355,450,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152923,19.4385,114.6734,36000,355,450,75041C,KUL,HKG,MXD605,0,B738,OD605
1525152985,19.5707,114.6622,36000,355,451,75041C,KUL,HKG,MXD605,0,B738,OD605
1525153047,19.7026,114.6509,36000,355,451,75041C,KUL,HKG,MXD605,0,B738,OD605
1525153098,19.8075,114.6421,36000,355,452,75041C,KUL,HKG,MXD605,0,B738,OD605
1525153168,19.952,114.6298,36000,355,453,75041C,KUL,HKG,MXD605,0,B738,OD605
1525153230,20.0805,114.6187,36000,355,454,75041C,KUL,HKG,MXD605,0,B738,OD605
1525153290,20.2067,114.6079,35950,355,446,75041C,KUL,HKG,MXD605,-320,B738,OD605
1525153352,20.334,114.597,34225,355,439,75041C,KUL,HKG,MXD605,-2048,B738,OD605
1525153409,20.4522,114.5871,32350,355,426,75041C,KUL,HKG,MXD605,-1984,B738,OD605
1525153455,20.5405,114.5794,30950,355,419,75041C,KUL,HKG,MXD605,-1920,B738,OD605
1525153530,20.6841,114.5669,28750,355,403,75041C,KUL,HKG,MXD605,-1664,B738,OD605
1525153595,20.8041,114.5565,26800,355,389,75041C,KUL,HKG,MXD605,-2368,B738,OD605
1525153646,20.8943,114.5533,25025,357,384,75041C,KUL,HKG,MXD605,-1792,B738,OD605
1525153708,21.0042,114.5542,22875,357,385,75041C,KUL,HKG,MXD605,-3392,B738,OD605
1525153771,21.1178,114.5555,20850,357,384,75041C,KUL,HKG,MXD605,-2048,B738,OD605
1525153835,21.2323,114.5565,18850,357,378,75041C,KUL,HKG,MXD605,-1728,B738,OD605
1525153898,21.3392,114.5577,17325,357,360,75041C,KUL,HKG,MXD605,-1472,B738,OD605
1525153961,21.4414,114.5585,16175,357,333,75041C,KUL,HKG,MXD605,-1344,B738,OD605
1525154020,21.525,114.5733,14850,37,330,75041C,KUL,HKG,MXD605,-1216,B738,OD605
1525154090,21.4972,114.6567,13350,169,306,75041C,KUL,HKG,MXD605,-960,B738,OD605
1525154149,21.4154,114.6735,12975,162,301,75041C,KUL,HKG,MXD605,-64,B738,OD605
1525154189,21.3618,114.6693,13000,213,289,75041C,KUL,HKG,MXD605,-64,B738,OD605
1525154267,21.3439,114.5646,13000,268,281,75041C,KUL,HKG,MXD605,0,B738,OD605
1525154328,21.3725,114.4942,13000,330,284,75041C,KUL,HKG,MXD605,0,B738,OD605
1525154391,21.46,114.4962,13000,6,295,75041C,KUL,HKG,MXD605,0,B738,OD605
1525154451,21.5383,114.5054,13000,6,295,75041C,KUL,HKG,MXD605,0,B738,OD605
1525154496,21.6016,114.5127,13000,3,295,75041C,KUL,HKG,MXD605,0,B738,OD605
1525154571,21.6996,114.4848,12100,342,285,75041C,KUL,HKG,MXD605,-768,B738,OD605
