timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525152983,18.0111,107.2978,37000,57,468,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153049,18.0877,107.4243,37000,57,469,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153106,18.1539,107.5335,37025,57,470,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153153,18.2095,107.6256,37025,57,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153228,18.3009,107.7667,37000,50,470,8840F9,USM,HKG,BKP805,-64,A319,PG805
1525153288,18.3941,107.8653,37000,37,466,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153349,18.4925,107.9569,37000,47,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153409,18.5609,108.0526,37025,54,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153469,18.6263,108.1475,37025,54,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153529,18.6916,108.2424,37025,54,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153589,18.7569,108.3373,37025,54,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153661,18.8376,108.4547,37025,54,471,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153718,19.0074,108.6137,37100,50,472,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153773,19.0692,108.702,37100,55,472,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153845,19.1458,108.8179,37100,55,472,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153905,19.2097,108.9145,37100,55,472,8840F9,USM,HKG,BKP805,0,A319,PG805
1525153965,19.3423,109.0518,37100,55,474,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154025,19.4049,109.1501,37100,56,474,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154085,19.4674,109.2484,37100,56,474,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154150,19.6058,109.3898,37100,51,475,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154206,19.6853,109.4944,37100,51,475,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154265,19.7658,109.6009,37100,51,475,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154325,19.8493,109.7113,37100,51,476,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154391,19.94,109.8314,37100,51,476,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154449,20.0185,109.9351,37100,51,476,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154513,20.0837,110.0421,37100,57,476,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154567,20.1779,110.1474,37100,52,476,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154639,20.2786,110.2816,37125,51,477,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154701,20.3681,110.399,37100,51,475,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154759,20.4389,110.5094,37100,65,481,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154818,20.4909,110.6354,37075,66,482,8840F9,USM,HKG,BKP805,64,A319,PG805
1525154882,20.5481,110.7738,37100,66,480,8840F9,USM,HKG,BKP805,0,A319,PG805
1525154946,20.6049,110.9126,37100,66,481,8840F9,USM,HKG,BKP805,64,A319,PG805
1525155005,20.6589,111.0445,37100,66,481,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155066,20.713,111.177,37100,66,481,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155125,20.7641,111.3032,37100,66,481,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155184,20.8172,111.434,37100,66,482,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155245,20.8818,111.5366,37100,56,482,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155306,20.9151,111.7111,37125,70,487,8840F9,USM,HKG,BKP805,64,A319,PG805
1525155367,20.9609,111.8469,37125,70,486,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155430,21.0076,111.986,37100,70,486,8840F9,USM,HKG,BKP805,0,A319,PG805
1525155488,21.0526,112.1204,36675,70,481,8840F9,USM,HKG,BKP805,-2176,A319,PG805
1525155551,21.0999,112.2625,34500,70,486,8840F9,USM,HKG,BKP805,-2176,A319,PG805
1525155611,21.1451,112.3981,32400,70,474,8840F9,USM,HKG,BKP805,-2176,A319,PG805
1525155678,21.1932,112.5432,30500,70,451,8840F9,USM,HKG,BKP805,-1408,A319,PG805
1525155741,21.236,112.6728,29250,70,439,8840F9,USM,HKG,BKP805,-1152,A319,PG805
1525155801,21.2765,112.7959,28150,70,428,8840F9,USM,HKG,BKP805,-1152,A319,PG805
1525155852,21.3089,112.894,27325,70,412,8840F9,USM,HKG,BKP805,-1280,A319,PG805
1525155922,21.3528,113.028,25350,70,400,8840F9,USM,HKG,BKP805,-1728,A319,PG805
1525155983,21.3901,113.1423,24025,70,392,8840F9,USM,HKG,BKP805,-256,A319,PG805
1525156044,21.4257,113.2517,23925,71,390,8840F9,USM,HKG,BKP805,-512,A319,PG805
1525156105,21.4625,113.3652,23425,71,384,8840F9,USM,HKG,BKP805,-512,A319,PG805
1525156164,21.4974,113.4719,23000,70,382,8840F9,USM,HKG,BKP805,-128,A319,PG805
1525156227,21.5373,113.5826,22625,57,378,8840F9,USM,HKG,BKP805,-576,A319,PG805
1525156289,21.612,113.6649,22125,44,372,8840F9,USM,HKG,BKP805,-576,A319,PG805
1525156349,21.6719,113.7525,21600,80,372,8840F9,USM,HKG,BKP805,-512,A319,PG805
1525156405,21.6277,113.8359,21150,154,356,8840F9,USM,HKG,BKP805,-512,A319,PG805
1525156473,21.5316,113.803,20625,225,337,8840F9,USM,HKG,BKP805,-512,A319,PG805
1525156518,21.4995,113.7406,19725,267,330,8840F9,USM,HKG,BKP805,-1664,A319,PG805
1525156582,21.5665,113.674,18450,358,326,8840F9,USM,HKG,BKP805,-768,A319,PG805
1525156662,21.6645,113.7357,16400,36,314,8840F9,USM,HKG,BKP805,-2304,A319,PG805
1525156716,21.7267,113.7858,14975,37,310,8840F9,USM,HKG,BKP805,-576,A319,PG805
1525156775,21.7999,113.836,15000,28,308,8840F9,USM,HKG,BKP805,0,A319,PG805
1525156839,21.8788,113.8829,15000,28,307,8840F9,USM,HKG,BKP805,0,A319,PG805
1525156905,21.9619,113.9322,15000,28,307,8840F9,USM,HKG,BKP805,64,A319,PG805
1525156965,22.0373,113.9771,15000,29,308,8840F9,USM,HKG,BKP805,0,A319,PG805
1525157024,22.0852,114.0473,14425,71,307,8840F9,USM,HKG,BKP805,-1408,A319,PG805
1525157088,22.1139,114.1406,12500,71,319,8840F9,USM,HKG,BKP805,-2496,A319,PG805
1525157140,22.1402,114.2163,11025,71,298,8840F9,USM,HKG,BKP805,-1792,A319,PG805
1525157209,22.1963,114.2918,8825,37,276,8840F9,USM,HKG,BKP805,-2304,A319,PG805
1525157269,22.2613,114.3345,7050,10,272,8840F9,USM,HKG,BKP805,-704,A319,PG805
1525157325,22.3221,114.3444,6850,8,260,8840F9,USM,HKG,BKP805,-704,A319,PG805
1525157392,22.3862,114.3086,5300,340,199,8840F9,USM,HKG,BKP805,-1216,A319,PG805
1525157453,22.4098,114.2594,4625,283,188,8840F9,USM,HKG,BKP805,-384,A319,PG805
1525157512,22.41,114.2068,4525,252,190,8840F9,USM,HKG,BKP805,-64,A319,PG805
1525157573,22.3921,114.1504,4175,250,181,8840F9,USM,HKG,BKP805,-960,A319,PG805
1525157632,22.376,114.1001,3200,250,186,8840F9,USM,HKG,BKP805,-1088,A319,PG805
1525157696,22.3579,114.0439,2200,251,185,8840F9,USM,HKG,BKP805,-1024,A319,PG805
1525157744,22.3453,114.0046,1500,250,155,8840F9,USM,HKG,BKP805,-768,A319,PG805
1525157819,22.3288,113.9532,575,251,142,8840F9,USM,HKG,BKP805,-832,A319,PG805
1525157874,22.3173,113.9177,0,250,100,8840F9,USM,HKG,BKP805,0,A319,PG805
1525157938,22.3133,113.9111,0,75,25,8840F9,USM,HKG,BKP805,0,A319,PG805
1525158004,22.3152,113.9176,0,123,30,8840F9,USM,HKG,BKP805,0,A319,PG805
1525158056,22.3116,113.919,0,160,18,8840F9,USM,HKG,BKP805,0,A319,PG805
1525158125,22.3089,113.9191,0,250,2,8840F9,USM,HKG,BKP805,0,A319,PG805
1525158130,22.3089,113.9191,0,250,2,8840F9,USM,HKG,BKP805,0,A319,PG805
