timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525150593,18.0188,118.7713,33325,315,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525150653,18.1131,118.6721,33325,315,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525150713,18.2066,118.5723,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525150773,18.2992,118.4714,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525150833,18.3917,118.3704,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525150893,18.4843,118.2693,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525150965,18.5953,118.148,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151013,18.6694,118.0671,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151085,18.7804,117.9456,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151145,18.873,117.8444,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151205,18.9656,117.743,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151265,19.0581,117.6417,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151325,19.1507,117.5402,33325,314,480,758341,MNL,HKG,PAL318,0,A343,PR318
1525151377,19.303,117.4763,37975,312,457,758341,MNL,HKG,PAL318,0,A343,PR318
1525151453,19.3961,117.3704,37975,313,457,758341,MNL,HKG,PAL318,0,A343,PR318
1525151513,19.4697,117.2868,37975,313,457,758341,MNL,HKG,PAL318,0,A343,PR318
1525151573,19.5432,117.2031,37975,313,457,758341,MNL,HKG,PAL318,0,A343,PR318
1525151637,19.6694,117.0554,38000,313,461,758341,MNL,HKG,PAL318,0,A343,PR318
1525151697,19.7436,116.9709,38000,313,461,758341,MNL,HKG,PAL318,0,A343,PR318
1525151759,19.8495,116.8467,38000,312,459,758341,MNL,HKG,PAL318,0,A343,PR318
1525151818,19.9339,116.7434,37975,306,456,758341,MNL,HKG,PAL318,0,A343,PR318
1525151881,20.0109,116.6555,37975,313,456,758341,MNL,HKG,PAL318,0,A343,PR318
1525151944,20.0372,116.487,37500,281,447,758341,MNL,HKG,PAL318,-1280,A343,PR318
1525152009,20.1082,116.3899,37475,315,447,758341,MNL,HKG,PAL318,0,A343,PR318
1525152069,20.1828,116.3105,37475,315,447,758341,MNL,HKG,PAL318,0,A343,PR318
1525152125,20.1087,116.1294,34900,281,400,758341,MNL,HKG,PAL318,-704,A343,PR318
1525152192,20.134,116.0014,33375,281,387,758341,MNL,HKG,PAL318,-1600,A343,PR318
1525152249,20.1755,115.9163,32875,320,385,758341,MNL,HKG,PAL318,0,A343,PR318
1525152311,20.1769,115.7832,30975,281,371,758341,MNL,HKG,PAL318,0,A343,PR318
1525152371,20.1981,115.6748,31000,281,378,758341,MNL,HKG,PAL318,0,A343,PR318
1525152432,20.2212,115.5648,31000,286,378,758341,MNL,HKG,PAL318,0,A343,PR318
1525152495,20.2663,115.4572,30450,300,379,758341,MNL,HKG,PAL318,-960,A343,PR318
1525152552,20.3274,115.373,29500,313,374,758341,MNL,HKG,PAL318,-1024,A343,PR318
1525152617,20.4121,115.301,28450,327,370,758341,MNL,HKG,PAL318,-1088,A343,PR318
1525152676,20.5048,115.2551,27475,340,368,758341,MNL,HKG,PAL318,-1024,A343,PR318
1525152736,20.6018,115.2184,26475,339,369,758341,MNL,HKG,PAL318,-1024,A343,PR318
1525152794,20.6961,115.1815,25500,339,360,758341,MNL,HKG,PAL318,-1088,A343,PR318
1525152860,20.798,115.1415,24425,339,355,758341,MNL,HKG,PAL318,-1024,A343,PR318
1525152907,20.87,115.1132,23650,339,350,758341,MNL,HKG,PAL318,-1024,A343,PR318
1525152986,20.9872,115.0646,22975,334,344,758341,MNL,HKG,PAL318,0,A343,PR318
1525153043,21.0612,115.009,23000,318,333,758341,MNL,HKG,PAL318,0,A343,PR318
1525153108,21.0978,114.9164,22475,280,320,758341,MNL,HKG,PAL318,-768,A343,PR318
1525153169,21.1144,114.8226,21750,280,314,758341,MNL,HKG,PAL318,-768,A343,PR318
1525153229,21.1523,114.7441,20675,330,326,758341,MNL,HKG,PAL318,-1728,A343,PR318
1525153285,21.2284,114.7025,18675,332,311,758341,MNL,HKG,PAL318,-2368,A343,PR318
1525153352,21.3113,114.6561,17000,332,299,758341,MNL,HKG,PAL318,-1024,A343,PR318
1525153411,21.3834,114.6161,15900,332,301,758341,MNL,HKG,PAL318,-1280,A343,PR318
1525153473,21.4601,114.5736,14625,332,292,758341,MNL,HKG,PAL318,-1088,A343,PR318
1525153533,21.5358,114.5416,13350,342,295,758341,MNL,HKG,PAL318,-576,A343,PR318
1525153593,21.6149,114.5143,13000,342,292,758341,MNL,HKG,PAL318,-128,A343,PR318
1525153661,21.7012,114.4844,12025,342,287,758341,MNL,HKG,PAL318,-896,A343,PR318
1525153721,21.777,114.458,11225,341,283,758341,MNL,HKG,PAL318,-768,A343,PR318
1525153781,21.8524,114.4316,10375,341,278,758341,MNL,HKG,PAL318,-768,A343,PR318
