timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525164113,18.0921,116.3348,34000,333,472,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164185,18.2322,116.2596,34000,333,472,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164245,18.3489,116.197,34000,333,472,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164305,18.4648,116.1326,34000,332,472,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164365,18.5805,116.0677,34000,332,472,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164429,18.7461,115.9749,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164489,18.842,115.9211,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164549,18.9378,115.8673,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164609,19.0336,115.8134,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164669,19.1295,115.7594,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164729,19.2388,115.6979,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164789,19.3516,115.6343,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164849,19.4643,115.5708,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164909,19.5771,115.5072,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525164981,19.7124,115.4308,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525165041,19.8251,115.3671,34000,332,460,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525165093,20.0726,115.4098,31000,329,488,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525165161,20.2228,115.3544,31000,328,491,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525165202,20.3235,115.3273,31000,339,490,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525165285,20.4988,115.2588,31000,339,484,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525165344,20.6233,115.2102,30500,339,476,7C531D,MEL,HKG,QFA29,-1024,A333,QF29
1525165404,20.7487,115.161,29475,339,478,7C531D,MEL,HKG,QFA29,-1088,A333,QF29
1525165467,20.8777,115.1104,28350,339,467,7C531D,MEL,HKG,QFA29,-1920,A333,QF29
1525165529,20.9976,115.0567,26300,331,449,7C531D,MEL,HKG,QFA29,-2240,A333,QF29
1525165588,21.0982,114.9821,24250,319,441,7C531D,MEL,HKG,QFA29,-2240,A333,QF29
1525165650,21.1913,114.8984,22250,319,423,7C531D,MEL,HKG,QFA29,-2112,A333,QF29
1525165717,21.2931,114.8064,20025,319,408,7C531D,MEL,HKG,QFA29,-2112,A333,QF29
1525165777,21.3788,114.7286,18150,319,397,7C531D,MEL,HKG,QFA29,-2048,A333,QF29
1525165837,21.4616,114.6534,16325,319,383,7C531D,MEL,HKG,QFA29,-1920,A333,QF29
1525165898,21.5424,114.5798,14550,319,377,7C531D,MEL,HKG,QFA29,-1920,A333,QF29
1525165960,21.6251,114.5044,12850,319,357,7C531D,MEL,HKG,QFA29,-1792,A333,QF29
1525166016,21.6882,114.4388,11900,302,333,7C531D,MEL,HKG,QFA29,-1088,A333,QF29
1525166081,21.7437,114.3509,10825,304,328,7C531D,MEL,HKG,QFA29,-1088,A333,QF29
1525166140,21.7927,114.274,10350,304,295,7C531D,MEL,HKG,QFA29,-512,A333,QF29
1525166201,21.8435,114.1937,9600,304,325,7C531D,MEL,HKG,QFA29,-1792,A333,QF29
1525166262,21.8942,114.1137,8000,304,318,7C531D,MEL,HKG,QFA29,-1472,A333,QF29
1525166324,21.9458,114.032,6700,304,308,7C531D,MEL,HKG,QFA29,-1088,A333,QF29
1525166384,21.994,113.9555,6050,304,307,7C531D,MEL,HKG,QFA29,-576,A333,QF29
1525166445,22.0421,113.8799,5250,308,294,7C531D,MEL,HKG,QFA29,-704,A333,QF29
1525166510,22.1022,113.8221,4275,319,260,7C531D,MEL,HKG,QFA29,-384,A333,QF29
1525166558,22.1472,113.7802,3600,319,243,7C531D,MEL,HKG,QFA29,-448,A333,QF29
1525166624,22.2098,113.7509,3025,340,205,7C531D,MEL,HKG,QFA29,-384,A333,QF29
1525166690,22.2592,113.7755,2525,38,176,7C531D,MEL,HKG,QFA29,-1088,A333,QF29
1525166756,22.2853,113.8185,1550,70,158,7C531D,MEL,HKG,QFA29,-832,A333,QF29
1525166818,22.3008,113.8664,675,70,156,7C531D,MEL,HKG,QFA29,-832,A333,QF29
1525166879,22.3149,113.9103,25,70,154,7C531D,MEL,HKG,QFA29,-64,A333,QF29
1525166933,22.3174,113.9226,0,149,26,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167001,22.3154,113.9205,0,163,32,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167051,22.3127,113.9216,0,160,29,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167124,22.3081,113.9233,0,160,30,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167184,22.3083,113.9267,0,70,31,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167240,22.3113,113.9287,0,25,27,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167279,22.3123,113.9306,0,70,29,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167364,22.3136,113.9336,0,28,12,7C531D,MEL,HKG,QFA29,0,A333,QF29
1525167385,22.3138,113.9337,0,25,2,7C531D,MEL,HKG,QFA29,0,A333,QF29
