timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525152923,27.701,85.36,0,52,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525152984,27.701,85.36,0,233,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153043,27.701,85.36,0,52,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153103,27.701,85.36,0,233,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153167,27.702,85.3606,0,89,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153227,27.702,85.3606,0,89,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153288,27.702,85.3606,0,89,0,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153350,27.7021,85.3617,0,25,22,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153413,27.7076,85.3641,0,22,18,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153472,27.7089,85.3647,0,202,22,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153494,27.7045,85.3628,0,202,88,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525153595,27.6695,85.2977,7225,285,187,70AFB7,KTM,HKG,RNA409,1728,A320,RA409
1525153660,27.7146,85.2884,8725,36,201,70AFB7,KTM,HKG,RNA409,832,A320,RA409
1525153703,27.7357,85.3269,9950,85,206,70AFB7,KTM,HKG,RNA409,1984,A320,RA409
1525153780,27.6994,85.4158,11050,116,288,70AFB7,KTM,HKG,RNA409,1152,A320,RA409
1525153843,27.654,85.5103,12125,128,352,70AFB7,KTM,HKG,RNA409,1024,A320,RA409
1525153905,27.5858,85.6015,13475,129,380,70AFB7,KTM,HKG,RNA409,2432,A320,RA409
1525153963,27.5177,85.6926,15075,129,397,70AFB7,KTM,HKG,RNA409,1728,A320,RA409
1525154025,27.4436,85.7914,16825,130,409,70AFB7,KTM,HKG,RNA409,1920,A320,RA409
1525154089,27.3626,85.8987,18550,130,422,70AFB7,KTM,HKG,RNA409,1792,A320,RA409
1525154146,27.2897,85.9954,20400,130,422,70AFB7,KTM,HKG,RNA409,3456,A320,RA409
1525154208,27.2137,86.0959,23125,130,399,70AFB7,KTM,HKG,RNA409,1856,A320,RA409
1525154268,27.1468,86.1986,24150,124,418,70AFB7,KTM,HKG,RNA409,1024,A320,RA409
1525154327,27.0795,86.3066,25000,124,438,70AFB7,KTM,HKG,RNA409,256,A320,RA409
1525154385,27.0083,86.4204,25075,124,474,70AFB7,KTM,HKG,RNA409,576,A320,RA409
1525154453,26.9461,86.5573,25625,104,482,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525154513,26.9382,86.6845,25625,94,482,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525154573,26.9302,86.8118,25625,94,482,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525154639,26.6759,86.9473,29125,125,494,70AFB7,KTM,HKG,RNA409,1152,A320,RA409
1525154701,26.5962,87.0724,29925,125,499,70AFB7,KTM,HKG,RNA409,704,A320,RA409
1525154759,26.5109,87.193,30950,134,490,70AFB7,KTM,HKG,RNA409,448,A320,RA409
1525154815,26.4091,87.2759,31200,151,476,70AFB7,KTM,HKG,RNA409,704,A320,RA409
1525154880,26.2766,87.3306,32225,163,468,70AFB7,KTM,HKG,RNA409,1088,A320,RA409
1525154942,26.1479,87.374,33650,162,455,70AFB7,KTM,HKG,RNA409,1408,A320,RA409
1525155002,26.0291,87.4148,34725,163,447,70AFB7,KTM,HKG,RNA409,1728,A320,RA409
1525155064,25.9064,87.4565,35000,162,444,70AFB7,KTM,HKG,RNA409,-64,A320,RA409
1525155125,25.7865,87.4972,35000,163,446,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155187,25.6622,87.544,35050,156,456,70AFB7,KTM,HKG,RNA409,128,A320,RA409
1525155249,25.5477,87.6164,35050,144,466,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525155306,25.4504,87.7014,34975,141,465,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155368,25.3488,87.7916,34950,141,462,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155428,25.2484,87.8804,34975,141,458,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525155491,25.1435,87.973,34950,141,457,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525155551,25.0425,88.0621,34950,141,460,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155596,24.9661,88.1292,35000,141,466,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155669,24.8777,88.2507,35025,101,469,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155739,24.7267,88.3487,35025,139,478,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525155800,24.6232,88.4447,35050,139,478,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525155857,24.5283,88.5342,35050,136,483,70AFB7,KTM,HKG,RNA409,-128,A320,RA409
1525155919,24.4448,88.6588,35025,117,508,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525155985,24.3974,88.8258,34975,102,527,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156041,24.3678,88.9721,34975,102,528,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156102,24.3354,89.1312,35000,102,528,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525156163,24.3028,89.2906,35000,102,527,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156229,24.2675,89.4632,35000,102,525,70AFB7,KTM,HKG,RNA409,-64,A320,RA409
1525156285,24.2372,89.6102,35000,102,524,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525156346,24.2046,89.7673,35000,102,523,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156409,24.1716,89.9264,35000,102,524,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156469,24.1389,90.0823,34975,102,523,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156530,24.1055,90.2409,35000,102,522,70AFB7,KTM,HKG,RNA409,64,A320,RA409
1525156591,24.0721,90.3991,35025,102,519,70AFB7,KTM,HKG,RNA409,0,A320,RA409
1525156659,24.0356,90.5696,35000,103,518,70AFB7,KTM,HKG,RNA409,0,A320,RA409
