timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525167737,18.006,112.9595,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525167785,18.1037,112.9795,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525167857,18.2501,113.0095,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525167917,18.3722,113.0345,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525167977,18.4943,113.0595,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168037,18.6164,113.0845,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168097,18.7384,113.1096,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168157,18.8605,113.1346,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168217,18.9826,113.1597,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168277,19.1046,113.1848,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168337,19.2267,113.2099,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168409,19.3732,113.2401,40000,11,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168469,19.4948,113.2675,40000,12,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168529,19.6165,113.295,40000,12,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168589,19.7381,113.3224,40000,12,448,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168637,19.4047,114.6765,31000,355,424,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168717,19.5674,114.6626,31000,355,423,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168773,19.6579,114.6404,31000,346,423,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168833,19.7547,114.6148,31000,346,423,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168895,19.916,114.6329,31000,355,427,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525168960,20.0428,114.6222,31000,355,428,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525169019,20.1583,114.6123,31000,355,420,780A7B,SIN,HKG,HKC372,64,A332,RH372
1525169082,20.2797,114.6019,31000,355,416,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525169124,20.3567,114.5953,31000,355,416,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525169201,20.5086,114.5823,29875,355,414,780A7B,SIN,HKG,HKC372,-1024,A332,RH372
1525169254,20.6113,114.5735,28975,355,405,780A7B,SIN,HKG,HKC372,-1088,A332,RH372
1525169324,20.7419,114.5622,27375,355,398,780A7B,SIN,HKG,HKC372,-1920,A332,RH372
1525169390,20.8479,114.5403,26475,339,395,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525169448,20.968,114.5542,24300,45,389,780A7B,SIN,HKG,HKC372,-1024,A332,RH372
1525169508,21.0746,114.5551,22975,45,375,780A7B,SIN,HKG,HKC372,-1472,A332,RH372
1525169567,21.1735,114.556,21700,45,367,780A7B,SIN,HKG,HKC372,-1280,A332,RH372
1525169625,21.2707,114.5475,20375,354,356,780A7B,SIN,HKG,HKC372,-1472,A332,RH372
1525169689,21.3748,114.5376,17975,354,347,780A7B,SIN,HKG,HKC372,-2624,A332,RH372
1525169751,21.4675,114.5288,15675,354,325,780A7B,SIN,HKG,HKC372,-3136,A332,RH372
1525169808,21.5571,114.5202,13725,354,316,780A7B,SIN,HKG,HKC372,-1280,A332,RH372
1525169871,21.6412,114.4922,12625,322,301,780A7B,SIN,HKG,HKC372,-1216,A332,RH372
1525169935,21.7106,114.4346,11725,322,297,780A7B,SIN,HKG,HKC372,-896,A332,RH372
1525169997,21.7772,114.3794,10850,322,298,780A7B,SIN,HKG,HKC372,-896,A332,RH372
1525170056,21.8421,114.3247,9950,316,297,780A7B,SIN,HKG,HKC372,-1536,A332,RH372
1525170120,21.8749,114.2408,8625,289,288,780A7B,SIN,HKG,HKC372,-1344,A332,RH372
1525170177,21.9002,114.1636,8075,289,283,780A7B,SIN,HKG,HKC372,0,A332,RH372
1525170239,21.9281,114.0797,7600,289,283,780A7B,SIN,HKG,HKC372,-1024,A332,RH372
1525170300,21.9538,114.0019,6775,289,267,780A7B,SIN,HKG,HKC372,-384,A332,RH372
1525170366,21.9797,113.9228,5925,289,252,780A7B,SIN,HKG,HKC372,-960,A332,RH372
1525170425,22.0198,113.8647,5050,309,249,780A7B,SIN,HKG,HKC372,-1088,A332,RH372
1525170484,22.0653,113.809,4050,323,248,780A7B,SIN,HKG,HKC372,-1088,A332,RH372
1525170544,22.13,113.782,3125,339,247,780A7B,SIN,HKG,HKC372,-448,A332,RH372
