timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525174588,37.5038,126.3602,2825,279,193,71C255,ICN,HKG,ASV531,1984,A321,RS531
1525174645,37.5058,126.2847,4150,271,245,71C255,ICN,HKG,ASV531,1344,A321,RS531
1525174710,37.5016,126.1914,6450,242,270,71C255,ICN,HKG,ASV531,2880,A321,RS531
1525174768,37.4323,126.1479,9000,194,280,71C255,ICN,HKG,ASV531,1216,A321,RS531
1525174834,37.3651,126.1981,11200,130,308,71C255,ICN,HKG,ASV531,2304,A321,RS531
1525174895,37.3057,126.2832,13075,131,328,71C255,ICN,HKG,ASV531,1728,A321,RS531
1525174956,37.2427,126.3729,14375,131,364,71C255,ICN,HKG,ASV531,1280,A321,RS531
1525175015,37.1652,126.4553,16250,159,351,71C255,ICN,HKG,ASV531,2688,A321,RS531
1525175076,37.0743,126.499,18150,159,356,71C255,ICN,HKG,ASV531,1408,A321,RS531
1525175146,36.9629,126.5409,20125,165,358,71C255,ICN,HKG,ASV531,1472,A321,RS531
1525175202,36.8737,126.56,21200,186,353,71C255,ICN,HKG,ASV531,1664,A321,RS531
1525175266,36.7682,126.5427,22725,187,357,71C255,ICN,HKG,ASV531,832,A321,RS531
1525175326,36.6647,126.5253,23250,187,386,71C255,ICN,HKG,ASV531,448,A321,RS531
1525175386,36.5566,126.5072,23950,187,406,71C255,ICN,HKG,ASV531,960,A321,RS531
1525175447,36.4403,126.4878,24925,187,407,71C255,ICN,HKG,ASV531,1344,A321,RS531
1525175507,36.3302,126.4694,25925,187,422,71C255,ICN,HKG,ASV531,896,A321,RS531
1525175567,36.2249,126.4346,26425,207,422,71C255,ICN,HKG,ASV531,0,A321,RS531
1525175633,36.0736,126.4266,27825,187,442,71C255,ICN,HKG,ASV531,768,A321,RS531
1525175695,35.9472,126.4057,28850,187,445,71C255,ICN,HKG,ASV531,1664,A321,RS531
1525175754,35.8262,126.3857,30100,187,438,71C255,ICN,HKG,ASV531,1088,A321,RS531
1525175815,35.7041,126.3655,31275,187,432,71C255,ICN,HKG,ASV531,1536,A321,RS531
1525175884,35.5677,126.3429,32325,187,430,71C255,ICN,HKG,ASV531,1152,A321,RS531
1525175943,35.4513,126.3239,33200,187,426,71C255,ICN,HKG,ASV531,896,A321,RS531
1525176012,35.3192,126.3023,33950,187,424,71C255,ICN,HKG,ASV531,384,A321,RS531
1525176068,35.2075,126.2841,34000,187,420,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176128,35.092,126.2654,33975,187,422,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176202,34.9495,126.2424,34000,187,422,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176259,34.8385,126.2245,33975,187,423,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176319,34.7216,126.2057,33975,187,425,71C255,ICN,HKG,ASV531,64,A321,RS531
1525176385,34.593,126.185,33975,187,428,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176446,34.4721,126.1657,33975,187,429,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176504,34.3586,126.1476,34025,187,430,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176566,34.235,126.128,34000,187,430,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176622,34.1471,126.0781,34025,226,429,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176682,34.0768,125.9902,34025,226,429,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176742,34.0065,125.9023,34025,226,429,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176814,33.9221,125.797,34025,226,429,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176878,33.6229,126.0314,33975,187,428,71C255,ICN,HKG,ASV531,0,A321,RS531
1525176941,33.4986,126.012,34000,187,430,71C255,ICN,HKG,ASV531,64,A321,RS531
1525177001,33.3789,125.9933,33950,187,435,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177061,33.2575,125.9745,34000,187,438,71C255,ICN,HKG,ASV531,64,A321,RS531
1525177129,33.121,125.9534,34050,187,441,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177195,32.9865,125.9327,34000,187,438,71C255,ICN,HKG,ASV531,-320,A321,RS531
1525177262,32.8527,125.9121,33975,187,439,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177325,32.7265,125.8927,33975,187,434,71C255,ICN,HKG,ASV531,-64,A321,RS531
1525177389,32.5997,125.8733,33950,187,434,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177448,32.4805,125.8551,33975,187,435,71C255,ICN,HKG,ASV531,64,A321,RS531
1525177488,32.4016,125.8431,34000,187,435,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177571,32.2343,125.8176,34025,187,438,71C255,ICN,HKG,ASV531,64,A321,RS531
1525177638,32.1435,125.7367,34025,230,439,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177698,32.077,125.643,34025,230,439,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177743,31.8962,125.737,34000,199,427,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177822,31.7618,125.6632,34000,219,427,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177877,31.6451,125.6319,34025,199,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177938,31.5754,125.5451,34025,232,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525177986,31.4468,125.5491,33950,199,421,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178062,31.3618,125.4415,33950,232,421,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178126,31.199,125.426,33975,219,429,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178198,31.0499,125.3835,33975,199,427,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178249,30.9551,125.3443,34000,199,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178309,30.8421,125.2975,33975,199,426,71C255,ICN,HKG,ASV531,64,A321,RS531
1525178382,30.7611,125.192,33975,233,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178442,30.6089,125.1835,34000,219,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178490,30.5617,125.1079,34000,234,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178550,30.5026,125.0135,34000,234,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178622,30.4317,124.9003,34000,234,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178682,30.372,124.8065,34000,233,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178742,30.3051,124.7037,34000,233,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178802,30.2339,124.5943,34000,233,426,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178862,29.7547,125.0945,34025,200,437,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178926,29.6841,124.9992,34025,237,437,71C255,ICN,HKG,ASV531,0,A321,RS531
1525178987,29.5263,124.9753,34000,215,427,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179048,29.4284,124.8955,33950,215,428,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179106,29.3648,124.8021,33950,237,428,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179178,29.2988,124.6855,33950,237,428,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179232,29.1266,124.6506,34025,215,433,71C255,ICN,HKG,ASV531,64,A321,RS531
1525179281,29.0472,124.5864,34025,215,431,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179358,28.9226,124.486,33950,215,430,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179418,28.8246,124.4072,33975,215,431,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179475,28.7326,124.3334,34000,215,431,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179538,28.6637,124.2327,34000,239,431,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179596,28.5366,124.1765,33975,215,430,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179658,28.48,124.0762,33975,239,430,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179718,28.4278,123.9772,33975,239,430,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179777,28.2267,123.958,33975,203,439,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179838,28.1106,123.9023,34000,203,440,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179906,27.9879,123.8438,34000,203,436,71C255,ICN,HKG,ASV531,0,A321,RS531
1525179965,27.8746,123.7898,33975,202,434,71C255,ICN,HKG,ASV531,0,A321,RS531
1525180028,27.7569,123.7339,33950,202,436,71C255,ICN,HKG,ASV531,0,A321,RS531
1525180090,27.6451,123.6797,33975,205,435,71C255,ICN,HKG,ASV531,64,A321,RS531
1525180149,27.5444,123.6083,34025,215,431,71C255,ICN,HKG,ASV531,64,A321,RS531
1525180197,27.4641,123.5435,34025,215,432,71C255,ICN,HKG,ASV531,0,A321,RS531
1525180270,27.4015,123.4232,34025,242,432,71C255,ICN,HKG,ASV531,0,A321,RS531
1525180330,27.252,123.3724,34000,215,429,71C255,ICN,HKG,ASV531,-64,A321,RS531
1525180394,27.149,123.2895,33975,215,428,71C255,ICN,HKG,ASV531,0,A321,RS531
1525180456,27.0469,123.2076,34000,215,427,71C255,ICN,HKG,ASV531,0,A321,RS531
