timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525161241,18.0268,112.6608,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161301,18.1518,112.696,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161361,18.2767,112.7313,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161421,18.4017,112.7665,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161481,18.5266,112.8018,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161541,18.6516,112.8372,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161601,18.7765,112.8725,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161661,18.9015,112.9079,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161721,19.0264,112.9433,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161781,19.1514,112.9787,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161841,19.2763,113.0142,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161901,19.4013,113.0497,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525161961,19.5262,113.0852,36000,15,466,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162037,19.2026,114.6934,36000,355,480,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162097,19.3368,114.682,36000,355,480,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162151,19.4563,114.6719,36000,355,479,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162202,19.5699,114.6623,36000,355,480,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162276,19.7359,114.6482,36000,355,481,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162340,19.8786,114.6361,36000,355,481,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162401,20.0123,114.6247,36000,355,481,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162461,20.1444,114.6134,36000,355,480,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162524,20.2853,114.6013,34925,355,477,76CEF9,SIN,HKG,SIA866,-2240,B77W,SQ866
1525162570,20.3858,114.5927,33325,355,469,76CEF9,SIN,HKG,SIA866,-2240,B77W,SQ866
1525162645,20.5351,114.5683,31650,342,459,76CEF9,SIN,HKG,SIA866,0,B77W,SQ866
1525162704,20.6694,114.5683,28800,355,445,76CEF9,SIN,HKG,SIA866,-2048,B77W,SQ866
1525162768,20.7987,114.5571,26750,355,434,76CEF9,SIN,HKG,SIA866,-1984,B77W,SQ866
1525162813,20.888,114.5534,25275,359,432,76CEF9,SIN,HKG,SIA866,-2176,B77W,SQ866
1525162875,21.0115,114.5543,23150,359,427,76CEF9,SIN,HKG,SIA866,-2176,B77W,SQ866
