timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525118815,53.9654,85.9411,35000,105,532,424575,SVO,HKG,AFL212,0,B77W,SU212
1525118879,53.9241,86.1963,35000,105,532,424575,SVO,HKG,AFL212,0,B77W,SU212
1525118936,53.8863,86.4261,35000,105,532,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119146,53.7154,87.2434,35000,113,527,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119204,53.6579,87.4612,35000,113,526,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119265,53.5966,87.6915,35000,114,525,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119327,53.5359,87.9172,35000,114,522,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119393,53.4691,88.1633,35000,114,520,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119451,53.411,88.3746,35000,114,520,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119513,53.3495,88.5968,35000,114,522,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119575,53.2874,88.8187,35000,115,522,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119629,53.2316,89.0178,35000,113,523,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119698,53.166,89.2802,35000,112,526,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119753,53.113,89.4879,35000,113,527,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119801,53.0673,89.6641,35000,113,528,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119878,52.9819,89.9177,35000,133,528,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119937,52.9346,90.1664,35000,113,530,424575,SVO,HKG,AFL212,0,B77W,SU212
1525119997,52.8746,90.3905,35000,113,529,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120061,52.811,90.6261,35000,114,528,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120121,52.7507,90.8467,35000,114,528,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120183,52.6894,91.0694,35000,114,527,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120240,52.6317,91.2768,35000,114,526,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120305,52.5662,91.51,35000,114,524,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120365,52.5044,91.7281,35000,115,524,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120435,52.4335,91.9756,35000,115,520,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120491,52.3744,92.1799,35000,115,519,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120549,52.3149,92.3839,35000,115,518,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120613,52.2487,92.6089,35000,115,518,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120672,52.1891,92.81,35000,115,519,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120735,52.1217,93.0349,35000,116,520,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120799,52.0544,93.2574,35000,116,519,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120856,51.9936,93.4566,35000,116,518,424575,SVO,HKG,AFL212,-64,B77W,SU212
1525120916,51.9288,93.6674,35000,116,514,424575,SVO,HKG,AFL212,0,B77W,SU212
1525120975,51.8676,93.8647,35000,116,514,424575,SVO,HKG,AFL212,-64,B77W,SU212
1525121038,51.7992,94.0833,35000,116,512,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121100,51.7323,94.2952,35000,117,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121150,51.6809,94.4565,35000,117,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121222,51.6011,94.7055,35000,117,509,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121282,51.5123,94.8374,35000,145,509,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121342,51.4608,95.0751,35000,137,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121402,51.3611,95.183,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121462,51.2613,95.2906,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121522,51.1615,95.398,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121582,51.0618,95.5052,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121654,50.928,95.6485,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121702,50.8341,95.7489,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121774,50.6932,95.899,35000,146,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121822,50.5985,95.9969,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121894,50.456,96.1425,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525121954,50.3373,96.2634,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122015,50.2165,96.386,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122075,50.0978,96.5063,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122135,49.979,96.6264,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122195,49.8603,96.7461,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122255,49.7415,96.8655,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122315,49.6228,96.9847,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122387,49.4803,97.1273,35000,147,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122447,49.361,97.2445,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122507,49.2409,97.3595,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122567,49.1209,97.4742,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122627,49.0008,97.5887,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122687,48.8807,97.7029,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122759,48.7366,97.8396,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122819,48.6166,97.9531,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122879,48.4965,98.0665,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122927,48.4004,98.1569,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525122999,48.2564,98.2923,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123059,48.1363,98.4048,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123119,48.0162,98.5171,35000,148,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123179,47.8949,98.6259,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123239,47.7735,98.7345,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123299,47.6521,98.8428,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123359,47.5308,98.9509,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123419,47.4094,99.0588,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123479,47.288,99.1664,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123539,47.1667,99.2737,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123611,47.021,99.4022,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
1525123671,46.8997,99.509,35000,149,510,424575,SVO,HKG,AFL212,0,B77W,SU212
