timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525178797,18.0102,107.2327,37000,57,484,8850B5,BKK,HKG,THA602,0,A333,TG602
1525178870,18.0919,107.351,37000,54,484,8850B5,BKK,HKG,THA602,0,A333,TG602
1525178930,18.159,107.4482,37000,54,484,8850B5,BKK,HKG,THA602,0,A333,TG602
1525178990,18.2261,107.5455,37000,54,484,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179048,18.3145,107.7302,37025,52,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179110,18.4004,107.8391,37000,50,467,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179176,18.4924,107.9558,37000,50,468,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179225,18.5599,108.0417,37000,50,466,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179285,18.6419,108.1463,37000,50,466,8850B5,BKK,HKG,THA602,-64,A333,TG602
1525179349,18.7304,108.2593,37000,50,467,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179410,18.7953,108.3557,37000,55,467,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179478,18.898,108.4805,37000,55,466,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179539,18.9912,108.5938,37000,50,469,8850B5,BKK,HKG,THA602,64,A333,TG602
1525179602,19.0595,108.6964,37000,55,469,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179660,19.1593,108.8103,37100,50,469,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179721,19.2428,108.9181,37100,50,471,8850B5,BKK,HKG,THA602,64,A333,TG602
1525179784,19.3298,109.0307,37100,50,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179840,19.4065,109.13,37100,50,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179904,19.4946,109.2445,37100,50,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525179966,19.5803,109.3572,37100,51,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180029,19.6669,109.4712,37100,51,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180090,19.7494,109.58,37100,51,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180146,19.827,109.6825,37100,51,472,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180207,19.909,109.7911,37100,51,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180268,19.9931,109.9025,37100,51,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180330,20.0773,110.0143,37100,51,471,8850B5,BKK,HKG,THA602,64,A333,TG602
1525180392,20.1618,110.1268,37100,51,472,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180449,20.2411,110.2326,37100,51,471,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180514,20.3203,110.3472,37100,58,470,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180579,20.404,110.4741,37100,67,475,8850B5,BKK,HKG,THA602,-64,A333,TG602
1525180639,20.4581,110.6045,37100,64,475,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180702,20.5171,110.7392,37100,65,476,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180761,20.5705,110.8631,37100,65,477,8850B5,BKK,HKG,THA602,64,A333,TG602
1525180823,20.6288,110.9985,37100,65,477,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180885,20.6854,111.1304,37100,65,476,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180949,20.7438,111.2669,37100,65,476,8850B5,BKK,HKG,THA602,0,A333,TG602
1525180997,20.7877,111.3696,37100,65,476,8850B5,BKK,HKG,THA602,0,A333,TG602
1525181073,20.856,111.5334,37100,66,478,8850B5,BKK,HKG,THA602,0,A333,TG602
1525181133,20.9101,111.6657,37100,66,490,8850B5,BKK,HKG,THA602,64,A333,TG602
1525181201,20.9707,111.8154,37100,66,494,8850B5,BKK,HKG,THA602,0,A333,TG602
1525181262,21.0324,111.9401,36700,54,494,8850B5,BKK,HKG,THA602,0,A333,TG602
1525181321,21.0798,112.0878,35325,66,500,8850B5,BKK,HKG,THA602,-1024,A333,TG602
1525181382,21.1351,112.226,34350,66,503,8850B5,BKK,HKG,THA602,-960,A333,TG602
1525181438,21.1863,112.3547,32450,67,506,8850B5,BKK,HKG,THA602,-3008,A333,TG602
1525181503,21.2466,112.5061,29850,67,501,8850B5,BKK,HKG,THA602,-2240,A333,TG602
1525181558,21.3055,112.6145,28875,50,493,8850B5,BKK,HKG,THA602,0,A333,TG602
1525181608,21.339,112.7394,26450,67,475,8850B5,BKK,HKG,THA602,-2048,A333,TG602
1525181690,21.4076,112.9137,23875,67,456,8850B5,BKK,HKG,THA602,-2048,A333,TG602
1525181751,21.4576,113.041,21950,67,443,8850B5,BKK,HKG,THA602,-2048,A333,TG602
1525181799,21.4948,113.1358,20475,67,436,8850B5,BKK,HKG,THA602,-2048,A333,TG602
1525181873,21.5522,113.2823,18175,67,426,8850B5,BKK,HKG,THA602,-2048,A333,TG602
1525181931,21.5954,113.3932,16425,67,416,8850B5,BKK,HKG,THA602,-1984,A333,TG602
1525181993,21.6418,113.5123,14500,67,410,8850B5,BKK,HKG,THA602,-1984,A333,TG602
1525182051,21.6831,113.6185,13050,67,390,8850B5,BKK,HKG,THA602,-3072,A333,TG602
1525182115,21.7267,113.7309,11025,67,387,8850B5,BKK,HKG,THA602,-1728,A333,TG602
1525182176,21.7996,113.8166,9225,37,373,8850B5,BKK,HKG,THA602,-1600,A333,TG602
1525182244,21.9041,113.8285,6675,345,342,8850B5,BKK,HKG,THA602,-1344,A333,TG602
1525182303,21.9893,113.8068,5675,346,277,8850B5,BKK,HKG,THA602,-960,A333,TG602
1525182363,22.0595,113.7885,4300,346,253,8850B5,BKK,HKG,THA602,-832,A333,TG602
1525182417,22.1163,113.7737,3850,346,251,8850B5,BKK,HKG,THA602,-1216,A333,TG602
1525182488,22.195,113.7523,2925,345,210,8850B5,BKK,HKG,THA602,-576,A333,TG602
1525182548,22.2456,113.7612,2300,36,190,8850B5,BKK,HKG,THA602,-384,A333,TG602
1525182609,22.2802,113.8022,1750,76,179,8850B5,BKK,HKG,THA602,-1216,A333,TG602
1525182674,22.2959,113.8513,900,70,154,8850B5,BKK,HKG,THA602,-832,A333,TG602
1525182734,22.3096,113.8938,150,71,147,8850B5,BKK,HKG,THA602,-704,A333,TG602
1525182793,22.3179,113.9211,0,92,22,8850B5,BKK,HKG,THA602,0,A333,TG602
1525182852,22.3165,113.9211,0,247,29,8850B5,BKK,HKG,THA602,0,A333,TG602
