timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525106009,18.0619,112.7359,36025,14,443,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106069,18.1812,112.7672,36025,14,443,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106129,18.3006,112.7985,36025,14,443,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106189,18.4199,112.8299,36025,14,443,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106249,18.5392,112.8612,36025,14,443,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106309,18.6585,112.8926,36025,14,443,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106376,18.3754,114.3745,36000,3,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106433,18.4784,114.3654,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106493,18.5861,114.3535,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106553,18.6938,114.3415,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106613,18.8015,114.3296,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106673,18.9092,114.3176,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106733,19.0359,114.3036,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106805,19.188,114.2866,36000,354,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106863,19.4128,114.447,36000,4,455,7503F3,SZB,HKG,RMY3507,64,B762,TH3507
1525106928,19.5526,114.4572,36000,3,455,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525106989,19.6798,114.4666,36025,4,455,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525107042,19.7932,114.4749,36025,3,455,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525107109,19.934,114.4853,36025,4,456,7503F3,SZB,HKG,RMY3507,64,B762,TH3507
1525107172,20.0666,114.4951,36000,4,457,7503F3,SZB,HKG,RMY3507,-64,B762,TH3507
1525107234,20.1938,114.5045,36025,3,459,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525107293,20.3224,114.5139,36000,3,461,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525107354,20.4501,114.5234,34800,4,458,7503F3,SZB,HKG,RMY3507,-3072,B762,TH3507
1525107417,20.5856,114.5335,31300,4,470,7503F3,SZB,HKG,RMY3507,-3584,B762,TH3507
1525107477,20.7148,114.5432,28675,3,461,7503F3,SZB,HKG,RMY3507,-2624,B762,TH3507
1525107535,20.8405,114.5517,26125,2,451,7503F3,SZB,HKG,RMY3507,-2752,B762,TH3507
1525107597,20.9687,114.5541,23925,1,451,7503F3,SZB,HKG,RMY3507,-2240,B762,TH3507
1525107659,21.0981,114.5556,21750,1,434,7503F3,SZB,HKG,RMY3507,-2240,B762,TH3507
1525107720,21.2178,114.5562,19675,1,418,7503F3,SZB,HKG,RMY3507,-2368,B762,TH3507
1525107772,21.3147,114.5572,18075,1,402,7503F3,SZB,HKG,RMY3507,-1984,B762,TH3507
1525107841,21.4238,114.5593,18075,1,402,7503F3,SZB,HKG,RMY3507,-1984,B762,TH3507
1525107884,21.5164,114.5482,14675,345,385,7503F3,SZB,HKG,RMY3507,-2048,B762,TH3507
1525107963,21.6351,114.482,12650,307,343,7503F3,SZB,HKG,RMY3507,-1024,B762,TH3507
1525108027,21.694,114.3953,11700,305,338,7503F3,SZB,HKG,RMY3507,-960,B762,TH3507
1525108088,21.7486,114.3136,10800,305,332,7503F3,SZB,HKG,RMY3507,-960,B762,TH3507
1525108146,21.8012,114.235,9950,305,331,7503F3,SZB,HKG,RMY3507,-960,B762,TH3507
1525108210,21.8585,114.1493,8375,305,324,7503F3,SZB,HKG,RMY3507,-1728,B762,TH3507
1525108257,21.8993,114.0878,7025,305,319,7503F3,SZB,HKG,RMY3507,-1600,B762,TH3507
1525108334,21.9613,113.9952,6300,305,283,7503F3,SZB,HKG,RMY3507,-384,B762,TH3507
1525108397,22.0109,113.9233,5900,308,282,7503F3,SZB,HKG,RMY3507,-384,B762,TH3507
1525108445,22.0505,113.8706,5600,308,280,7503F3,SZB,HKG,RMY3507,-448,B762,TH3507
1525108521,22.1141,113.8026,4675,339,249,7503F3,SZB,HKG,RMY3507,-832,B762,TH3507
1525108580,22.1764,113.7773,3825,338,239,7503F3,SZB,HKG,RMY3507,-896,B762,TH3507
1525108640,22.2315,113.7539,3400,338,224,7503F3,SZB,HKG,RMY3507,-768,B762,TH3507
1525108677,22.2666,113.7651,2650,37,201,7503F3,SZB,HKG,RMY3507,-640,B762,TH3507
1525108759,22.2913,113.8372,1200,70,167,7503F3,SZB,HKG,RMY3507,-960,B762,TH3507
1525108819,22.305,113.8796,425,71,144,7503F3,SZB,HKG,RMY3507,-704,B762,TH3507
1525108883,22.3165,113.9155,0,73,50,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525108945,22.316,113.9202,0,120,28,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525108992,22.3132,113.9214,0,160,33,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109071,22.3075,113.9235,0,160,33,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109133,22.3053,113.9207,0,250,19,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109187,22.3037,113.9155,0,250,16,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109256,22.3003,113.9164,0,81,24,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109313,22.3014,113.9201,0,104,27,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109339,22.3003,113.9207,0,160,26,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
1525109391,22.2987,113.9213,0,160,12,7503F3,SZB,HKG,RMY3507,0,B762,TH3507
