timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525151149,53.9242,118.4785,36000,189,539,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151209,53.7764,118.4389,36000,189,539,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151248,53.9861,117.1173,35975,192,515,AAA4DC,ORD,HKG,UAL895,-64,B772,UA895
1525151321,53.839,117.0911,35975,186,515,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151391,53.6549,116.9962,36000,192,517,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151452,53.5101,116.9441,35975,192,518,AAA4DC,ORD,HKG,UAL895,64,B772,UA895
1525151510,53.3768,116.8962,35975,192,517,AAA4DC,ORD,HKG,UAL895,64,B772,UA895
1525151571,53.2319,116.8445,36000,192,515,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151630,53.0975,116.797,35975,192,514,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151697,52.9417,116.7424,36000,191,514,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151754,52.8059,116.6951,36000,191,512,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151822,52.6491,116.6408,36000,191,511,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151883,52.5074,116.5922,36000,191,509,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525151939,52.3823,116.5495,36000,191,508,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525152007,52.223,116.4955,36000,191,505,AAA4DC,ORD,HKG,UAL895,0,B772,UA895
1525152069,52.0855,116.4492,36225,191,501,AAA4DC,ORD,HKG,UAL895,256,B772,UA895
1525152128,51.9491,116.4035,36500,191,503,AAA4DC,ORD,HKG,UAL895,256,B772,UA895
1525152190,51.8094,116.3569,36850,191,507,AAA4DC,ORD,HKG,UAL895,320,B772,UA895
1525152252,51.6687,116.3105,37125,191,506,AAA4DC,ORD,HKG,UAL895,320,B772,UA895
1525152311,51.5336,116.2661,37425,191,507,AAA4DC,ORD,HKG,UAL895,320,B772,UA895
1525152372,51.3919,116.2199,37750,191,505,AAA4DC,ORD,HKG,UAL895,320,B772,UA895
