timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525164245,18.0735,116.3451,38000,333,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164305,18.1917,116.2817,38000,333,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164365,18.31,116.2183,38000,333,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164425,18.4275,116.1535,38000,332,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164485,18.5447,116.0878,38000,332,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164545,18.6618,116.0221,38000,332,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164605,18.779,115.9563,38000,332,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164677,18.9196,115.8773,38000,332,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164737,19.0367,115.8114,38000,332,478,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164797,19.1601,115.7708,38000,332,469,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164834,19.2438,115.7459,37050,339,470,7C7527,MEL,HKG,VOZ87,-1024,A332,VA87
1525164909,19.3662,115.677,37050,332,470,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525164981,19.4837,115.6107,37050,332,470,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165041,19.5811,115.5544,37050,331,470,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165101,19.7945,115.5616,33250,329,486,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165161,19.8928,115.4988,33250,329,486,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165221,19.9911,115.436,33250,329,486,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165281,20.0894,115.3731,33250,329,486,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165341,20.1877,115.3102,33250,329,486,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165386,20.3204,115.3331,31000,331,460,7C7527,MEL,HKG,VOZ87,64,A332,VA87
1525165465,20.4802,115.2663,30150,339,455,7C7527,MEL,HKG,VOZ87,-1024,A332,VA87
1525165529,20.5793,115.2023,29975,326,454,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165589,20.6681,115.1383,29975,326,454,7C7527,MEL,HKG,VOZ87,0,A332,VA87
1525165630,20.799,115.1416,27400,339,417,7C7527,MEL,HKG,VOZ87,-1024,A332,VA87
1525165715,20.9473,115.0832,25475,339,386,7C7527,MEL,HKG,VOZ87,-1472,A332,VA87
1525165775,21.0383,115.0336,24100,316,365,7C7527,MEL,HKG,VOZ87,-1536,A332,VA87
1525165836,21.1113,114.9567,22675,315,357,7C7527,MEL,HKG,VOZ87,-1536,A332,VA87
1525165894,21.1789,114.8853,21300,315,350,7C7527,MEL,HKG,VOZ87,-1408,A332,VA87
1525165961,21.2419,114.7972,19725,281,334,7C7527,MEL,HKG,VOZ87,-1280,A332,VA87
1525166020,21.2568,114.7009,18375,279,326,7C7527,MEL,HKG,VOZ87,-1344,A332,VA87
1525166080,21.2928,114.6187,17325,327,335,7C7527,MEL,HKG,VOZ87,-704,A332,VA87
1525166140,21.3828,114.5896,16250,344,325,7C7527,MEL,HKG,VOZ87,-1408,A332,VA87
1525166200,21.4686,114.5643,15000,344,320,7C7527,MEL,HKG,VOZ87,-1216,A332,VA87
1525166261,21.554,114.5356,13800,342,314,7C7527,MEL,HKG,VOZ87,-1152,A332,VA87
