timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525165777,18.0143,111.3422,33000,28,478,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525165837,18.1139,111.3979,33000,28,478,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525165897,18.2135,111.4537,33000,28,478,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525165960,18.2228,111.7409,33000,56,476,88811B,SGN,HKG,VJC876,-64,A320,VJ876
1525166021,18.3111,111.8236,32975,25,476,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166081,18.4129,111.8736,32975,25,476,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166141,18.5147,111.9237,32975,25,476,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166201,18.6165,111.9737,32975,25,476,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166240,18.5684,112.2783,33000,50,477,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166325,18.714,112.3456,33000,21,477,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166385,18.8191,112.3882,33000,21,477,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166445,18.9235,112.4328,33000,22,477,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166505,19.0278,112.4774,33000,22,477,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166565,19.1432,112.5267,33000,22,477,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166621,19.3552,112.5292,33025,23,475,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166681,19.5005,112.5507,33000,12,468,88811B,SGN,HKG,VJC876,128,A320,VJ876
1525166757,19.6283,112.6111,33000,24,468,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166817,19.7601,112.6322,33000,24,456,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166872,19.8904,112.6445,33000,12,461,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166937,20.0057,112.6959,33000,26,461,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525166997,20.1034,112.7467,33000,26,461,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525167045,20.2559,112.7294,31175,9,466,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167121,20.3788,112.7992,31175,28,466,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525167186,20.5557,112.7848,28900,9,457,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167230,20.6467,112.8015,28200,9,450,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167291,20.7751,112.8253,27175,9,449,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167368,20.9267,112.8534,26000,9,442,88811B,SGN,HKG,VJC876,-896,A320,VJ876
1525167427,21.0458,112.8755,25025,9,434,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167487,21.1663,112.8979,24050,9,428,88811B,SGN,HKG,VJC876,-1024,A320,VJ876
1525167547,21.283,112.9246,23025,22,428,88811B,SGN,HKG,VJC876,-1024,A320,VJ876
1525167610,21.3512,113.0246,22075,70,419,88811B,SGN,HKG,VJC876,-896,A320,VJ876
1525167678,21.3949,113.1571,20925,70,389,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167736,21.3896,113.2555,19975,115,347,88811B,SGN,HKG,VJC876,-832,A320,VJ876
1525167792,21.357,113.3443,18975,92,330,88811B,SGN,HKG,VJC876,-1024,A320,VJ876
1525167854,21.4085,113.4274,18025,46,326,88811B,SGN,HKG,VJC876,-960,A320,VJ876
1525167921,21.477,113.506,16825,47,324,88811B,SGN,HKG,VJC876,-1344,A320,VJ876
1525167982,21.5365,113.5745,15525,47,315,88811B,SGN,HKG,VJC876,-1344,A320,VJ876
1525168043,21.5964,113.6436,14200,47,310,88811B,SGN,HKG,VJC876,-1280,A320,VJ876
1525168099,21.6519,113.7071,12975,45,304,88811B,SGN,HKG,VJC876,-1280,A320,VJ876
1525168160,21.7162,113.7701,11775,42,293,88811B,SGN,HKG,VJC876,-1152,A320,VJ876
1525168224,21.7803,113.8325,10425,39,293,88811B,SGN,HKG,VJC876,-1600,A320,VJ876
1525168284,21.8502,113.8765,8875,28,293,88811B,SGN,HKG,VJC876,-1600,A320,VJ876
1525168345,21.9207,113.9177,7750,28,279,88811B,SGN,HKG,VJC876,-1280,A320,VJ876
1525168409,21.9961,113.9274,6375,342,264,88811B,SGN,HKG,VJC876,-1472,A320,VJ876
1525168469,22.0534,113.8777,5025,319,253,88811B,SGN,HKG,VJC876,-1280,A320,VJ876
1525168528,22.1049,113.8307,3775,319,248,88811B,SGN,HKG,VJC876,-1344,A320,VJ876
1525168568,22.1392,113.7994,3075,319,241,88811B,SGN,HKG,VJC876,-192,A320,VJ876
1525168656,22.2075,113.748,2450,339,195,88811B,SGN,HKG,VJC876,-1152,A320,VJ876
1525168717,22.2575,113.7689,2100,38,205,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525168777,22.2854,113.8193,1525,70,189,88811B,SGN,HKG,VJC876,-832,A320,VJ876
1525168833,22.2994,113.8622,775,70,148,88811B,SGN,HKG,VJC876,-704,A320,VJ876
1525168899,22.3136,113.9065,75,70,133,88811B,SGN,HKG,VJC876,-320,A320,VJ876
1525168961,22.3161,113.9195,0,101,23,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525169021,22.3171,113.9227,0,70,17,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525169080,22.3186,113.9276,0,70,33,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525169139,22.3193,113.9295,0,70,2,88811B,SGN,HKG,VJC876,0,A320,VJ876
1525169205,22.3185,113.9313,0,157,20,88811B,SGN,HKG,VJC876,0,A320,VJ876
