timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525134416,24.7535,118.5847,2650,125,180,780EB7,JJN,HKG,CSZ9091,1920,A320,ZH9091
1525134464,24.7747,118.6353,3800,46,277,780EB7,JJN,HKG,CSZ9091,1792,A320,ZH9091
1525134529,24.835,118.7029,4925,58,289,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525134598,24.8983,118.7757,8050,47,277,780EB7,JJN,HKG,CSZ9091,3072,A320,ZH9091
1525134660,24.9527,118.8392,9825,46,291,780EB7,JJN,HKG,CSZ9091,192,A320,ZH9091
1525134727,25.0298,118.8644,10550,323,277,780EB7,JJN,HKG,CSZ9091,2560,A320,ZH9091
1525134763,25.0432,118.817,11825,262,285,780EB7,JJN,HKG,CSZ9091,576,A320,ZH9091
1525134842,24.9616,118.7202,13600,224,354,780EB7,JJN,HKG,CSZ9091,1600,A320,ZH9091
1525134902,24.8935,118.6459,14825,224,359,780EB7,JJN,HKG,CSZ9091,2496,A320,ZH9091
1525134963,24.8161,118.5612,16600,224,385,780EB7,JJN,HKG,CSZ9091,2176,A320,ZH9091
1525135022,24.7391,118.4772,18025,224,392,780EB7,JJN,HKG,CSZ9091,1600,A320,ZH9091
1525135087,24.6556,118.3863,19875,224,402,780EB7,JJN,HKG,CSZ9091,2432,A320,ZH9091
1525135147,24.58,118.2967,21500,229,407,780EB7,JJN,HKG,CSZ9091,1856,A320,ZH9091
1525135207,24.5031,118.199,22750,229,420,780EB7,JJN,HKG,CSZ9091,1088,A320,ZH9091
1525135246,24.4548,118.1379,23650,229,424,780EB7,JJN,HKG,CSZ9091,1472,A320,ZH9091
1525135330,24.3457,118.0003,25325,229,436,780EB7,JJN,HKG,CSZ9091,1728,A320,ZH9091
1525135391,24.2637,117.8967,25600,229,431,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525135458,24.1767,117.7871,25600,229,433,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525135512,24.1052,117.6974,25625,229,436,780EB7,JJN,HKG,CSZ9091,64,A320,ZH9091
1525135576,24.0189,117.5953,25625,224,437,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525135632,23.9364,117.5062,25600,224,435,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525135696,23.8504,117.4074,25600,235,431,780EB7,JJN,HKG,CSZ9091,128,A320,ZH9091
1525135760,23.8045,117.2744,25625,252,432,780EB7,JJN,HKG,CSZ9091,64,A320,ZH9091
1525135820,23.778,117.1484,25600,262,428,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525135879,23.7364,117.0296,25575,230,434,780EB7,JJN,HKG,CSZ9091,64,A320,ZH9091
1525135940,23.6543,116.9324,25600,226,432,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525136000,23.5706,116.837,25600,226,423,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525136061,23.4886,116.7443,25600,225,420,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525136123,23.3966,116.6627,25600,217,422,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136181,23.3064,116.5876,25600,217,422,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136241,23.2114,116.5086,25600,217,423,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136289,23.1365,116.4466,25600,217,424,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136349,23.0428,116.3689,25600,217,424,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136426,22.9203,116.2707,25600,210,427,780EB7,JJN,HKG,CSZ9091,-64,A320,ZH9091
1525136489,22.8083,116.2136,25600,204,429,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136547,22.7063,116.1577,25600,212,430,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136618,22.5943,116.0677,25600,217,429,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136673,22.5144,115.9825,25600,242,422,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136736,22.47,115.8603,25600,248,425,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525136797,22.4371,115.7377,25025,258,423,780EB7,JJN,HKG,CSZ9091,-896,A320,ZH9091
1525136858,22.4139,115.6085,24000,259,422,780EB7,JJN,HKG,CSZ9091,-1024,A320,ZH9091
1525136920,22.3917,115.4836,23000,259,410,780EB7,JJN,HKG,CSZ9091,-1024,A320,ZH9091
1525136980,22.37,115.3628,22025,259,404,780EB7,JJN,HKG,CSZ9091,-1024,A320,ZH9091
1525137040,22.3491,115.2457,21000,259,395,780EB7,JJN,HKG,CSZ9091,-1408,A320,ZH9091
1525137097,22.329,115.1354,19025,259,388,780EB7,JJN,HKG,CSZ9091,-2240,A320,ZH9091
1525137160,22.3082,115.0197,16900,259,377,780EB7,JJN,HKG,CSZ9091,-2176,A320,ZH9091
1525137223,22.2869,114.9035,14800,258,373,780EB7,JJN,HKG,CSZ9091,-1984,A320,ZH9091
1525137284,22.2672,114.7947,13050,259,362,780EB7,JJN,HKG,CSZ9091,-1088,A320,ZH9091
1525137343,22.2615,114.6839,12050,267,362,780EB7,JJN,HKG,CSZ9091,-1088,A320,ZH9091
1525137408,22.2576,114.5715,11025,267,356,780EB7,JJN,HKG,CSZ9091,-576,A320,ZH9091
1525137467,22.2539,114.4657,11000,267,357,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525137532,22.2497,114.3499,11025,267,330,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525137593,22.2342,114.2589,11000,248,290,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525137655,22.2049,114.18,11000,248,273,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525137710,22.1658,114.1193,10250,226,268,780EB7,JJN,HKG,CSZ9091,-1088,A320,ZH9091
1525137772,22.1212,114.0534,8950,256,258,780EB7,JJN,HKG,CSZ9091,-1280,A320,ZH9091
1525137836,22.1071,113.9747,7950,259,240,780EB7,JJN,HKG,CSZ9091,-640,A320,ZH9091
1525137897,22.0946,113.9055,6850,258,229,780EB7,JJN,HKG,CSZ9091,-1216,A320,ZH9091
1525137956,22.0932,113.8397,5600,297,233,780EB7,JJN,HKG,CSZ9091,-1088,A320,ZH9091
1525138014,22.1224,113.7858,4950,300,210,780EB7,JJN,HKG,CSZ9091,-576,A320,ZH9091
1525138075,22.1597,113.7411,3975,345,206,780EB7,JJN,HKG,CSZ9091,-1152,A320,ZH9091
1525138143,22.2225,113.7295,2875,351,209,780EB7,JJN,HKG,CSZ9091,-960,A320,ZH9091
1525138201,22.2669,113.7636,2275,67,201,780EB7,JJN,HKG,CSZ9091,-512,A320,ZH9091
1525138262,22.2847,113.8168,1475,70,168,780EB7,JJN,HKG,CSZ9091,-704,A320,ZH9091
1525138322,22.2984,113.859,725,70,138,780EB7,JJN,HKG,CSZ9091,-768,A320,ZH9091
1525138380,22.3102,113.8956,75,70,140,780EB7,JJN,HKG,CSZ9091,-768,A320,ZH9091
1525138445,22.3163,113.9183,0,101,17,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525138505,22.3168,113.9219,0,70,31,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525138562,22.3182,113.9261,0,70,18,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525138617,22.3196,113.9306,0,90,23,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525138648,22.3181,113.9314,0,160,20,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
1525138696,22.3178,113.9306,0,261,2,780EB7,JJN,HKG,CSZ9091,0,A320,ZH9091
