timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525131297,18.0638,118.7061,38000,315,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131346,18.1358,118.6304,38000,315,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131414,18.2356,118.5252,38000,315,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131476,18.3267,118.4293,38000,315,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131541,18.421,118.3275,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131602,18.509,118.2313,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131666,18.6014,118.1305,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131726,18.6879,118.0358,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131784,18.7716,117.9443,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131856,18.8755,117.8306,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131916,18.9621,117.7359,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525131972,19.0429,117.6473,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132016,19.1064,117.5778,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132091,19.2146,117.4591,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132149,19.2983,117.3673,38000,314,449,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132213,19.4784,117.2759,38025,313,443,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132273,19.5497,117.1947,38025,313,443,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132345,19.6352,117.0974,38025,313,443,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132405,19.7065,117.0162,38025,313,443,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132462,19.8266,116.8732,37975,312,429,7583A2,CEB,HKG,CEB240,-64,A320,5J240
1525132522,19.9072,116.7799,37975,312,428,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132576,19.9738,116.6918,38000,302,428,7583A2,CEB,HKG,CEB240,-64,A320,5J240
1525132645,20.0225,116.5593,38000,282,430,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132701,20.0462,116.4422,38000,282,432,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132765,20.1147,116.3532,38000,315,432,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132825,20.1868,116.2765,38000,315,432,7583A2,CEB,HKG,CEB240,0,A320,5J240
1525132887,20.1239,116.0523,37950,281,434,7583A2,CEB,HKG,CEB240,-320,A320,5J240
1525132947,20.1488,115.9264,37075,281,434,7583A2,CEB,HKG,CEB240,-1024,A320,5J240
1525133010,20.1743,115.7963,36050,281,442,7583A2,CEB,HKG,CEB240,-1024,A320,5J240
1525133077,20.2026,115.6516,35000,281,446,7583A2,CEB,HKG,CEB240,-1024,A320,5J240
1525133137,20.2281,115.5214,33975,281,452,7583A2,CEB,HKG,CEB240,-1024,A320,5J240
1525133183,20.2557,115.4229,33200,291,457,7583A2,CEB,HKG,CEB240,-1088,A320,5J240
1525133252,20.3589,115.3153,32125,332,466,7583A2,CEB,HKG,CEB240,-1216,A320,5J240
1525133314,20.4852,115.2644,31125,339,458,7583A2,CEB,HKG,CEB240,-1024,A320,5J240
1525133382,20.6164,115.2128,30050,339,446,7583A2,CEB,HKG,CEB240,-960,A320,5J240
1525133442,20.7323,115.1673,28875,339,439,7583A2,CEB,HKG,CEB240,-1088,A320,5J240
1525133502,20.8477,115.122,27850,339,437,7583A2,CEB,HKG,CEB240,-1088,A320,5J240
1525133559,20.955,115.0797,26950,339,425,7583A2,CEB,HKG,CEB240,-960,A320,5J240
1525133623,21.0577,115.0125,25100,315,412,7583A2,CEB,HKG,CEB240,-2048,A320,5J240
