timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525143363,53.9818,120.6531,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143423,53.8439,120.6033,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143483,53.7059,120.5537,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143543,53.568,120.5043,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143603,53.43,120.455,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143663,53.2921,120.4059,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143723,53.1542,120.3569,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143783,53.0162,120.3081,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143843,52.8783,120.2595,35975,192,508,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143906,52.9463,118.9307,35975,212,502,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525143970,52.8211,118.8019,35975,211,500,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144030,52.6997,118.6777,36000,211,499,A9D9F7,DFW,HKG,AAL125,64,B77W,AA125
1525144086,52.5929,118.5692,36000,211,500,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144148,52.4693,118.4444,36000,211,500,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144212,52.3452,118.3201,35975,211,501,A9D9F7,DFW,HKG,AAL125,-64,B77W,AA125
1525144273,52.2237,118.1989,36000,211,501,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144339,52.094,118.0698,35975,211,501,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144396,51.9809,117.9581,35975,211,502,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144461,51.8527,117.8325,36000,211,498,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144519,51.7389,117.7215,36000,211,498,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144584,51.6096,117.5962,36000,211,497,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144644,51.4894,117.4808,35975,210,498,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144703,51.3721,117.3685,36000,210,497,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144766,51.2514,117.2539,35975,210,496,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144830,51.1245,117.1343,35975,210,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144888,51.009,117.0261,36000,210,493,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525144950,50.8866,116.9118,36000,210,495,A9D9F7,DFW,HKG,AAL125,64,B77W,AA125
1525145011,50.7691,116.8028,36000,210,495,A9D9F7,DFW,HKG,AAL125,64,B77W,AA125
1525145075,50.6436,116.6874,35975,210,493,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145136,50.5222,116.5764,35975,210,491,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145199,50.4008,116.4632,35975,214,488,A9D9F7,DFW,HKG,AAL125,64,B77W,AA125
1525145259,50.293,116.3525,35975,203,486,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145300,50.2319,116.2282,36000,223,486,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145381,50.0986,116.0349,36000,222,487,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145442,49.9966,115.8882,36000,222,488,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145500,49.8947,115.756,36000,211,493,A9D9F7,DFW,HKG,AAL125,-64,B77W,AA125
1525145563,49.7621,115.6751,36000,199,497,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145620,49.6398,115.6099,36000,199,495,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145683,49.506,115.5387,35975,199,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145743,49.3834,115.5053,36000,184,493,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145803,49.2674,115.4929,36000,184,493,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145863,49.1514,115.4805,36000,184,493,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145923,49.0354,115.4681,36000,184,493,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525145983,48.8713,115.2382,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146043,48.7549,115.229,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146103,48.6385,115.2197,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146163,48.5222,115.2105,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146223,48.4058,115.2013,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146283,48.2729,115.1908,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146355,48.1086,115.1779,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146415,47.9717,115.1672,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146475,47.8347,115.1565,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146535,47.6978,115.1458,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146595,47.5608,115.1352,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146655,47.4239,115.1245,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146715,47.2869,115.114,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146775,47.15,115.1034,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146835,47.013,115.0929,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146895,46.8761,115.0823,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525146967,46.7117,115.0698,35975,183,494,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525147028,46.6227,114.0911,35100,197,481,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525147086,46.4982,114.0325,35075,197,479,A9D9F7,DFW,HKG,AAL125,0,B77W,AA125
1525147148,46.3708,113.9726,35100,198,478,A9D9F7,DFW,HKG,AAL125,64,B77W,AA125
