timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525137405,53.8705,120.6716,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137465,53.7328,120.622,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137525,53.5951,120.5727,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137585,53.4575,120.5235,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137645,53.3198,120.4744,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137705,53.1821,120.4255,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137765,53.0444,120.3768,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137825,52.9068,120.3282,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137897,52.7416,120.2701,36000,192,507,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525137957,52.8557,118.8375,36000,211,503,C023AA,YYZ,HKG,ACA015,64,B77L,AC15
1525138017,52.7378,118.7167,36000,211,500,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138075,52.6242,118.6011,36000,211,500,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138140,52.4924,118.4677,36000,211,503,C023AA,YYZ,HKG,ACA015,64,B77L,AC15
1525138200,52.3762,118.3511,36000,211,501,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138261,52.2574,118.2325,36000,211,502,C023AA,YYZ,HKG,ACA015,-64,B77L,AC15
1525138321,52.138,118.1135,36000,211,500,C023AA,YYZ,HKG,ACA015,64,B77L,AC15
1525138380,52.0194,117.9961,36000,211,499,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138441,51.8986,117.8773,36000,211,498,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138503,51.7769,117.7584,36000,211,496,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138563,51.6599,117.6448,36000,211,494,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138623,51.5421,117.5311,36000,210,494,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138688,51.4184,117.4129,36000,210,492,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138752,51.2927,117.293,36000,210,493,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138810,51.1765,117.1832,36000,210,492,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138869,51.0607,117.0744,36000,210,492,C023AA,YYZ,HKG,ACA015,0,B77L,AC15
1525138931,50.9386,116.9601,36000,210,493,C023AA,YYZ,HKG,ACA015,64,B77L,AC15
