timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525140341,18.0599,112.9283,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140402,18.1819,112.9556,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140462,18.3019,112.9825,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140522,18.4219,113.0094,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140582,18.5419,113.0363,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140642,18.662,113.0632,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140702,18.782,113.0901,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140762,18.902,113.1171,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140822,19.022,113.1441,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140882,19.142,113.1711,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525140954,19.286,113.2035,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141014,19.406,113.2305,36000,12,442,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141075,19.157,114.6972,36025,355,465,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141127,19.2722,114.6876,36025,355,463,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141199,19.4236,114.6749,35975,355,463,750413,KUL,HKG,AXM138,64,A20N,AK138
1525141259,19.5515,114.6641,36000,355,461,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141318,19.6769,114.6534,35975,355,461,750413,KUL,HKG,AXM138,-64,A20N,AK138
1525141379,19.8048,114.6425,35975,355,463,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141445,19.9508,114.63,36025,355,463,750413,KUL,HKG,AXM138,64,A20N,AK138
1525141505,20.0798,114.6191,36050,355,461,750413,KUL,HKG,AXM138,-64,A20N,AK138
1525141565,20.2071,114.6082,35975,355,459,750413,KUL,HKG,AXM138,-64,A20N,AK138
1525141625,20.3352,114.5972,34725,355,469,750413,KUL,HKG,AXM138,-2880,A20N,AK138
1525141691,20.4644,114.5739,33175,342,462,750413,KUL,HKG,AXM138,0,A20N,AK138
1525141749,20.5972,114.5746,29950,355,444,750413,KUL,HKG,AXM138,-2112,A20N,AK138
1525141947,20.9875,114.5542,22750,358,407,750413,KUL,HKG,AXM138,-2112,A20N,AK138
1525142008,21.099,114.5552,20900,358,391,750413,KUL,HKG,AXM138,-1856,A20N,AK138
1525142056,21.1837,114.556,19400,358,378,750413,KUL,HKG,AXM138,-1984,A20N,AK138
1525142124,21.301,114.557,17250,358,362,750413,KUL,HKG,AXM138,-1728,A20N,AK138
1525142184,21.4011,114.5579,15300,358,350,750413,KUL,HKG,AXM138,-1728,A20N,AK138
1525142253,21.5099,114.5502,13100,342,338,750413,KUL,HKG,AXM138,-960,A20N,AK138
1525142317,21.5965,114.5206,13000,342,289,750413,KUL,HKG,AXM138,-64,A20N,AK138
1525142377,21.6629,114.4738,12375,322,281,750413,KUL,HKG,AXM138,-704,A20N,AK138
1525142443,21.731,114.4176,11475,322,279,750413,KUL,HKG,AXM138,-832,A20N,AK138
1525142504,21.7926,114.3665,10675,322,277,750413,KUL,HKG,AXM138,-768,A20N,AK138
1525142555,21.8441,114.3237,10025,322,275,750413,KUL,HKG,AXM138,-768,A20N,AK138
1525142621,21.9104,114.2686,9175,322,270,750413,KUL,HKG,AXM138,-768,A20N,AK138
1525142689,21.9751,114.2146,8300,322,267,750413,KUL,HKG,AXM138,-768,A20N,AK138
1525142732,22.0178,114.1792,7775,322,263,750413,KUL,HKG,AXM138,-704,A20N,AK138
1525142810,22.0946,114.1151,6775,322,260,750413,KUL,HKG,AXM138,-832,A20N,AK138
1525142868,22.1466,114.0682,6050,306,252,750413,KUL,HKG,AXM138,-704,A20N,AK138
1525142931,22.135,113.9951,5800,248,243,750413,KUL,HKG,AXM138,-1152,A20N,AK138
1525142992,22.1096,113.9273,4475,247,242,750413,KUL,HKG,AXM138,-1088,A20N,AK138
1525143036,22.0944,113.8785,3925,267,223,750413,KUL,HKG,AXM138,-1152,A20N,AK138
1525143117,22.1278,113.8009,2975,311,197,750413,KUL,HKG,AXM138,0,A20N,AK138
1525143176,22.1692,113.7684,2325,339,193,750413,KUL,HKG,AXM138,-1216,A20N,AK138
1525143234,22.2201,113.7558,1825,359,193,750413,KUL,HKG,AXM138,-896,A20N,AK138
1525143294,22.2678,113.7729,1475,47,192,750413,KUL,HKG,AXM138,64,A20N,AK138
1525143361,22.2885,113.8283,1300,70,171,750413,KUL,HKG,AXM138,-832,A20N,AK138
1525143422,22.3025,113.8717,525,71,145,750413,KUL,HKG,AXM138,-704,A20N,AK138
1525143480,22.3152,113.9111,0,70,112,750413,KUL,HKG,AXM138,-64,A20N,AK138
1525143543,22.3152,113.9186,0,160,24,750413,KUL,HKG,AXM138,0,A20N,AK138
1525143605,22.3119,113.9199,0,163,16,750413,KUL,HKG,AXM138,0,A20N,AK138
1525143667,22.3101,113.9186,0,70,0,750413,KUL,HKG,AXM138,0,A20N,AK138
1525143676,22.3101,113.9185,0,237,0,750413,KUL,HKG,AXM138,0,A20N,AK138
