timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525142377,21.2,105.867,2250,105,229,88803C,HAN,HKG,PIC678,2944,A320,BL678
1525142441,21.1811,105.942,5450,104,260,88803C,HAN,HKG,PIC678,2048,A320,BL678
1525142502,21.2144,106.0176,8225,48,299,88803C,HAN,HKG,PIC678,3136,A320,BL678
1525142557,21.2644,106.0787,10600,48,321,88803C,HAN,HKG,PIC678,1088,A320,BL678
1525142623,21.3449,106.1509,12350,30,370,88803C,HAN,HKG,PIC678,2240,A320,BL678
1525142684,21.4422,106.2114,14825,30,387,88803C,HAN,HKG,PIC678,1728,A320,BL678
1525142732,21.5165,106.2582,16450,30,399,88803C,HAN,HKG,PIC678,2432,A320,BL678
1525142795,21.619,106.3227,18500,30,416,88803C,HAN,HKG,PIC678,1216,A320,BL678
1525142851,21.7126,106.3817,20450,30,419,88803C,HAN,HKG,PIC678,1408,A320,BL678
1525142927,21.7559,106.5032,20450,84,419,88803C,HAN,HKG,PIC678,0,A320,BL678
1525142990,21.9531,106.5339,23000,30,438,88803C,HAN,HKG,PIC678,-64,A320,BL678
1525143044,22.049,106.5947,23000,30,440,88803C,HAN,HKG,PIC678,64,A320,BL678
1525143116,22.1741,106.6794,23000,37,442,88803C,HAN,HKG,PIC678,0,A320,BL678
1525143178,22.2636,106.772,23000,49,444,88803C,HAN,HKG,PIC678,0,A320,BL678
1525143233,22.3292,106.8743,23200,60,444,88803C,HAN,HKG,PIC678,1408,A320,BL678
1525143294,22.3722,107.0035,24550,86,454,88803C,HAN,HKG,PIC678,1344,A320,BL678
1525143361,22.3635,107.1556,25700,87,472,88803C,HAN,HKG,PIC678,1024,A320,BL678
1525143421,22.3832,107.2988,26700,78,486,88803C,HAN,HKG,PIC678,960,A320,BL678
1525143482,22.4093,107.4426,27675,78,483,88803C,HAN,HKG,PIC678,1088,A320,BL678
1525143543,22.4347,107.5843,28675,79,481,88803C,HAN,HKG,PIC678,1024,A320,BL678
1525143605,22.4611,107.733,29725,79,475,88803C,HAN,HKG,PIC678,1024,A320,BL678
1525143664,22.4848,107.8672,30700,79,476,88803C,HAN,HKG,PIC678,1088,A320,BL678
1525143727,22.5107,108.0151,31100,79,476,88803C,HAN,HKG,PIC678,0,A320,BL678
1525143787,22.5352,108.1573,31100,80,477,88803C,HAN,HKG,PIC678,0,A320,BL678
1525143847,22.5519,108.2997,31125,82,481,88803C,HAN,HKG,PIC678,64,A320,BL678
1525143904,22.5677,108.4371,31150,82,480,88803C,HAN,HKG,PIC678,-64,A320,BL678
1525143968,22.5851,108.5881,31125,83,479,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144031,22.6019,108.7387,31100,83,478,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144089,22.6173,108.8746,31100,83,474,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144149,22.6329,109.0157,31075,83,474,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144218,22.6511,109.1805,31075,82,475,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144273,22.666,109.309,31075,82,476,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144337,22.6833,109.4585,31125,82,474,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144399,22.7002,109.6059,31100,82,472,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144459,22.716,109.7461,31075,83,473,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144515,22.7308,109.8784,31100,83,474,88803C,HAN,HKG,PIC678,64,A320,BL678
1525144579,22.7203,110.0072,31100,95,474,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144642,22.7638,110.1769,31100,83,475,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144704,22.7799,110.3246,31100,83,476,88803C,HAN,HKG,PIC678,0,A320,BL678
1525144766,22.7955,110.4685,31125,83,475,88803C,HAN,HKG,PIC678,64,A320,BL678
1525144827,22.8112,110.6139,31100,82,471,88803C,HAN,HKG,PIC678,-64,A320,BL678
1525144889,22.828,110.7557,30925,82,469,88803C,HAN,HKG,PIC678,-960,A320,BL678
1525144950,22.8445,110.8959,30000,82,472,88803C,HAN,HKG,PIC678,-960,A320,BL678
1525145009,22.8607,111.0377,28975,82,474,88803C,HAN,HKG,PIC678,-1024,A320,BL678
1525145079,22.8623,111.1929,28300,101,468,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145139,22.8951,111.3396,26925,83,454,88803C,HAN,HKG,PIC678,-896,A320,BL678
1525145199,22.9101,111.4748,26600,83,452,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145259,22.9251,111.6097,26600,83,451,88803C,HAN,HKG,PIC678,-64,A320,BL678
1525145319,22.9401,111.7451,26600,83,452,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145382,22.9556,111.8872,26600,83,452,88803C,HAN,HKG,PIC678,-64,A320,BL678
1525145442,22.97,112.0199,26600,83,452,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145500,22.9703,112.1511,26600,106,450,88803C,HAN,HKG,PIC678,192,A320,BL678
1525145563,22.9361,112.2884,26600,102,449,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145624,22.9062,112.4198,26600,108,448,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145684,22.8552,112.5442,26575,126,445,88803C,HAN,HKG,PIC678,64,A320,BL678
1525145743,22.8118,112.6466,26600,112,445,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145805,22.7093,112.7575,26600,126,447,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145867,22.6567,112.8711,26600,109,448,88803C,HAN,HKG,PIC678,0,A320,BL678
1525145926,22.5601,112.9754,26100,126,444,88803C,HAN,HKG,PIC678,-960,A320,BL678
1525145983,22.4896,113.0784,25150,126,438,88803C,HAN,HKG,PIC678,-1024,A320,BL678
1525146050,22.3993,113.1809,24100,140,424,88803C,HAN,HKG,PIC678,-960,A320,BL678
1525146109,22.3092,113.2623,23150,139,423,88803C,HAN,HKG,PIC678,-960,A320,BL678
1525146168,22.2188,113.3436,22150,140,420,88803C,HAN,HKG,PIC678,-1024,A320,BL678
