timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525134781,39.128,117.3532,0,215,0,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525134826,39.1281,117.3534,0,221,0,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525134826,39.1281,117.3534,0,221,0,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135146,39.1239,117.3539,0,182,15,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135198,39.122,117.3513,0,244,31,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135264,39.1228,117.3497,0,275,14,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135311,39.1254,117.3481,0,334,17,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135387,39.1313,117.3445,0,334,18,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135456,39.1368,117.3411,0,334,19,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135456,39.1368,117.3411,0,334,19,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135548,39.141,117.3377,0,254,0,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135631,39.141,117.3377,0,139,0,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135683,39.1404,117.3365,0,208,25,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525135756,39.1088,117.3553,1100,155,174,780B5B,TSN,HKG,CCA103,2880,B738,CA103
1525135819,39.0685,117.322,3450,243,205,780B5B,TSN,HKG,CCA103,1536,B738,CA103
1525135881,39.0642,117.2346,5650,284,266,780B5B,TSN,HKG,CCA103,3136,B738,CA103
1525135941,39.0825,117.1414,8775,284,282,780B5B,TSN,HKG,CCA103,4608,B738,CA103
1525135999,39.1024,117.0421,11475,285,303,780B5B,TSN,HKG,CCA103,896,B738,CA103
1525136066,39.1257,116.9239,11800,284,311,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136123,39.146,116.8212,11800,284,311,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136183,39.1675,116.7121,11800,284,314,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136242,39.189,116.601,11825,282,332,780B5B,TSN,HKG,CCA103,256,B738,CA103
1525136309,39.158,116.4803,11800,242,339,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136364,39.1174,116.38,11800,242,339,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136426,39.0721,116.2688,11800,242,338,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136487,39.01,116.1763,11800,209,347,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136549,38.9302,116.1239,11800,207,348,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136595,38.8551,116.0744,11800,207,349,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525136671,38.7437,116.0014,14725,207,358,780B5B,TSN,HKG,CCA103,3456,B738,CA103
1525136734,38.6521,115.9415,18350,207,351,780B5B,TSN,HKG,CCA103,3328,B738,CA103
1525136797,38.5667,115.886,21750,207,336,780B5B,TSN,HKG,CCA103,3136,B738,CA103
1525136853,38.4851,115.8327,23650,207,352,780B5B,TSN,HKG,CCA103,384,B738,CA103
1525136919,38.3856,115.7684,25375,207,376,780B5B,TSN,HKG,CCA103,1408,B738,CA103
1525136982,38.2868,115.705,25600,206,385,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137037,38.2007,115.6711,25600,186,385,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137098,38.0989,115.584,25600,206,388,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137139,38.0343,115.5426,25600,206,389,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137225,37.8952,115.4538,25600,206,391,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137281,37.8071,115.3978,26000,206,393,780B5B,TSN,HKG,CCA103,1984,B738,CA103
1525137343,37.7036,115.332,27600,206,402,780B5B,TSN,HKG,CCA103,-64,B738,CA103
1525137401,37.6105,115.2953,27600,186,404,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137466,37.5009,115.2042,27600,206,406,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137524,37.3997,115.1405,27600,206,405,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137593,37.283,115.0674,27600,206,404,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137651,37.1873,115.0079,27600,206,405,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137710,37.0861,114.9447,27600,206,403,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137772,36.9841,114.8814,27600,206,406,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137817,36.9004,114.8545,27600,180,425,780B5B,TSN,HKG,CCA103,-128,B738,CA103
1525137895,36.7443,114.8721,27600,174,432,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525137957,36.6233,114.8863,27600,174,433,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525138017,36.5024,114.9003,27600,174,432,780B5B,TSN,HKG,CCA103,0,B738,CA103
1525138065,36.4067,114.911,27600,177,430,780B5B,TSN,HKG,CCA103,192,B738,CA103
1525138140,36.2699,114.8583,27600,200,410,780B5B,TSN,HKG,CCA103,0,B738,CA103
