timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525165522,25.0834,121.2368,0,140,2,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165585,25.084,121.2362,0,132,11,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165646,25.0844,121.2356,0,251,0,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165714,25.0844,121.2356,0,180,0,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165777,25.0857,121.2372,0,47,31,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165833,25.0876,121.238,0,348,22,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165893,25.0904,121.2415,0,50,20,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525165959,25.0933,121.2422,0,315,25,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525166020,25.0905,121.2383,0,227,76,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525166081,25.0647,121.2058,1775,229,141,8991B7,TPE,HKG,CAL919,1408,A333,CI919
1525166139,25.0336,121.1642,3000,235,209,8991B7,TPE,HKG,CAL919,2176,A333,CI919
1525166198,25.0283,121.0898,4675,268,266,8991B7,TPE,HKG,CAL919,2240,A333,CI919
1525166255,25.0269,121.0106,7175,267,272,8991B7,TPE,HKG,CAL919,2368,A333,CI919
1525166321,25.0175,120.9189,9725,247,282,8991B7,TPE,HKG,CAL919,3072,A333,CI919
1525166381,24.9658,120.8461,10950,233,322,8991B7,TPE,HKG,CAL919,768,A333,CI919
1525166438,24.911,120.7673,12775,232,342,8991B7,TPE,HKG,CAL919,2240,A333,CI919
1525166504,24.846,120.6743,14900,232,353,8991B7,TPE,HKG,CAL919,1856,A333,CI919
1525166567,24.7827,120.5841,16650,232,366,8991B7,TPE,HKG,CAL919,1792,A333,CI919
1525166627,24.7156,120.497,18250,218,381,8991B7,TPE,HKG,CAL919,1728,A333,CI919
1525166690,24.6239,120.428,20325,214,378,8991B7,TPE,HKG,CAL919,1984,A333,CI919
1525166756,24.525,120.3531,21525,214,399,8991B7,TPE,HKG,CAL919,1600,A333,CI919
1525166816,24.4322,120.2828,23450,214,406,8991B7,TPE,HKG,CAL919,2048,A333,CI919
1525166877,24.3397,120.2106,25125,215,417,8991B7,TPE,HKG,CAL919,1600,A333,CI919
1525166938,24.2401,120.1332,26675,215,430,8991B7,TPE,HKG,CAL919,1856,A333,CI919
1525166992,24.1516,120.0648,28100,215,436,8991B7,TPE,HKG,CAL919,1856,A333,CI919
1525167058,24.0418,119.9799,29525,215,448,8991B7,TPE,HKG,CAL919,1152,A333,CI919
1525167120,23.9349,119.8976,30875,215,454,8991B7,TPE,HKG,CAL919,1536,A333,CI919
1525167179,23.832,119.8184,32275,215,454,8991B7,TPE,HKG,CAL919,1664,A333,CI919
1525167242,23.7267,119.7376,33725,215,451,8991B7,TPE,HKG,CAL919,1408,A333,CI919
1525167303,23.6254,119.6533,34850,222,448,8991B7,TPE,HKG,CAL919,1088,A333,CI919
1525167366,23.5405,119.543,35975,236,442,8991B7,TPE,HKG,CAL919,384,A333,CI919
1525167424,23.4826,119.4424,36000,237,442,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525167487,23.4163,119.3282,36000,237,442,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525167545,23.3518,119.2174,36000,237,442,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525167603,23.2865,119.1056,36000,237,440,8991B7,TPE,HKG,CAL919,0,A333,CI919
1525167676,23.2061,118.968,36000,237,439,8991B7,TPE,HKG,CAL919,64,A333,CI919
1525167735,23.1439,118.8621,36000,237,436,8991B7,TPE,HKG,CAL919,0,A333,CI919
