timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525177880,37.5434,126.3843,3800,327,206,040047,ICN,HKG,ETH609,1728,B788,ET609
1525177941,37.5795,126.3255,5875,271,266,040047,ICN,HKG,ETH609,3392,B788,ET609
1525178004,37.5685,126.2208,10050,237,271,040047,ICN,HKG,ETH609,3392,B788,ET609
1525178068,37.4967,126.1731,12125,198,328,040047,ICN,HKG,ETH609,2880,B788,ET609
1525178125,37.4006,126.1609,15000,156,368,040047,ICN,HKG,ETH609,3392,B788,ET609
1525178198,37.3153,126.2693,18200,130,397,040047,ICN,HKG,ETH609,3008,B788,ET609
1525178250,37.2514,126.361,20225,131,413,040047,ICN,HKG,ETH609,2368,B788,ET609
1525178314,37.156,126.4606,22175,156,407,040047,ICN,HKG,ETH609,2112,B788,ET609
1525178379,37.0378,126.5149,24375,162,424,040047,ICN,HKG,ETH609,1984,B788,ET609
1525178439,36.9231,126.5272,26375,187,406,040047,ICN,HKG,ETH609,2048,B788,ET609
1525178495,36.8173,126.5102,28075,187,419,040047,ICN,HKG,ETH609,1600,B788,ET609
1525178556,36.6978,126.4911,29850,187,436,040047,ICN,HKG,ETH609,1472,B788,ET609
1525178621,36.5673,126.47,31675,187,451,040047,ICN,HKG,ETH609,2240,B788,ET609
1525178681,36.4439,126.4505,33650,187,456,040047,ICN,HKG,ETH609,1792,B788,ET609
1525178745,36.3084,126.4291,36025,187,450,040047,ICN,HKG,ETH609,1920,B788,ET609
1525178810,36.1722,126.4077,37900,187,447,040047,ICN,HKG,ETH609,896,B788,ET609
1525178865,36.0604,126.3898,37975,187,448,040047,ICN,HKG,ETH609,0,B788,ET609
1525178927,35.93,126.3695,37975,187,446,040047,ICN,HKG,ETH609,64,B788,ET609
1525178987,35.808,126.3504,38000,187,444,040047,ICN,HKG,ETH609,0,B788,ET609
1525179048,35.6839,126.331,37975,187,444,040047,ICN,HKG,ETH609,0,B788,ET609
1525179107,35.5626,126.3122,38000,187,446,040047,ICN,HKG,ETH609,0,B788,ET609
1525179170,35.4351,126.2924,38000,187,440,040047,ICN,HKG,ETH609,-64,B788,ET609
1525179235,35.303,126.2719,38000,187,439,040047,ICN,HKG,ETH609,64,B788,ET609
1525179290,35.1881,126.2543,38000,187,438,040047,ICN,HKG,ETH609,0,B788,ET609
1525179346,35.0744,126.2368,38000,187,441,040047,ICN,HKG,ETH609,0,B788,ET609
1525179416,34.9303,126.2148,38000,187,440,040047,ICN,HKG,ETH609,0,B788,ET609
1525179475,34.8062,126.1958,38000,187,441,040047,ICN,HKG,ETH609,64,B788,ET609
1525179525,34.7034,126.1802,38000,187,441,040047,ICN,HKG,ETH609,0,B788,ET609
1525179592,34.5665,126.1594,38000,187,451,040047,ICN,HKG,ETH609,-64,B788,ET609
1525179646,34.4516,126.1421,38000,187,451,040047,ICN,HKG,ETH609,0,B788,ET609
1525179720,34.3,126.1192,37975,187,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525179784,34.1662,126.099,38000,187,451,040047,ICN,HKG,ETH609,0,B788,ET609
1525179840,34.05,126.0816,38000,187,452,040047,ICN,HKG,ETH609,64,B788,ET609
1525179904,33.9137,126.0613,38000,187,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525179966,33.7885,126.0427,37975,187,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525180025,33.6636,126.0241,38000,187,457,040047,ICN,HKG,ETH609,0,B788,ET609
1525180089,33.5297,126.0043,37975,187,457,040047,ICN,HKG,ETH609,0,B788,ET609
1525180149,33.4034,125.9857,38000,187,459,040047,ICN,HKG,ETH609,64,B788,ET609
1525180210,33.2748,125.9668,37975,187,458,040047,ICN,HKG,ETH609,64,B788,ET609
1525180270,33.1472,125.9481,38000,187,459,040047,ICN,HKG,ETH609,-64,B788,ET609
1525180336,33.0073,125.9277,37975,186,456,040047,ICN,HKG,ETH609,64,B788,ET609
1525180392,32.8912,125.9071,38000,191,455,040047,ICN,HKG,ETH609,64,B788,ET609
1525180458,32.7593,125.8665,38000,195,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525180517,32.637,125.827,38000,195,451,040047,ICN,HKG,ETH609,64,B788,ET609
1525180572,32.528,125.7918,38000,195,448,040047,ICN,HKG,ETH609,0,B788,ET609
1525180636,32.4009,125.7513,38000,195,448,040047,ICN,HKG,ETH609,0,B788,ET609
1525180698,32.2891,125.6962,38000,215,448,040047,ICN,HKG,ETH609,0,B788,ET609
1525180750,32.172,125.6779,38000,195,447,040047,ICN,HKG,ETH609,-64,B788,ET609
1525180824,32.0235,125.6306,38725,195,451,040047,ICN,HKG,ETH609,640,B788,ET609
1525180883,31.9024,125.5921,39625,195,461,040047,ICN,HKG,ETH609,1216,B788,ET609
1525180953,31.7577,125.5463,39975,195,457,040047,ICN,HKG,ETH609,0,B788,ET609
1525181013,31.6346,125.5075,40000,195,457,040047,ICN,HKG,ETH609,0,B788,ET609
1525181075,31.5103,125.4684,40000,194,458,040047,ICN,HKG,ETH609,-64,B788,ET609
1525181120,31.416,125.4388,40000,195,458,040047,ICN,HKG,ETH609,0,B788,ET609
1525181202,31.2523,125.3875,39975,194,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525181261,31.1294,125.3491,39975,195,456,040047,ICN,HKG,ETH609,-64,B788,ET609
1525181320,31.01,125.3119,40000,194,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181382,30.9318,125.2206,40000,233,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181430,30.8795,125.1398,40000,233,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181502,30.8011,125.0187,40000,233,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181550,30.7489,124.938,40000,233,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181617,30.6753,124.8259,40000,232,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181689,30.581,124.6856,40000,232,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181749,30.5023,124.5688,40000,232,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525181789,29.9925,125.1889,40000,187,477,040047,ICN,HKG,ETH609,0,B788,ET609
1525181855,29.8594,125.138,40000,199,465,040047,ICN,HKG,ETH609,-64,B788,ET609
1525181923,29.7209,125.0804,40000,199,466,040047,ICN,HKG,ETH609,-64,B788,ET609
1525181993,29.6203,124.9853,40000,237,468,040047,ICN,HKG,ETH609,0,B788,ET609
1525182053,29.5602,124.8788,40000,237,468,040047,ICN,HKG,ETH609,0,B788,ET609
1525182113,29.5,124.7724,40000,237,468,040047,ICN,HKG,ETH609,0,B788,ET609
1525182154,29.3064,124.7962,39975,215,450,040047,ICN,HKG,ETH609,0,B788,ET609
1525182245,29.189,124.6545,39975,238,450,040047,ICN,HKG,ETH609,0,B788,ET609
1525182300,29.0555,124.5926,39975,215,455,040047,ICN,HKG,ETH609,-64,B788,ET609
1525182360,28.9531,124.5103,40000,215,456,040047,ICN,HKG,ETH609,0,B788,ET609
1525182404,28.8757,124.448,40000,215,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525182466,28.7698,124.3628,40000,215,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525182541,28.6969,124.2352,40000,238,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525182600,28.5382,124.1776,39975,215,454,040047,ICN,HKG,ETH609,-64,B788,ET609
1525182665,28.4539,124.0764,40000,239,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525182725,28.3989,123.9722,40000,239,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525182785,28.3438,123.8681,40000,239,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525182853,28.0719,123.8835,39975,202,464,040047,ICN,HKG,ETH609,0,B788,ET609
1525182913,27.9565,123.8286,39975,202,467,040047,ICN,HKG,ETH609,64,B788,ET609
1525182972,27.8355,123.771,40000,202,467,040047,ICN,HKG,ETH609,0,B788,ET609
1525183031,27.7177,123.7151,40000,202,464,040047,ICN,HKG,ETH609,0,B788,ET609
1525183097,27.5915,123.646,40000,212,456,040047,ICN,HKG,ETH609,-64,B788,ET609
1525183149,27.5301,123.5612,40000,242,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525183209,27.4798,123.4546,40000,242,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525183269,27.2984,123.4095,39975,215,449,040047,ICN,HKG,ETH609,0,B788,ET609
1525183333,27.2405,123.3006,39975,242,449,040047,ICN,HKG,ETH609,0,B788,ET609
1525183400,27.0766,123.2311,40000,215,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525183459,26.9755,123.1501,40000,215,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525183524,26.8631,123.0603,39975,215,451,040047,ICN,HKG,ETH609,0,B788,ET609
1525183589,26.7537,122.9731,39975,215,455,040047,ICN,HKG,ETH609,-64,B788,ET609
1525183647,26.6558,122.8952,40000,215,455,040047,ICN,HKG,ETH609,-64,B788,ET609
1525183701,26.5598,122.819,40000,215,455,040047,ICN,HKG,ETH609,0,B788,ET609
1525183764,26.4533,122.7347,40000,215,456,040047,ICN,HKG,ETH609,-64,B788,ET609
1525183833,26.3332,122.6398,40000,215,458,040047,ICN,HKG,ETH609,0,B788,ET609
1525184021,26.0069,122.3833,39975,215,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525184080,25.9027,122.3017,40000,215,459,040047,ICN,HKG,ETH609,0,B788,ET609
1525184139,25.802,122.2231,39975,215,457,040047,ICN,HKG,ETH609,0,B788,ET609
1525184204,25.6903,122.136,40000,214,458,040047,ICN,HKG,ETH609,0,B788,ET609
1525184264,25.5909,122.0462,39975,227,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525184325,25.5078,121.9406,40000,228,450,040047,ICN,HKG,ETH609,0,B788,ET609
1525184384,25.4256,121.8363,39975,229,449,040047,ICN,HKG,ETH609,-64,B788,ET609
1525184445,25.3434,121.7324,39975,229,450,040047,ICN,HKG,ETH609,0,B788,ET609
1525184509,25.2562,121.6223,39975,228,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525184581,25.156,121.4953,39975,229,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525184635,25.082,121.3991,39975,229,452,040047,ICN,HKG,ETH609,0,B788,ET609
1525184699,24.9959,121.2878,40000,229,451,040047,ICN,HKG,ETH609,0,B788,ET609
1525184759,24.9141,121.1818,40000,229,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525184823,24.8275,121.0704,40000,229,451,040047,ICN,HKG,ETH609,-64,B788,ET609
1525184884,24.7454,120.9645,40000,230,452,040047,ICN,HKG,ETH609,-64,B788,ET609
1525184942,24.6683,120.8569,40000,231,455,040047,ICN,HKG,ETH609,-64,B788,ET609
1525184986,24.6111,120.7777,39975,231,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525185065,24.5086,120.6367,40000,231,453,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185122,24.4369,120.5382,40000,231,449,040047,ICN,HKG,ETH609,0,B788,ET609
1525185179,24.3602,120.4329,40000,231,449,040047,ICN,HKG,ETH609,0,B788,ET609
1525185247,24.2733,120.3137,39975,231,449,040047,ICN,HKG,ETH609,0,B788,ET609
1525185307,24.194,120.2054,40000,231,452,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185366,24.1161,120.0992,40000,231,453,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185419,24.0471,120.0052,40000,231,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525185498,23.9438,119.8648,40000,231,456,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185556,23.8683,119.7625,40000,231,459,040047,ICN,HKG,ETH609,64,B788,ET609
1525185617,23.7866,119.6523,40000,231,459,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185675,23.7069,119.5447,40000,231,456,040047,ICN,HKG,ETH609,0,B788,ET609
1525185735,23.6268,119.4367,40000,231,458,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185802,23.5379,119.3175,40000,230,456,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185858,23.4659,119.221,39975,231,453,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185919,23.3819,119.1087,39975,230,452,040047,ICN,HKG,ETH609,-64,B788,ET609
1525185979,23.3026,119.0028,39975,230,453,040047,ICN,HKG,ETH609,0,B788,ET609
1525186046,23.2143,118.8852,40000,230,454,040047,ICN,HKG,ETH609,0,B788,ET609
1525186104,23.1383,118.7843,40000,230,456,040047,ICN,HKG,ETH609,-64,B788,ET609
1525186160,23.062,118.6831,39975,230,458,040047,ICN,HKG,ETH609,0,B788,ET609
1525186222,22.9781,118.572,40000,231,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525186285,22.9045,118.4564,39975,237,458,040047,ICN,HKG,ETH609,-64,B788,ET609
1525186347,22.8312,118.3335,40000,237,459,040047,ICN,HKG,ETH609,-64,B788,ET609
1525186408,22.7622,118.2181,39975,237,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525186472,22.6908,118.0988,39975,237,461,040047,ICN,HKG,ETH609,-64,B788,ET609
1525186531,22.6249,117.9888,40000,237,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525186588,22.5598,117.8796,39975,237,461,040047,ICN,HKG,ETH609,0,B788,ET609
1525186648,22.4929,117.7671,39975,237,460,040047,ICN,HKG,ETH609,-64,B788,ET609
1525186712,22.4138,117.6346,39975,237,460,040047,ICN,HKG,ETH609,0,B788,ET609
1525186776,22.3408,117.5,40000,251,455,040047,ICN,HKG,ETH609,0,B788,ET609
1525186829,22.3362,117.3966,40000,271,453,040047,ICN,HKG,ETH609,0,B788,ET609
