timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525168901,18.0581,107.182,37025,54,471,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525168961,18.1411,107.3496,37000,57,471,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169015,18.2037,107.4529,37000,57,472,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169077,18.2713,107.5509,37000,54,472,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169143,18.3171,107.723,37025,71,482,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169203,18.3876,107.841,37025,50,470,880C42,DMK,HKG,AIQ504,-64,A20N,FD504
1525169261,18.471,107.9367,37000,47,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169318,18.5344,108.0264,37000,54,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169390,18.6118,108.1388,37000,54,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169450,18.6763,108.2325,37000,54,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169510,18.7408,108.3262,37000,54,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169570,18.8075,108.4232,37000,54,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169630,18.8834,108.5336,37000,54,465,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169690,19.0519,108.6777,37075,55,462,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169750,19.1144,108.7722,37075,55,462,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169810,19.1769,108.8667,37075,55,462,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169870,19.2394,108.9613,37075,55,462,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169935,19.3951,109.1146,37100,50,467,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525169997,19.4785,109.2228,37125,50,467,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525170057,19.5482,109.3247,37125,56,467,880C42,DMK,HKG,AIQ504,0,A20N,FD504
1525170110,19.633,109.426,37100,51,468,880C42,DMK,HKG,AIQ504,0,A20N,FD504
