timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525160260,21.1659,110.4221,4000,111,205,78057B,ZHA,HKG,CSH849,320,B737,FM849
1525160324,21.138,110.4982,4850,110,283,78057B,ZHA,HKG,CSH849,3456,B737,FM849
1525160383,21.11,110.576,7975,111,300,78057B,ZHA,HKG,CSH849,3648,B737,FM849
1525160444,21.0781,110.6632,11075,111,322,78057B,ZHA,HKG,CSH849,2560,B737,FM849
1525160503,21.0446,110.7551,13725,111,356,78057B,ZHA,HKG,CSH849,3712,B737,FM849
1525160561,21.0145,110.8389,14100,111,357,78057B,ZHA,HKG,CSH849,3712,B737,FM849
1525160622,20.9767,110.9652,18725,105,395,78057B,ZHA,HKG,CSH849,192,B737,FM849
1525160681,20.951,111.0665,18700,105,394,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525160739,20.9213,111.1854,18700,104,390,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525160801,20.8983,111.2842,18700,104,390,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525160873,20.8594,111.4357,18700,104,392,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525160931,20.8595,111.5474,18700,69,398,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525160994,20.8993,111.6652,18775,70,400,78057B,ZHA,HKG,CSH849,768,B737,FM849
1525161056,20.9381,111.7802,20000,70,412,78057B,ZHA,HKG,CSH849,-192,B737,FM849
1525161113,20.9727,111.8831,19975,70,370,78057B,ZHA,HKG,CSH849,-64,B737,FM849
1525161173,21.0035,111.9739,19975,70,370,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525161239,21.0446,112.0983,20000,70,367,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525161301,21.0793,112.2027,20000,70,367,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525161358,21.1128,112.3026,20000,70,367,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525161421,21.1482,112.4094,20000,70,369,78057B,ZHA,HKG,CSH849,-64,B737,FM849
1525161483,21.1842,112.5182,20000,70,367,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525161543,21.2182,112.6204,20000,70,365,78057B,ZHA,HKG,CSH849,-64,B737,FM849
1525161604,21.252,112.7233,20000,70,367,78057B,ZHA,HKG,CSH849,-64,B737,FM849
1525161664,21.2863,112.8277,19600,70,375,78057B,ZHA,HKG,CSH849,-1856,B737,FM849
1525161727,21.3226,112.9378,17975,70,366,78057B,ZHA,HKG,CSH849,-192,B737,FM849
1525161785,21.3556,113.0375,18000,70,364,78057B,ZHA,HKG,CSH849,-64,B737,FM849
1525161849,21.3891,113.141,18000,70,354,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525161908,21.4182,113.2417,18000,86,352,78057B,ZHA,HKG,CSH849,-128,B737,FM849
1525161970,21.4224,113.3468,18000,87,350,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525162037,21.4273,113.4669,17200,87,346,78057B,ZHA,HKG,CSH849,-1088,B737,FM849
1525162094,21.4316,113.564,16525,87,343,78057B,ZHA,HKG,CSH849,-1600,B737,FM849
1525162153,21.436,113.6609,15300,86,335,78057B,ZHA,HKG,CSH849,-1088,B737,FM849
1525162214,21.4965,113.7281,13800,8,326,78057B,ZHA,HKG,CSH849,-1600,B737,FM849
1525162282,21.5954,113.7163,12300,351,316,78057B,ZHA,HKG,CSH849,-1088,B737,FM849
1525162339,21.6717,113.7279,11600,35,294,78057B,ZHA,HKG,CSH849,-1216,B737,FM849
1525162399,21.7324,113.7866,10300,42,288,78057B,ZHA,HKG,CSH849,-1344,B737,FM849
1525162460,21.7913,113.8442,9000,42,282,78057B,ZHA,HKG,CSH849,-1472,B737,FM849
1525162525,21.862,113.8921,7550,1,273,78057B,ZHA,HKG,CSH849,-1408,B737,FM849
1525162587,21.9297,113.8641,6375,335,258,78057B,ZHA,HKG,CSH849,-1344,B737,FM849
1525162646,21.9944,113.8323,5150,336,254,78057B,ZHA,HKG,CSH849,-1152,B737,FM849
1525162701,22.0531,113.8046,4000,335,250,78057B,ZHA,HKG,CSH849,-1280,B737,FM849
1525162760,22.1172,113.7736,3050,335,249,78057B,ZHA,HKG,CSH849,-128,B737,FM849
1525162829,22.1806,113.7422,2825,335,224,78057B,ZHA,HKG,CSH849,-384,B737,FM849
1525162886,22.2395,113.7519,2050,29,202,78057B,ZHA,HKG,CSH849,64,B737,FM849
1525162949,22.2767,113.7922,1950,70,175,78057B,ZHA,HKG,CSH849,-960,B737,FM849
1525163017,22.2936,113.844,1075,71,145,78057B,ZHA,HKG,CSH849,-896,B737,FM849
1525163071,22.3054,113.8808,425,71,145,78057B,ZHA,HKG,CSH849,-896,B737,FM849
1525163130,22.3161,113.9139,0,70,42,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525163198,22.3162,113.9191,0,306,0,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525163254,22.315,113.9207,0,157,27,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525163321,22.3141,113.9227,0,42,16,78057B,ZHA,HKG,CSH849,0,B737,FM849
1525163348,22.3144,113.9229,0,42,2,78057B,ZHA,HKG,CSH849,0,B737,FM849
