timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525161053,18.0952,114.751,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161113,18.2267,114.7265,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161173,18.3582,114.7021,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161233,18.4897,114.6777,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161293,18.6212,114.6532,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161353,18.7527,114.6288,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161413,18.8842,114.6043,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161485,19.042,114.5748,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161545,19.1735,114.5503,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161605,19.3049,114.5257,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161665,19.4364,114.5012,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161725,19.5679,114.4766,38000,350,481,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161783,19.4818,115.6541,37975,339,436,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161841,19.5778,115.6058,37975,331,438,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161901,19.6682,115.5526,37975,331,438,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525161958,19.8186,115.5239,37975,339,443,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525162037,19.973,115.464,38000,339,442,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525162097,20.0874,115.4196,38000,339,441,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525162149,20.1638,115.3687,38000,328,441,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525162209,20.2521,115.31,38000,328,441,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525162279,20.4415,115.2814,34650,339,452,8A03C2,DPS,HKG,GIA856,-1792,A333,GA856
1525162340,20.56,115.2351,32875,339,438,8A03C2,DPS,HKG,GIA856,-1856,A333,GA856
1525162400,20.6722,115.1912,31150,339,429,8A03C2,DPS,HKG,GIA856,-1792,A333,GA856
1525162461,20.7871,115.1462,29450,339,423,8A03C2,DPS,HKG,GIA856,-1728,A333,GA856
1525162522,20.8954,115.1036,28375,339,393,8A03C2,DPS,HKG,GIA856,-768,A333,GA856
1525162584,20.9983,115.0626,26300,336,379,8A03C2,DPS,HKG,GIA856,-1728,A333,GA856
1525162644,21.0742,114.9959,25400,315,347,8A03C2,DPS,HKG,GIA856,-1152,A333,GA856
1525162704,21.1431,114.9231,23575,315,335,8A03C2,DPS,HKG,GIA856,-2560,A333,GA856
1525162765,21.207,114.8556,21425,315,325,8A03C2,DPS,HKG,GIA856,-2304,A333,GA856
1525162828,21.2744,114.7843,20075,315,318,8A03C2,DPS,HKG,GIA856,-1408,A333,GA856
1525162888,21.3378,114.7171,18550,315,312,8A03C2,DPS,HKG,GIA856,-1408,A333,GA856
1525162947,21.3982,114.653,16900,315,302,8A03C2,DPS,HKG,GIA856,-1088,A333,GA856
1525163019,21.4654,114.5816,15650,315,292,8A03C2,DPS,HKG,GIA856,-1344,A333,GA856
1525163070,21.5288,114.5438,14425,342,297,8A03C2,DPS,HKG,GIA856,-1280,A333,GA856
1525163136,21.6144,114.513,12575,333,288,8A03C2,DPS,HKG,GIA856,-832,A333,GA856
1525163198,21.675,114.4641,11575,322,278,8A03C2,DPS,HKG,GIA856,-1152,A333,GA856
1525163253,21.7322,114.4168,10500,322,276,8A03C2,DPS,HKG,GIA856,-1280,A333,GA856
1525163320,21.8017,114.3589,9300,322,273,8A03C2,DPS,HKG,GIA856,-896,A333,GA856
1525163381,21.8617,114.3087,8700,318,268,8A03C2,DPS,HKG,GIA856,-576,A333,GA856
1525163441,21.8813,114.2349,8175,279,260,8A03C2,DPS,HKG,GIA856,-704,A333,GA856
1525163506,21.893,114.1552,7275,278,255,8A03C2,DPS,HKG,GIA856,-1024,A333,GA856
1525163565,21.9037,114.0797,6350,278,245,8A03C2,DPS,HKG,GIA856,-832,A333,GA856
1525163628,21.914,114.0078,5525,278,226,8A03C2,DPS,HKG,GIA856,-832,A333,GA856
1525163688,21.9435,113.9522,4725,315,226,8A03C2,DPS,HKG,GIA856,-896,A333,GA856
1525163748,21.9883,113.9046,4075,315,226,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525163807,22.0333,113.856,3275,314,227,8A03C2,DPS,HKG,GIA856,-896,A333,GA856
1525163868,22.0851,113.8163,3075,329,228,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525163930,22.1429,113.7811,2975,334,226,8A03C2,DPS,HKG,GIA856,-768,A333,GA856
1525163979,22.1927,113.7656,2350,344,222,8A03C2,DPS,HKG,GIA856,-320,A333,GA856
1525164056,22.2618,113.7635,1575,37,203,8A03C2,DPS,HKG,GIA856,-256,A333,GA856
1525164111,22.2821,113.8087,1575,70,179,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525164177,22.2985,113.8594,775,70,149,8A03C2,DPS,HKG,GIA856,-576,A333,GA856
1525164235,22.3113,113.8991,75,70,146,8A03C2,DPS,HKG,GIA856,-512,A333,GA856
1525164303,22.3178,113.9218,0,101,20,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525164339,22.3176,113.9245,0,67,28,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525164428,22.3182,113.9284,0,160,27,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525164483,22.3155,113.9295,0,149,16,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525164534,22.3147,113.93,0,160,11,8A03C2,DPS,HKG,GIA856,0,A333,GA856
1525164573,22.3144,113.9301,0,160,2,8A03C2,DPS,HKG,GIA856,0,A333,GA856
