timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525162186,34.4358,135.254,0,123,31,841794,KIX,HKG,JJP63,0,A320,GK63
1525162280,34.4172,135.2289,725,231,152,841794,KIX,HKG,JJP63,2816,A320,GK63
1525162339,34.3939,135.1873,2750,236,150,841794,KIX,HKG,JJP63,1856,A320,GK63
1525162399,34.367,135.1385,4025,236,203,841794,KIX,HKG,JJP63,2176,A320,GK63
1525162458,34.3587,135.0783,6125,311,223,841794,KIX,HKG,JJP63,1536,A320,GK63
1525162525,34.4235,135.0222,8400,325,275,841794,KIX,HKG,JJP63,2880,A320,GK63
1525162581,34.4614,134.95,10525,269,301,841794,KIX,HKG,JJP63,1408,A320,GK63
1525162644,34.46,134.8338,12475,269,341,841794,KIX,HKG,JJP63,3648,A320,GK63
1525162702,34.4516,134.7247,14425,244,352,841794,KIX,HKG,JJP63,2560,A320,GK63
1525162767,34.3832,134.6231,17000,229,353,841794,KIX,HKG,JJP63,2240,A320,GK63
1525162827,34.3185,134.5302,18800,229,366,841794,KIX,HKG,JJP63,1920,A320,GK63
1525162888,34.2517,134.4349,20500,229,376,841794,KIX,HKG,JJP63,1728,A320,GK63
1525162948,34.1832,134.3371,22000,229,388,841794,KIX,HKG,JJP63,1216,A320,GK63
1525163018,34.1038,134.2243,24650,229,371,841794,KIX,HKG,JJP63,2240,A320,GK63
1525163076,34.0408,134.1348,26775,229,354,841794,KIX,HKG,JJP63,1472,A320,GK63
1525163134,33.9759,134.043,27300,229,380,841794,KIX,HKG,JJP63,448,A320,GK63
1525163197,33.9032,133.9408,27850,229,404,841794,KIX,HKG,JJP63,1024,A320,GK63
1525163257,33.8278,133.835,29100,228,406,841794,KIX,HKG,JJP63,2176,A320,GK63
1525163319,33.749,133.7441,31325,223,381,841794,KIX,HKG,JJP63,1280,A320,GK63
1525163372,33.6777,133.6639,31775,223,395,841794,KIX,HKG,JJP63,1152,A320,GK63
1525163442,33.5851,133.5607,33100,222,391,841794,KIX,HKG,JJP63,1024,A320,GK63
1525163504,33.5012,133.4674,34375,222,387,841794,KIX,HKG,JJP63,704,A320,GK63
1525163561,33.4273,133.3853,35225,222,385,841794,KIX,HKG,JJP63,1024,A320,GK63
1525163624,33.3427,133.2917,35775,223,394,841794,KIX,HKG,JJP63,512,A320,GK63
1525163680,33.2687,133.2085,36000,226,403,841794,KIX,HKG,JJP63,0,A320,GK63
1525163744,33.1971,133.0954,36000,236,400,841794,KIX,HKG,JJP63,0,A320,GK63
1525163804,33.1328,132.9865,36000,235,394,841794,KIX,HKG,JJP63,64,A320,GK63
1525163867,33.0715,132.8824,35950,235,392,841794,KIX,HKG,JJP63,-64,A320,GK63
