timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525146170,31.1575,121.807,0,317,0,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146227,31.1575,121.807,0,317,0,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146289,31.1567,121.8074,0,112,21,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146345,31.1573,121.8097,0,73,21,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146414,31.1578,121.81,0,180,0,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146462,31.1585,121.8103,0,78,20,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146462,31.1585,121.8103,0,78,20,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146603,31.1585,121.8106,0,84,0,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146803,31.1587,121.8117,0,115,22,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146883,31.154,121.8136,0,163,84,78012C,PVG,HKG,HDA803,0,A333,KA803
1525146967,31.0969,121.8408,2350,147,180,78012C,PVG,HKG,HDA803,768,A333,KA803
1525147029,31.0453,121.8828,3450,144,266,78012C,PVG,HKG,HDA803,2304,A333,KA803
1525147088,30.9829,121.934,6050,144,282,78012C,PVG,HKG,HDA803,2752,A333,KA803
1525147144,30.9574,122.0115,8650,76,303,78012C,PVG,HKG,HDA803,2624,A333,KA803
1525147205,30.9755,122.1126,10650,78,337,78012C,PVG,HKG,HDA803,832,A333,KA803
1525147271,30.9726,122.2384,12400,121,377,78012C,PVG,HKG,HDA803,3136,A333,KA803
1525147331,30.8845,122.2917,14675,162,364,78012C,PVG,HKG,HDA803,2368,A333,KA803
1525147393,30.7854,122.3287,16525,162,382,78012C,PVG,HKG,HDA803,1536,A333,KA803
1525147451,30.6823,122.3668,18150,162,392,78012C,PVG,HKG,HDA803,1856,A333,KA803
1525147513,30.577,122.4009,19975,174,393,78012C,PVG,HKG,HDA803,1600,A333,KA803
1525147575,30.4616,122.3937,21725,182,395,78012C,PVG,HKG,HDA803,1728,A333,KA803
1525147632,30.3533,122.3874,22950,182,411,78012C,PVG,HKG,HDA803,1536,A333,KA803
1525147698,30.2271,122.3801,24550,182,418,78012C,PVG,HKG,HDA803,1536,A333,KA803
1525147761,30.1059,122.373,26000,182,424,78012C,PVG,HKG,HDA803,1472,A333,KA803
1525147812,30.0032,122.3618,26775,190,431,78012C,PVG,HKG,HDA803,960,A333,KA803
1525147885,29.9111,122.2687,26775,227,431,78012C,PVG,HKG,HDA803,0,A333,KA803
1525147944,29.7432,122.2968,29700,189,430,78012C,PVG,HKG,HDA803,896,A333,KA803
1525148010,29.6132,122.3184,30725,167,453,78012C,PVG,HKG,HDA803,1024,A333,KA803
