timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525151085,37.4975,126.3789,2950,306,192,71C042,ICN,HKG,KAL601,2368,B77W,KE601
1525151143,37.5056,126.2996,4375,270,263,71C042,ICN,HKG,KAL601,1920,B77W,KE601
1525151193,37.507,126.2277,6650,271,274,71C042,ICN,HKG,KAL601,3584,B77W,KE601
1525151262,37.4446,126.1521,10225,197,278,71C042,ICN,HKG,KAL601,3008,B77W,KE601
1525151329,37.3675,126.1918,11950,127,365,71C042,ICN,HKG,KAL601,1920,B77W,KE601
1525151387,37.2974,126.2965,15500,130,387,71C042,ICN,HKG,KAL601,2880,B77W,KE601
1525151451,37.2259,126.3969,18225,131,414,71C042,ICN,HKG,KAL601,2048,B77W,KE601
1525151513,37.1259,126.4751,21225,158,420,71C042,ICN,HKG,KAL601,3200,B77W,KE601
1525151572,37.0133,126.5254,23725,163,435,71C042,ICN,HKG,KAL601,2304,B77W,KE601
1525151637,36.8872,126.5665,26400,164,446,71C042,ICN,HKG,KAL601,2944,B77W,KE601
1525151696,36.7649,126.6062,28700,165,456,71C042,ICN,HKG,KAL601,3584,B77W,KE601
1525151763,36.6331,126.6503,31750,164,446,71C042,ICN,HKG,KAL601,1664,B77W,KE601
1525151821,36.5139,126.69,32875,165,467,71C042,ICN,HKG,KAL601,1664,B77W,KE601
1525151883,36.381,126.735,34425,164,479,71C042,ICN,HKG,KAL601,1856,B77W,KE601
1525151945,36.2535,126.7783,36000,164,473,71C042,ICN,HKG,KAL601,192,B77W,KE601
1525152005,36.125,126.8081,36000,178,453,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152066,35.9983,126.7957,36000,184,455,71C042,ICN,HKG,KAL601,64,B77W,KE601
1525152126,35.8733,126.7819,36000,185,448,71C042,ICN,HKG,KAL601,64,B77W,KE601
1525152190,35.7347,126.7669,36000,185,452,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152250,35.6081,126.7535,36000,185,453,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152309,35.4812,126.7399,35975,185,455,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152369,35.3521,126.726,36000,185,453,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152429,35.2243,126.7123,36000,185,452,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152495,35.0925,126.6984,36000,185,450,71C042,ICN,HKG,KAL601,64,B77W,KE601
1525152555,34.9598,126.6842,36000,184,465,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152615,34.8301,126.6707,36000,185,454,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152669,34.712,126.6579,36000,185,454,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152734,34.576,126.6437,36000,185,469,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152803,34.4257,126.6281,36000,185,469,71C042,ICN,HKG,KAL601,0,B77W,KE601
1525152857,34.3183,126.5976,36000,205,469,71C042,ICN,HKG,KAL601,0,B77W,KE601
