timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525148190,23.9035,73.1687,38975,94,541,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148234,23.8949,73.2911,38975,94,541,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148313,23.89,73.4968,38975,84,540,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148374,23.8677,73.6697,38975,94,541,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148416,23.8592,73.7841,39000,94,541,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148493,23.8435,73.9955,38975,94,541,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525148556,23.8305,74.1682,38975,94,542,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148612,23.819,74.3181,39000,94,542,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148675,23.8055,74.4907,39000,94,543,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148737,23.7922,74.6563,39000,95,545,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525148795,23.7792,74.8206,38975,94,546,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525148858,23.7656,74.987,38975,94,546,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148903,23.755,75.1152,38975,95,546,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525148985,23.7365,75.3387,38975,95,547,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149049,23.7216,75.5131,39000,95,547,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149112,23.7067,75.6878,39000,95,548,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525149173,23.6921,75.8548,39000,95,548,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525149233,23.6721,76.0204,39025,104,552,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149293,23.6234,76.1805,39025,108,552,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149350,23.5983,76.3347,39000,96,547,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149423,23.5781,76.5341,38950,95,544,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149483,23.562,76.6994,38950,96,546,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149543,23.5455,76.863,38975,96,549,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525149601,23.5434,77.0093,39000,84,550,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149665,23.512,77.1978,39050,96,555,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
1525149726,23.4944,77.3667,39025,96,555,3C7069,SHJ,HKG,GEC8454,64,MD11,LH8454
1525149788,23.4755,77.5428,38975,96,553,3C7069,SHJ,HKG,GEC8454,0,MD11,LH8454
