timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525136045,37.4785,126.4093,1075,315,175,71BD63,ICN,HKG,JNA113,2240,B738,LJ113
1525136119,37.5043,126.3451,3125,270,196,71BD63,ICN,HKG,JNA113,768,B738,LJ113
1525136177,37.5062,126.2739,3900,271,264,71BD63,ICN,HKG,JNA113,1856,B738,LJ113
1525136241,37.4898,126.1755,6750,219,263,71BD63,ICN,HKG,JNA113,2368,B738,LJ113
1525136308,37.4149,126.1528,9100,170,284,71BD63,ICN,HKG,JNA113,2176,B738,LJ113
1525136358,37.3544,126.2131,10675,130,331,71BD63,ICN,HKG,JNA113,1024,B738,LJ113
1525136428,37.2833,126.3148,12650,131,373,71BD63,ICN,HKG,JNA113,2560,B738,LJ113
1525136483,37.2156,126.4114,15375,132,380,71BD63,ICN,HKG,JNA113,3520,B738,LJ113
1525136553,37.1152,126.4799,18450,159,374,71BD63,ICN,HKG,JNA113,2496,B738,LJ113
1525136616,37.0121,126.5249,20875,165,383,71BD63,ICN,HKG,JNA113,2240,B738,LJ113
1525136673,36.9103,126.5585,22750,165,400,71BD63,ICN,HKG,JNA113,1728,B738,LJ113
1525136737,36.7947,126.5964,24725,165,413,71BD63,ICN,HKG,JNA113,2240,B738,LJ113
1525136791,36.6925,126.6302,26350,164,422,71BD63,ICN,HKG,JNA113,1856,B738,LJ113
1525136856,36.5733,126.6706,28350,164,424,71BD63,ICN,HKG,JNA113,1216,B738,LJ113
1525136918,36.45,126.7117,29450,164,445,71BD63,ICN,HKG,JNA113,1088,B738,LJ113
1525136980,36.3237,126.7539,30575,164,459,71BD63,ICN,HKG,JNA113,1280,B738,LJ113
1525137040,36.2052,126.7942,32300,164,452,71BD63,ICN,HKG,JNA113,1792,B738,LJ113
1525137098,36.089,126.8059,33650,184,427,71BD63,ICN,HKG,JNA113,1408,B738,LJ113
1525137160,35.9638,126.7924,34925,184,426,71BD63,ICN,HKG,JNA113,1024,B738,LJ113
1525137223,35.8406,126.7788,36150,185,421,71BD63,ICN,HKG,JNA113,1088,B738,LJ113
1525137283,35.7261,126.7662,37150,185,416,71BD63,ICN,HKG,JNA113,1024,B738,LJ113
1525137343,35.6112,126.7539,38025,185,404,71BD63,ICN,HKG,JNA113,0,B738,LJ113
1525137403,35.4987,126.7414,38000,185,422,71BD63,ICN,HKG,JNA113,0,B738,LJ113
1525137468,35.3697,126.7278,38000,185,418,71BD63,ICN,HKG,JNA113,0,B738,LJ113
1525137522,35.2641,126.7165,38000,185,420,71BD63,ICN,HKG,JNA113,0,B738,LJ113
1525137583,35.1417,126.7033,38000,185,422,71BD63,ICN,HKG,JNA113,0,B738,LJ113
1525137648,35.012,126.6898,38000,185,431,71BD63,ICN,HKG,JNA113,64,B738,LJ113
1525137712,34.8836,126.6763,38000,184,432,71BD63,ICN,HKG,JNA113,0,B738,LJ113
1525137772,34.7641,126.6638,38000,185,431,71BD63,ICN,HKG,JNA113,0,B738,LJ113
