timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525145318,28.3426,73.1514,31000,100,540,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145382,28.3152,73.3267,31000,100,540,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145443,28.2883,73.4956,31000,100,538,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145500,28.2627,73.6558,31000,100,537,4B191A,ZRH,HKG,SWR138,-64,B77W,LX138
1525145561,28.2364,73.8193,31000,100,536,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145621,28.2084,73.9923,31000,100,536,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145678,28.1925,74.1441,32425,90,528,4B191A,ZRH,HKG,SWR138,448,B77W,LX138
1525145748,28.2049,74.3357,33925,85,530,4B191A,ZRH,HKG,SWR138,832,B77W,LX138
1525145806,28.2171,74.5055,34650,85,546,4B191A,ZRH,HKG,SWR138,1344,B77W,LX138
1525145866,28.2288,74.6757,35000,85,542,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145928,28.2404,74.848,35000,85,542,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525145988,28.2518,75.0188,35000,85,542,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146052,28.2634,75.1976,35000,85,543,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146111,28.2742,75.3665,35000,85,540,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146170,28.285,75.5359,35000,85,536,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146232,28.2952,75.703,35000,86,531,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146292,28.3053,75.8699,35000,86,529,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146353,28.3156,76.0445,35000,86,528,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146417,28.3189,76.218,35000,94,536,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146474,28.2886,76.3779,35000,105,542,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146534,28.2483,76.543,35000,105,542,4B191A,ZRH,HKG,SWR138,-64,B77W,LX138
1525146602,28.2036,76.7232,35000,105,538,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146661,28.1626,76.8865,35000,105,535,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146721,28.1221,77.0464,35000,105,530,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146781,28.0811,77.2073,35000,106,528,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146841,28.0406,77.3656,35000,106,526,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146907,27.9961,77.5384,35000,106,522,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525146968,27.955,77.6975,35000,106,519,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525147024,27.9171,77.8434,35000,106,518,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525147087,27.8905,77.9993,35000,91,519,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525147152,27.8285,78.1748,35000,109,523,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
1525147204,27.7812,78.3067,35000,112,520,4B191A,ZRH,HKG,SWR138,0,B77W,LX138
