timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525132016,44.0568,73.0227,37000,109,535,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132091,44.0054,73.2302,37000,109,535,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132155,44.0879,73.5618,37000,93,536,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525132217,44.0775,73.7699,37000,94,536,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132274,44.0668,73.9725,36975,94,539,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132344,44.0535,74.2128,37000,94,541,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132404,44.042,74.4165,37000,94,542,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525132464,44.0295,74.6278,36975,94,547,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132517,43.9908,74.7793,36975,111,547,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132580,44.0047,75.0343,36975,95,551,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132642,43.991,75.2513,36975,95,553,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132703,43.9766,75.4681,36975,95,552,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525132769,43.9609,75.6984,36975,95,553,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132828,43.9461,75.9098,36975,95,550,7380C3,TLV,HKG,ELY075,64,B789,LY75
1525132889,43.9309,76.1224,37000,95,545,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525132945,43.917,76.3124,36975,95,535,7380C3,TLV,HKG,ELY075,64,B789,LY75
1525133005,43.9016,76.5181,37000,95,534,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525133075,43.8828,76.759,36975,96,542,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525133135,43.8664,76.9664,36975,96,541,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525133187,43.8523,77.1417,37000,96,543,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525133252,43.8334,77.3687,37050,96,541,7380C3,TLV,HKG,ELY075,768,B789,LY75
1525133314,43.816,77.5749,38275,96,532,7380C3,TLV,HKG,ELY075,1984,B789,LY75
1525133376,43.7981,77.7794,39075,96,530,7380C3,TLV,HKG,ELY075,192,B789,LY75
1525133439,43.7785,78.0011,39100,97,530,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525133501,43.7603,78.2028,39100,97,528,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525133563,43.7413,78.4074,39100,97,528,7380C3,TLV,HKG,ELY075,0,B789,LY75
1525133621,43.7224,78.6093,39075,97,527,7380C3,TLV,HKG,ELY075,64,B789,LY75
1525133677,43.7046,78.7955,39075,97,525,7380C3,TLV,HKG,ELY075,64,B789,LY75
1525133742,43.6832,79.0134,39100,97,519,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525133804,43.6634,79.2124,39100,97,518,7380C3,TLV,HKG,ELY075,-64,B789,LY75
1525133865,43.6431,79.4101,39100,98,516,7380C3,TLV,HKG,ELY075,-64,B789,LY75
