timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525148001,18.085,112.9646,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148061,18.2084,112.9898,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148121,18.3319,113.0151,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148181,18.4553,113.0404,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148253,18.6034,113.0708,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148313,18.7269,113.0961,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148373,18.8503,113.1214,40000,11,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148433,18.9735,113.1477,40000,12,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148493,19.0965,113.1754,40000,12,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148553,19.2195,113.203,40000,12,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148613,19.3425,113.2307,40000,12,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148673,19.4655,113.2585,40000,12,453,750256,KUL,HKG,MAS72,0,A333,MH72
1525148736,19.1973,114.6939,40000,355,458,750256,KUL,HKG,MAS72,0,A333,MH72
1525148796,19.3216,114.6835,40000,355,459,750256,KUL,HKG,MAS72,0,A333,MH72
1525148861,19.4609,114.6716,40000,355,461,750256,KUL,HKG,MAS72,0,A333,MH72
1525148919,19.5855,114.6611,40000,355,463,750256,KUL,HKG,MAS72,0,A333,MH72
1525148977,19.7118,114.6504,40000,355,462,750256,KUL,HKG,MAS72,0,A333,MH72
1525149049,19.8662,114.6372,40000,355,462,750256,KUL,HKG,MAS72,0,A333,MH72
1525149112,20.0003,114.6258,39500,355,465,750256,KUL,HKG,MAS72,-1088,A333,MH72
1525149172,20.1311,114.6146,37100,355,474,750256,KUL,HKG,MAS72,-2752,A333,MH72
1525149230,20.2586,114.6037,34575,355,481,750256,KUL,HKG,MAS72,-2560,A333,MH72
1525149281,20.3687,114.5943,32775,355,477,750256,KUL,HKG,MAS72,-2880,A333,MH72
1525149351,20.522,114.5812,30425,355,453,750256,KUL,HKG,MAS72,-1856,A333,MH72
1525149423,20.6692,114.5685,28575,355,420,750256,KUL,HKG,MAS72,-1216,A333,MH72
1525149484,20.7832,114.5586,26800,355,393,750256,KUL,HKG,MAS72,-1600,A333,MH72
1525149531,20.8676,114.5532,25625,358,392,750256,KUL,HKG,MAS72,-2112,A333,MH72
1525149602,20.9955,114.5564,24025,9,380,750256,KUL,HKG,MAS72,-1152,A333,MH72
1525149668,21.0646,114.6421,23175,66,360,750256,KUL,HKG,MAS72,-1152,A333,MH72
1525149729,21.1173,114.7331,21950,38,352,750256,KUL,HKG,MAS72,-1408,A333,MH72
1525149789,21.1929,114.7958,20775,33,343,750256,KUL,HKG,MAS72,-1280,A333,MH72
1525149849,21.278,114.7824,19150,317,309,750256,KUL,HKG,MAS72,-1728,A333,MH72
1525149912,21.3402,114.7162,17525,314,301,750256,KUL,HKG,MAS72,-1600,A333,MH72
1525149971,21.3982,114.6539,16500,314,296,750256,KUL,HKG,MAS72,-1024,A333,MH72
1525150033,21.4573,114.5905,15475,314,294,750256,KUL,HKG,MAS72,-1088,A333,MH72
1525150090,21.5239,114.5455,14350,342,297,750256,KUL,HKG,MAS72,-1280,A333,MH72
1525150159,21.6126,114.5153,13025,342,294,750256,KUL,HKG,MAS72,-960,A333,MH72
1525150219,21.6884,114.489,12100,341,286,750256,KUL,HKG,MAS72,-1792,A333,MH72
1525150288,21.7757,114.4585,10775,341,279,750256,KUL,HKG,MAS72,-1344,A333,MH72
1525150347,21.8493,114.4328,9550,341,279,750256,KUL,HKG,MAS72,-1216,A333,MH72
1525150392,21.9039,114.4138,8725,341,273,750256,KUL,HKG,MAS72,-1280,A333,MH72
1525150473,22.0001,114.3802,7250,341,267,750256,KUL,HKG,MAS72,-1216,A333,MH72
1525150533,22.0698,114.3557,6200,341,258,750256,KUL,HKG,MAS72,-1152,A333,MH72
1525150594,22.1392,114.3315,6000,342,259,750256,KUL,HKG,MAS72,0,A333,MH72
1525150655,22.2132,114.3159,6000,350,260,750256,KUL,HKG,MAS72,0,A333,MH72
1525150716,22.2824,114.3029,5825,350,239,750256,KUL,HKG,MAS72,-896,A333,MH72
1525150778,22.3415,114.2744,4950,329,228,750256,KUL,HKG,MAS72,-512,A333,MH72
1525150837,22.3885,114.2383,4525,303,196,750256,KUL,HKG,MAS72,-704,A333,MH72
1525150894,22.4002,114.1849,4500,272,194,750256,KUL,HKG,MAS72,-192,A333,MH72
1525150964,22.3827,114.121,3525,250,194,750256,KUL,HKG,MAS72,-1088,A333,MH72
1525151010,22.3692,114.0792,2725,250,177,750256,KUL,HKG,MAS72,-960,A333,MH72
1525151090,22.3492,114.0166,1600,251,161,750256,KUL,HKG,MAS72,-896,A333,MH72
1525151150,22.3357,113.9748,875,250,147,750256,KUL,HKG,MAS72,-768,A333,MH72
1525151209,22.3225,113.9338,125,250,142,750256,KUL,HKG,MAS72,-768,A333,MH72
1525151267,22.3136,113.9072,0,233,27,750256,KUL,HKG,MAS72,0,A333,MH72
1525151334,22.3107,113.9058,0,70,25,750256,KUL,HKG,MAS72,0,A333,MH72
1525151388,22.3118,113.9093,0,70,16,750256,KUL,HKG,MAS72,0,A333,MH72
1525151451,22.3137,113.9151,0,70,19,750256,KUL,HKG,MAS72,0,A333,MH72
1525151511,22.3142,113.919,0,160,24,750256,KUL,HKG,MAS72,0,A333,MH72
1525151563,22.3113,113.9201,0,160,32,750256,KUL,HKG,MAS72,0,A333,MH72
1525151620,22.3092,113.9199,0,168,14,750256,KUL,HKG,MAS72,0,A333,MH72
1525151653,22.3089,113.9192,0,247,12,750256,KUL,HKG,MAS72,0,A333,MH72
1525151707,22.3088,113.9189,0,250,2,750256,KUL,HKG,MAS72,0,A333,MH72
