timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525151207,31.1386,121.7996,0,89,0,780B35,PVG,HKG,CES509,0,A321,MU509
1525151266,31.1386,121.7996,0,271,0,780B35,PVG,HKG,CES509,0,A321,MU509
1525151327,31.1386,121.7996,0,271,0,780B35,PVG,HKG,CES509,0,A321,MU509
1525151391,31.1386,121.7996,0,89,0,780B35,PVG,HKG,CES509,0,A321,MU509
1525151450,31.1386,121.7996,0,271,0,780B35,PVG,HKG,CES509,0,A321,MU509
1525151507,31.1386,121.7997,0,73,12,780B35,PVG,HKG,CES509,0,A321,MU509
1525151572,31.1411,121.7997,0,30,25,780B35,PVG,HKG,CES509,0,A321,MU509
1525151632,31.142,121.8028,0,73,11,780B35,PVG,HKG,CES509,0,A321,MU509
1525151672,31.1422,121.8036,0,70,19,780B35,PVG,HKG,CES509,0,A321,MU509
1525151764,31.1435,121.8083,0,70,0,780B35,PVG,HKG,CES509,0,A321,MU509
1525151822,31.1437,121.809,0,70,21,780B35,PVG,HKG,CES509,0,A321,MU509
1525151865,31.1443,121.8111,0,70,21,780B35,PVG,HKG,CES509,0,A321,MU509
1525151894,31.1447,121.8126,0,73,27,780B35,PVG,HKG,CES509,0,A321,MU509
1525152225,31.1509,121.8126,0,340,24,780B35,PVG,HKG,CES509,0,A321,MU509
1525152591,31.1537,121.8137,0,163,30,780B35,PVG,HKG,CES509,0,A321,MU509
1525152677,31.1022,121.8368,2325,146,174,780B35,PVG,HKG,CES509,2368,A321,MU509
1525152738,31.0583,121.8724,3925,145,217,780B35,PVG,HKG,CES509,1472,A321,MU509
1525152803,30.9936,121.925,5025,144,276,780B35,PVG,HKG,CES509,128,A321,MU509
1525152854,30.9542,121.9827,5100,94,288,780B35,PVG,HKG,CES509,512,A321,MU509
1525152920,30.9711,122.0856,7950,78,308,780B35,PVG,HKG,CES509,2752,A321,MU509
1525152984,30.9882,122.1916,10625,86,326,780B35,PVG,HKG,CES509,1024,A321,MU509
1525153049,30.9285,122.2759,12575,161,345,780B35,PVG,HKG,CES509,2496,A321,MU509
