timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525120055,37.4942,126.4245,1650,324,176,A4EB80,ICN,HKG,PAC969,2688,B744,PO969
1525120120,37.5394,126.3877,3725,326,213,A4EB80,ICN,HKG,PAC969,1216,B744,PO969
1525120176,37.5796,126.3228,5525,273,267,A4EB80,ICN,HKG,PAC969,3200,B744,PO969
1525120243,37.5719,126.2277,8875,235,281,A4EB80,ICN,HKG,PAC969,3456,B744,PO969
1525120304,37.4939,126.2225,11350,157,337,A4EB80,ICN,HKG,PAC969,1856,B744,PO969
1525120365,37.397,126.276,13700,156,395,A4EB80,ICN,HKG,PAC969,3520,B744,PO969
1525120431,37.2823,126.3358,17675,157,419,A4EB80,ICN,HKG,PAC969,3712,B744,PO969
1525120488,37.1793,126.3806,20825,172,425,A4EB80,ICN,HKG,PAC969,3584,B744,PO969
1525120548,37.0576,126.3722,23950,185,435,A4EB80,ICN,HKG,PAC969,2752,B744,PO969
1525120610,36.9333,126.3561,26875,185,447,A4EB80,ICN,HKG,PAC969,3072,B744,PO969
1525120676,36.7961,126.339,28825,185,479,A4EB80,ICN,HKG,PAC969,1984,B744,PO969
1525120734,36.6603,126.3225,30925,185,493,A4EB80,ICN,HKG,PAC969,2880,B744,PO969
1525120799,36.5167,126.3051,33750,185,484,A4EB80,ICN,HKG,PAC969,2432,B744,PO969
1525120859,36.3822,126.2887,35775,185,482,A4EB80,ICN,HKG,PAC969,1536,B744,PO969
1525120915,36.2542,126.2731,37050,185,488,A4EB80,ICN,HKG,PAC969,1536,B744,PO969
1525120977,36.1186,126.2565,38025,185,485,A4EB80,ICN,HKG,PAC969,64,B744,PO969
1525121040,35.9764,126.2393,38025,185,483,A4EB80,ICN,HKG,PAC969,-64,B744,PO969
1525121101,35.8421,126.223,38025,185,481,A4EB80,ICN,HKG,PAC969,0,B744,PO969
1525121161,35.7088,126.2067,38025,185,480,A4EB80,ICN,HKG,PAC969,0,B744,PO969
