timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525165961,18.0549,116.6169,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166021,18.1746,116.5441,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166081,18.2943,116.4714,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166141,18.414,116.3985,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166201,18.5337,116.3257,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166261,18.6535,116.2527,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166321,18.7732,116.1797,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166381,18.8929,116.1067,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166441,19.0126,116.0336,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166501,19.1323,115.9605,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166561,19.252,115.8873,38000,330,498,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166625,19.3009,115.716,37400,332,490,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166685,19.403,115.6585,37400,332,490,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166736,19.5447,115.6306,35200,339,451,7C4838,SYD,HKG,QFA127,-960,B744,QF127
1525166821,19.6766,115.553,35200,331,451,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166873,19.783,115.5221,33700,330,427,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525166938,19.9228,115.4838,31825,339,426,7C4838,SYD,HKG,QFA127,-1024,B744,QF127
1525166993,20.0141,115.4381,31375,329,423,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525167058,20.1422,115.3983,29800,340,404,7C4838,SYD,HKG,QFA127,-1088,B744,QF127
1525167113,20.2375,115.3617,29000,339,398,7C4838,SYD,HKG,QFA127,-128,B744,QF127
1525167185,20.3627,115.3124,29000,339,397,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525167241,20.4581,115.2748,29000,339,400,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525167289,20.5435,115.2421,29000,339,400,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525167361,20.6514,115.1822,29000,325,401,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525167426,20.7841,115.1475,29000,339,400,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525167486,20.8878,115.1069,28125,339,396,7C4838,SYD,HKG,QFA127,-1856,B744,QF127
1525167547,20.9918,115.0658,26425,337,388,7C4838,SYD,HKG,QFA127,-1856,B744,QF127
1525167609,21.0736,114.998,24725,315,374,7C4838,SYD,HKG,QFA127,-1792,B744,QF127
1525167676,21.1568,114.9086,23075,315,356,7C4838,SYD,HKG,QFA127,-704,B744,QF127
1525167739,21.2256,114.8365,22125,315,327,7C4838,SYD,HKG,QFA127,-1472,B744,QF127
1525167791,21.2835,114.7751,20825,315,322,7C4838,SYD,HKG,QFA127,-1472,B744,QF127
1525167854,21.3499,114.7041,19300,315,311,7C4838,SYD,HKG,QFA127,-2112,B744,QF127
1525167919,21.408,114.6277,17450,281,303,7C4838,SYD,HKG,QFA127,-704,B744,QF127
1525167982,21.4122,114.5387,16550,291,299,7C4838,SYD,HKG,QFA127,-1344,B744,QF127
1525168043,21.4826,114.5,15400,5,307,7C4838,SYD,HKG,QFA127,-1664,B744,QF127
1525168101,21.5683,114.5102,13800,6,311,7C4838,SYD,HKG,QFA127,-1664,B744,QF127
1525168166,21.6502,114.486,12975,323,287,7C4838,SYD,HKG,QFA127,-64,B744,QF127
1525168224,21.7121,114.4339,12925,321,282,7C4838,SYD,HKG,QFA127,-704,B744,QF127
1525168277,21.7573,114.3946,12875,321,281,7C4838,SYD,HKG,QFA127,-1152,B744,QF127
1525168344,21.8365,114.3312,11000,322,282,7C4838,SYD,HKG,QFA127,-1024,B744,QF127
1525168407,21.9012,114.2771,10075,322,279,7C4838,SYD,HKG,QFA127,-1088,B744,QF127
1525168465,21.9601,114.228,9175,321,275,7C4838,SYD,HKG,QFA127,-1088,B744,QF127
1525168527,22.0223,114.175,8225,321,262,7C4838,SYD,HKG,QFA127,-832,B744,QF127
1525168587,22.0787,114.1286,8100,322,257,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525168655,22.1415,114.0756,7550,320,254,7C4838,SYD,HKG,QFA127,-832,B744,QF127
1525168717,22.1395,114.004,6750,247,242,7C4838,SYD,HKG,QFA127,-576,B744,QF127
1525168776,22.1148,113.9411,6275,247,237,7C4838,SYD,HKG,QFA127,-512,B744,QF127
1525168838,22.0882,113.8706,5575,248,237,7C4838,SYD,HKG,QFA127,-832,B744,QF127
1525168901,22.0938,113.8043,4950,304,207,7C4838,SYD,HKG,QFA127,-512,B744,QF127
1525168960,22.1434,113.7751,4300,346,208,7C4838,SYD,HKG,QFA127,-640,B744,QF127
1525169023,22.1994,113.7598,3475,345,205,7C4838,SYD,HKG,QFA127,-960,B744,QF127
1525169083,22.2523,113.7678,2625,39,206,7C4838,SYD,HKG,QFA127,-960,B744,QF127
1525169144,22.2843,113.8151,1625,69,180,7C4838,SYD,HKG,QFA127,-832,B744,QF127
1525169204,22.2996,113.8629,800,70,156,7C4838,SYD,HKG,QFA127,-1024,B744,QF127
1525169265,22.3138,113.9068,0,5,135,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169314,22.3178,113.922,0,101,15,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169388,22.3153,113.9206,0,160,27,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169448,22.3116,113.9219,0,160,17,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169489,22.3088,113.923,0,160,15,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169553,22.3081,113.9263,0,70,15,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169622,22.3115,113.9288,0,25,25,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169688,22.3129,113.9315,0,5,17,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169749,22.3136,113.9312,0,296,0,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169790,22.3136,113.9313,0,115,0,7C4838,SYD,HKG,QFA127,0,B744,QF127
1525169790,22.3136,113.9313,0,115,0,7C4838,SYD,HKG,QFA127,0,B744,QF127
